World rank,Company,Country,Region,Industry,R&D 2017/18 (€mn),R&D one-year growth (%),Net sales (€mn),Net sales one-year growth (%),R&D intensity (%),Capex (€mn),Capex one-year growth (%),Capex intensity (%),Op.profits (€mn),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€mn),Market cap one-year growth (%)
23,BAYER,Germany,EU,Pharmaceuticals & Biotechnology,5162.0,8.1,46072.0,-3.1,11.2,2366.0,-8.2,5.1,11366.0,57.1,24.7,99820,-13.4,89055.7,12.0
24,ORACLE,US,US,Software & Computer Services,5078.8,-1.1,33211.9,5.6,15.3,1447.5,-14.1,4.4,11939.5,7.9,35.9,137000,-0.7,173600.7,22.5
25,CISCO SYSTEMS,US,US,Technology Hardware & Equipment,5052.1,-3.8,40027.5,-2.5,12.6,803.8,-15.9,2.0,10622.0,-1.7,26.5,72900,-1.1,134288.2,1.8
26,BRISTOL-MYERS SQUIBB,US,US,Pharmaceuticals & Biotechnology,4963.7,22.9,17323.4,6.9,28.7,879.7,-13.2,5.1,5398.2,21.9,31.2,23700,-5.2,82700.6,3.4
27,NOKIA,Finland,EU,Technology Hardware & Equipment,4916.0,0.2,23147.0,-2.0,21.2,601.0,26.0,2.6,126.0,-112.0,0.5,103000,2.0,30377.8,3.3
28,QUALCOMM,US,US,Technology Hardware & Equipment,4556.8,6.3,18586.7,-5.4,24.5,575.3,28.0,3.1,4061.5,-23.4,21.9,33800,10.8,64332.6,-17.0
29,ASTRAZENECA,UK,EU,Pharmaceuticals & Biotechnology,4512.6,-4.2,18731.8,-2.3,24.1,1105.6,-8.3,5.9,1786.0,-42.3,9.5,61000,2.2,64757.6,-7.4
30,GLAXOSMITHKLINE,UK,EU,Pharmaceuticals & Biotechnology,4351.0,14.0,34008.0,8.2,12.8,1740.6,0.1,5.1,4609.0,89.0,13.6,98462,-0.8,84975.6,-5.6
31,FIAT CHRYSLER AUTOMOBILES,Netherlands,EU,Automobiles & Parts,4282.0,1.5,110934.0,-0.1,3.9,5659.0,-0.9,5.1,7554.0,47.9,6.8,235915,0.6,19276.4,160.7
32,IBM,US,US,Software & Computer Services,4263.3,-1.8,65987.7,-1.0,6.5,2692.4,-9.5,4.1,9988.3,-14.1,15.1,366600,-3.6,111144.4,-12.2
33,ABBVIE,US,US,Pharmaceuticals & Biotechnology,4154.1,21.1,23527.1,10.1,17.7,441.1,10.4,1.9,8096.4,3.7,34.4,29000,-3.3,100087.9,15.0
