World rank,Company,Country,Region,Industry,R&D 2017/18 (€mn),R&D one-year growth (%),Net sales (€mn),Net sales one-year growth (%),R&D intensity (%),Capex (€mn),Capex one-year growth (%),Capex intensity (%),Op.profits (€mn),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€mn),Market cap one-year growth (%)
1191,BITAUTO,China,China,Software & Computer Services,72.4,23.7,1120.6,51.6,6.5,221.4,200.6,19.8,-143.4,587.2,-12.8,8558,12.3,825.6,-44.5
1192,COLOPLAST,Denmark,EU,Health Care Equipment & Services,72.1,12.3,2085.7,5.8,3.5,88.8,5.4,4.3,674.8,3.7,32.4,10741,6.4,13603.6,0.8
1193,AO SMITH,US,US,Electronic & Electrical Equipment,72.0,7.9,2498.7,11.6,2.9,78.5,16.7,3.1,442.7,13.0,17.7,16100,3.9,6799.2,14.0
1194,GS YUASA,Japan,Japan,Electronic & Electrical Equipment,72.0,15.4,3035.1,14.3,2.4,135.0,-0.5,4.4,161.9,-3.5,5.3,14585,-0.8,1667.7,35.5
1195,RAKUTEN,Japan,Japan,General Retailers,72.0,-2.3,6975.4,20.8,1.0,235.4,151.8,3.4,770.0,32.0,11.0,14845,5.0,13824.6,0.3
1196,REPSOL,Spain,EU,Oil & Gas Producers,72.0,-7.7,41668.0,20.1,0.2,2015.0,14.8,4.8,2849.0,131.1,6.8,24226,-1.3,22040.3,24.9
1197,CORNERSTONE ONDEMAND,US,US,Software & Computer Services,71.9,27.1,401.9,13.9,17.9,5.9,14.0,1.5,-39.8,-15.3,-9.9,1891,3.7,1679.4,-18.0
1198,AISINO,China,China,Software & Computer Services,71.8,5.0,3775.4,15.7,1.9,80.0,56.4,2.1,376.6,13.3,10.0,20884,-6.9,4668.3,-12.6
1199,OSAKA GAS,Japan,Japan,"Gas, Water & Multiutilities",71.7,-6.4,9573.3,9.5,0.7,539.7,-12.4,5.6,493.9,-30.0,5.2,19997,-3.7,6617.9,5.6
1200,CHINA YUCHAI,Singapore,RoW,Industrial Engineering,71.7,5.4,2077.3,18.7,3.5,37.1,-17.6,1.8,200.4,68.7,9.6,8678,-12.2,624.1,64.7
1201,CYTOKINETICS,US,US,Pharmaceuticals & Biotechnology,71.5,447.4,11.1,-87.4,641.3,2.4,80.3,21.5,-94.6,-706.8,-848.3,137,7.9,664.5,66.3
1202,LOTTE CHEMICAL,South Korea,RoW,Chemicals,71.5,44.3,12364.8,20.0,0.6,1575.4,26.8,12.7,2282.0,15.2,18.5,,,10665.6,49.1
1203,SHIMADZU,Japan,Japan,Electronic & Electrical Equipment,71.5,4.1,2780.9,9.9,2.6,88.4,8.7,3.2,316.3,17.9,11.4,11954,3.7,4419.2,24.8
1204,DONGFENG AUTOMOBILE,China,China,Automobiles & Parts,71.3,-7.5,2265.3,16.7,3.1,53.5,-37.0,2.4,-44.0,154.9,-1.9,6624,-2.6,1511.0,-27.0
1205,TUNIU,China,China,Travel & Leisure,71.1,-8.4,280.7,-79.2,25.3,20.6,36.1,7.3,-113.1,-64.9,-40.3,6841,-17.3,755.2,3.4
1206,JAPAN AVIATION ELECTRONICS INDUSTRY,Japan,Japan,Electronic & Electrical Equipment,71.0,3.9,1875.5,21.2,3.8,129.5,-19.3,6.9,152.4,71.1,8.1,5707,4.6,1239.3,13.3
1207,OWENS CORNING,US,US,Construction & Materials,70.9,3.7,5323.1,12.5,1.3,281.0,-9.7,5.3,675.4,8.4,12.7,17000,6.3,6873.0,30.8
1208,SULZER,Switzerland,RoW,Industrial Engineering,70.8,15.6,2606.7,6.0,2.7,67.2,6.9,2.6,111.8,18.9,4.3,14732,5.2,3105.0,13.4
1209,TELENOR,Norway,RoW,Mobile Telecommunications,70.7,-5.3,13111.8,-1.8,0.5,1864.8,-22.6,14.2,2602.0,52.5,19.8,31000,-16.2,23956.2,8.0
1210,TELEFLEX,US,US,Health Care Equipment & Services,70.7,44.7,1789.6,14.9,3.9,59.1,33.4,3.3,331.2,4.9,18.5,14400,14.3,7951.9,18.3
1211,SHANDONG BUCHANG PHARMACEUTICALS,China,China,Pharmaceuticals & Biotechnology,70.6,20.1,1735.8,12.5,4.1,186.3,114.6,10.7,229.9,-16.8,13.2,7436,-0.7,622.0,
1212,LA JOLLA PHARMACEUTICAL,US,US,Pharmaceuticals & Biotechnology,70.5,37.1,,,,7.7,314.5,,-96.2,47.3,,130,23.8,630.0,153.1
1213,SVENSKA HANDELSBANKEN,Sweden,EU,Banks,70.5,24.4,4233.5,2.2,1.7,73.5,63.4,1.7,2135.9,1.9,50.5,11832,0.6,23037.7,7.9
1214,SHANGHAI WANGSU SCIENCE AND TECHNOLOGY,China,China,Software & Computer Services,70.5,24.5,686.4,20.7,10.3,126.3,-4.2,18.4,99.0,-29.7,14.4,3748,31.7,2292.2,-48.5
1215,KASPERSKY LABS,UK,EU,Software & Computer Services,70.4,4.2,589.6,-1.5,11.9,23.9,32.8,4.0,54.5,-47.6,9.2,3976,7.9,,
1216,REWE-ZENTRALFINANZ,Germany,EU,Banks,70.4,19.1,49424.3,8.3,0.1,2033.6,24.4,4.1,,,,345434,67.8,,
1217,ACHAOGEN,US,US,Pharmaceuticals & Biotechnology,70.4,162.0,9.3,-73.2,755.5,5.9,688.7,63.6,-105.3,156.0,-1130.4,230,117.0,659.9,686.9
1218,KOC,Turkey,RoW,General Industrials,70.4,21.7,23768.4,35.9,0.3,700.1,35.6,2.9,1912.5,59.1,8.0,94111,-1.4,10103.9,40.5
1219,ALBEMARLE,US,US,Chemicals,70.3,4.8,2561.5,14.7,2.7,264.9,61.6,10.3,490.1,15.3,19.1,5400,8.0,10709.2,42.9
1220,ENDURANCE INTERNATIONAL GROUP HOLDINGS,US,US,Software & Computer Services,70.3,-15.2,981.3,5.9,7.2,35.9,15.6,3.7,47.0,228.6,4.8,3664,-8.5,918.9,-1.8
1221,DESPEGAR.COM,Argentina,RoW,Travel & Leisure,70.2,,436.9,27.4,16.1,7.3,97.9,1.7,59.4,103.0,13.6,2961,2.2,,
1222,PLANTRONICS,US,US,Technology Hardware & Equipment,70.2,-4.7,714.5,-2.8,9.8,10.4,-46.2,1.5,104.7,-2.9,14.6,4003,3.9,1194.6,-14.8
1223,ACER,Taiwan,RoW,Technology Hardware & Equipment,69.8,21.9,6628.4,2.0,1.1,7.9,71.5,0.1,96.7,204.2,1.5,,,1306.3,6.5
1224,NOK,Japan,Japan,Automobiles & Parts,69.7,14.1,5386.5,2.3,1.3,430.5,-5.2,8.0,331.9,13.0,6.2,43529,-9.7,3163.5,17.8
1225,YOROZU,Japan,Japan,Automobiles & Parts,69.7,8.7,1266.9,2.3,5.5,151.4,-12.7,12.0,42.7,-8.3,3.4,6590,-2.0,402.1,64.4
1226,CELLDEX THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,69.6,-13.0,10.6,87.8,654.7,1.5,-35.0,14.0,-101.3,-8.6,-953.7,195,-5.8,263.3,-5.4
1227,MEIDENSHA,Japan,Japan,General Industrials,69.4,-0.6,1786.0,9.9,3.9,52.3,-2.6,2.9,84.1,29.9,4.7,8995,6.1,672.5,22.7
1228,RADIUS HEALTH,US,US,Pharmaceuticals & Biotechnology,69.3,-22.7,18.4,,375.7,2.0,-20.3,10.6,-207.6,34.6,-1126.0,561,136.7,1365.0,-30.7
1229,SIERRA WIRELESS,Canada,RoW,Technology Hardware & Equipment,69.2,14.3,577.1,12.4,12.0,11.8,-16.8,2.0,-0.3,-101.7,-0.1,1425,22.6,589.9,51.3
1230,GFK,Germany,EU,Support Services,69.1,-10.1,1483.8,-3.9,4.7,17.9,-32.1,1.2,-55.6,-152.2,-3.7,13069,-3.1,1701.6,61.9
1231,ADEKA,Japan,Japan,Chemicals,68.9,6.8,1769.6,7.2,3.9,100.6,28.3,5.7,157.6,1.5,8.9,3551,5.2,1432.3,23.0
1232,LEXICON PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,68.8,-13.1,75.3,8.4,91.4,0.2,-1.3,0.3,-114.0,-0.3,-151.3,174,3.6,1332.9,10.9
1233,GENTHERM,US,US,Automobiles & Parts,68.8,13.1,821.9,7.4,8.4,42.3,-23.4,5.2,81.8,-8.2,10.0,13069,11.8,956.8,-4.6
1234,LUXI CHEMICAL GROUP,China,China,Chemicals,68.7,25.4,1965.7,42.5,3.5,452.2,41.8,23.0,364.6,299.0,18.5,11971,-3.9,1865.3,106.9
1235,ASPEN TECHNOLOGY,US,US,Software & Computer Services,68.7,3.1,416.5,3.4,16.5,0.3,-87.8,0.1,174.8,-1.1,42.0,453,-68.1,3855.2,27.6
1236,DELTA ELECTRONICS (THAILAND),Thailand,RoW,Electronic & Electrical Equipment,68.7,6.7,1257.1,5.1,5.5,46.1,-12.2,3.7,146.5,7.3,11.7,12965,1.3,2832.5,20.3
1237,MONOLITHIC POWER SYSTEMS,US,US,Technology Hardware & Equipment,68.7,11.8,392.7,21.2,17.5,54.8,77.2,14.0,65.6,45.1,16.7,1500,5.9,3496.2,35.0
1238,BOBST,Switzerland,RoW,Industrial Engineering,68.7,16.7,1306.9,5.7,5.3,33.4,258.7,2.6,96.5,8.9,7.4,5397,6.8,1533.7,97.5
1239,CIMPRESS,Netherlands,EU,Support Services,68.6,-7.7,2161.7,21.4,3.2,50.8,-17.8,2.4,131.6,-445.3,6.1,12000,12.1,2412.8,-7.7
1240,ETSY,US,US,General Retailers,68.5,21.4,367.9,20.9,18.6,3.3,-89.0,0.9,21.5,46.7,5.8,744,-28.7,1614.2,26.4
1241,LANSFORSAKRINGAR,Sweden,EU,Banks,68.4,20.4,874.6,12.9,7.8,2.8,-69.2,0.3,287.0,23.6,32.8,1847,5.0,,
1242,VEECO INSTRUMENTS,US,US,Electronic & Electrical Equipment,68.4,2.2,404.2,45.8,16.9,20.2,111.4,5.0,-28.5,-70.3,-7.0,1014,41.6,763.1,14.5
1243,RINGCENTRAL,US,US,Software & Computer Services,68.3,22.2,418.2,32.1,16.3,22.4,64.1,5.4,-22.7,5.1,-5.4,1352,30.4,2256.4,106.3
1244,CHEGG,US,US,Software & Computer Services,68.3,23.5,212.7,0.4,32.1,21.8,2.2,10.2,-14.9,-55.7,-7.0,893,16.6,1272.0,149.0
1245,WAGO,Germany,EU,Electronic & Electrical Equipment,68.2,4.2,769.0,7.0,8.9,71.1,-10.9,9.2,,,,6633,10.6,,
1246,XING,Germany,EU,Software & Computer Services,68.0,40.7,184.9,26.7,36.8,4.6,-32.4,2.5,41.3,10.9,22.4,1285,34.3,1445.9,42.5
1247,BOLIDEN,Sweden,EU,Mining,67.8,25.1,5031.7,22.9,1.3,566.3,40.3,11.3,908.3,59.3,18.1,5684,3.8,7724.2,53.3
1248,ATARA BIOTHERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,67.7,43.7,,,,16.9,569.9,,-101.3,49.6,,185,92.7,401.3,-14.5
1249,GRAMMER,Germany,EU,Automobiles & Parts,67.7,8.3,1786.5,5.4,3.8,48.6,-0.1,2.7,66.5,-9.0,3.7,12947,5.7,509.4,-15.2
1250,SENVION,Luxembourg,EU,Alternative Energy,67.7,-0.9,1889.9,-14.5,3.6,58.9,1.8,3.1,-59.4,109.8,-3.1,4338,-5.3,786.8,-14.4
1251,WM MORRISON SUPERMARKETS,UK,EU,Food & Drug Retailers,67.6,46.3,19447.7,5.8,0.3,483.3,14.7,2.5,494.6,0.7,2.5,105487,-6.1,6524.1,25.9
1252,OMNICELL,US,US,Health Care Equipment & Services,67.6,12.4,597.2,3.4,11.3,12.8,14.1,2.1,4.8,-11.2,0.8,2350,-3.8,1602.1,41.4
1253,TEREX,US,US,Industrial Engineering,67.5,-6.0,3638.3,-1.8,1.9,36.3,-40.4,1.0,137.1,-294.8,3.8,10700,-5.3,2873.7,30.7
1254,SILTRONIC,Germany,EU,Electronic & Electrical Equipment,67.5,2.6,1177.3,26.1,5.7,129.3,33.7,11.0,240.4,395.7,20.4,3730,-0.7,2478.6,341.8
1255,IMPAX LABORATORIES,US,US,Pharmaceuticals & Biotechnology,67.4,0.5,646.9,-5.9,10.4,22.3,-45.9,3.4,-361.7,-12.2,-55.9,1128,-24.5,1341.5,-10.0
1256,MAREL,Iceland,RoW,Industrial Engineering,67.4,5.5,1038.2,7.1,6.5,34.0,61.0,3.3,140.3,0.7,13.5,4912,6.8,1991.2,35.3
1257,MITAC HOLDINGS,Taiwan,RoW,Technology Hardware & Equipment,67.4,5.5,1362.2,0.9,4.9,35.5,-3.9,2.6,26.1,0.0,1.9,,,821.8,16.1
1258,BEIJING DABEINONG TECHNOLOGY,China,China,General Industrials,67.3,0.3,2381.2,11.0,2.8,136.5,19.7,5.7,197.5,34.1,8.3,19030,-3.2,1846.5,-23.9
1259,GUERBET,France,EU,Pharmaceuticals & Biotechnology,67.3,26.2,807.1,4.0,8.3,26.4,-21.5,3.3,93.5,56.2,11.6,2762,3.1,880.3,15.0
1260,NIPPON SHEET GLASS,Japan,Japan,Construction & Materials,67.2,7.4,4459.7,4.0,1.5,233.2,30.9,5.2,293.9,17.5,6.6,26957,0.0,556.1,4.2
1261,POWERCHIP TECHNOLOGY,Taiwan,RoW,Technology Hardware & Equipment,67.2,7.9,1293.6,10.7,5.2,206.4,413.2,16.0,290.1,30.4,22.4,,,,
1262,TORO,US,US,Industrial Engineering,67.0,3.9,2088.9,4.7,3.2,48.6,14.9,2.3,296.1,6.2,14.2,6853,0.3,5542.5,25.2
1263,REVANCE THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,67.0,59.5,0.2,-12.7,30672.3,2.1,51.2,963.7,-100.4,36.5,-45963.5,134,26.4,630.9,89.1
1264,LIFAN INDUSTRY,China,China,Automobiles & Parts,67.0,-45.5,1513.9,9.6,4.4,94.1,110.0,6.2,0.2,-100.6,0.0,10520,5.0,1314.3,-20.3
1265,ELRINGKLINGER,Germany,EU,Automobiles & Parts,67.0,-10.3,1664.0,6.8,4.0,155.5,-9.2,9.3,138.7,3.1,8.3,9611,11.9,916.8,-6.2
1266,HYUNDAI ENGINEERING & CONSTRUCTION,South Korea,RoW,Construction & Materials,66.9,-1.9,13153.5,-10.3,0.5,41.6,-71.4,0.3,768.1,-14.9,5.8,,,3525.8,5.4
1267,LINGYI ITECH (GUANGDONG),China,China,Construction & Materials,66.8,56.1,2021.3,32.5,3.3,127.3,40.3,6.3,38.6,-25.4,1.9,18720,10.5,1508.4,144.5
1268,CHEMOURS,US,US,Chemicals,66.7,0.0,5155.5,14.5,1.3,342.7,21.6,6.6,893.0,243.3,17.3,7000,0.0,7561.2,278.7
1269,AUTONEUM HOLDING,Switzerland,RoW,Automobiles & Parts,66.3,20.3,1883.4,2.3,3.5,148.4,26.3,7.9,152.3,-11.7,8.1,12133,3.5,974.3,-12.2
1270,INTRA-CELLULAR,US,US,Pharmaceuticals & Biotechnology,66.2,-15.4,0.2,-25.7,32305.2,0.6,1377.6,294.3,-85.8,-13.0,-41832.2,49,19.5,668.0,-54.1
1271,WAVE LIFE SCIENCES,Singapore,RoW,Pharmaceuticals & Biotechnology,66.1,94.3,3.1,149.4,2141.2,15.7,239.3,509.9,-85.8,85.8,-2778.4,168,75.0,543.4,11.5
1272,OJI,Japan,Japan,Forestry & Paper,66.1,-4.0,10974.0,3.2,0.6,478.1,17.9,4.4,505.3,9.4,4.6,36144,2.1,4322.7,38.7
1273,PRIMAX ELECTRONICS,Taiwan,RoW,Technology Hardware & Equipment,66.1,7.3,1696.9,-5.6,3.9,34.3,10.8,2.0,61.7,-7.3,3.6,,,890.3,59.7
1274,NEW RELIC,US,US,Software & Computer Services,66.0,21.7,296.1,34.8,22.3,17.8,-0.3,6.0,-39.0,-23.7,-13.2,1284,18.0,2177.4,40.0
1275,GEBERIT,Switzerland,RoW,General Industrials,66.0,1.7,2486.4,3.5,2.7,135.9,14.3,5.5,531.5,-2.9,21.4,11709,1.0,13873.8,2.1
1276,SNAM,Italy,EU,"Gas, Water & Multiutilities",66.0,-12.0,2533.0,1.3,2.6,950.0,14.2,37.5,1374.0,5.9,54.2,2919,1.2,14317.6,-17.7
1277,AT&S AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK,Austria,EU,Electronic & Electrical Equipment,65.8,4.9,991.8,21.7,6.6,141.9,-41.1,14.3,97.6,2280.3,9.8,9981,4.8,451.2,7.5
1278,MCCORMICK,US,US,Food Producers,65.8,-4.7,4030.8,9.6,1.6,152.1,18.6,3.8,642.0,16.3,15.9,11700,11.4,9504.8,-2.4
1279,SAMSUNG C&T,South Korea,RoW,Travel & Leisure,65.7,-28.1,22805.7,4.2,0.3,578.0,39.3,2.5,686.4,531.6,3.0,,,19059.9,-14.9
1280,MICROSTRATEGY,US,US,Software & Computer Services,65.7,7.7,420.7,-1.5,15.6,3.3,70.4,0.8,62.0,-30.9,14.7,2216,3.9,1012.4,-22.5
1281,LOXO ONCOLOGY,US,US,Pharmaceuticals & Biotechnology,65.7,35.1,17.8,,369.7,0.7,232.9,3.7,-127.1,108.3,-715.5,59,103.4,2076.0,317.3
1282,XINFENGMING GROUP,China,China,Personal Goods,65.6,150.7,2689.7,27.0,2.4,167.6,,6.2,262.8,80.3,9.8,7462,1.8,375.8,
1283,WEG,Brazil,RoW,Industrial Engineering,65.4,4.9,2401.0,1.7,2.7,64.3,-21.7,2.7,298.1,11.2,12.4,29448,0.9,8327.0,23.8
1284,STANDARD LIFE,UK,EU,Life Insurance,65.3,-4.9,19129.9,-28.4,0.3,41.7,270.0,0.2,2513.5,-89.9,13.1,7768,23.3,14409.8,77.6
1285,DOMO,US,US,Software & Computer Services,65.3,2.8,90.5,45.6,72.1,6.1,-37.5,6.7,-146.6,-3.9,-162.0,796,,,
1286,PROMETIC LIFE SCIENCES,Canada,RoW,Pharmaceuticals & Biotechnology,65.2,11.8,25.9,138.6,251.7,5.1,-45.4,19.7,-84.5,13.9,-326.1,480,20.0,762.3,-31.7
1287,RETROPHIN,US,US,Pharmaceuticals & Biotechnology,65.2,10.3,129.2,16.0,50.5,0.7,-37.9,0.6,-39.7,-10.3,-30.7,173,28.1,781.0,59.2
1288,GOGO,US,US,Mobile Telecommunications,65.1,70.2,582.9,17.2,11.2,210.4,70.2,36.1,-53.6,141.3,-9.2,1244,5.2,1013.0,15.3
1289,HANERGY SOLAR,China,China,Alternative Energy,65.1,7.6,656.0,37.1,9.9,10.6,-48.7,1.6,51.7,-32.3,7.9,4250,34.4,,
1290,ANGLO AMERICAN,UK,EU,Mining,65.0,23.8,21881.9,22.8,0.3,1899.4,-5.8,8.7,9731.5,604.8,44.5,69000,-13.8,22193.9,80.2
1291,ENERGIAS DE PORTUGAL,Portugal,EU,Electricity,65.0,338.7,15746.0,7.9,0.4,1921.0,-8.1,12.2,2336.5,0.3,14.8,11657,-2.8,11792.3,27.1
1292,DIODES,US,US,Electronic & Electrical Equipment,64.9,11.4,879.0,11.9,7.4,92.7,89.9,10.5,75.5,159.8,8.6,8586,11.6,1151.4,37.4
1293,DAIWA HOUSE INDUSTRY,Japan,Japan,Household Goods & Home Construction,64.9,4.8,28035.2,8.1,0.2,2045.3,-14.3,7.3,2476.7,9.7,8.8,42460,6.8,18929.1,44.0
1294,XIAMEN TUNGSTEN,China,China,Industrial Metals & Mining,64.9,58.8,1712.3,65.5,3.8,96.0,128.6,5.6,196.0,205.7,11.4,12758,10.0,3915.5,22.0
1295,VTECH,China,China,Technology Hardware & Equipment,64.7,0.5,1776.1,2.4,3.6,31.4,5.3,1.8,192.9,15.7,10.9,26000,-3.7,2950.6,27.1
1296,CHINA ALUMINUM INTERNATIONAL ENGINEERING,China,China,Construction & Materials,64.7,135.6,4618.2,33.7,1.4,38.8,110.7,0.8,178.5,15.0,3.9,13914,20.7,99.3,47.5
1297,NXC,South Korea,RoW,Software & Computer Services,64.7,4.3,2079.4,23.8,3.1,,,,846.8,44.7,40.7,,,,
1298,RAZER,China,China,Media,64.6,43.7,431.9,32.1,14.9,9.2,-8.9,2.1,-136.3,158.9,-31.6,840,17.0,,
1299,NABTESCO,Japan,Japan,Industrial Engineering,64.5,18.6,2085.8,15.3,3.1,84.0,-21.4,4.0,213.9,19.7,10.3,7591,6.0,3553.4,44.1
1300,MOMENTA PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,64.3,-8.9,115.8,26.7,55.5,14.3,205.3,12.3,-77.2,23.9,-66.6,279,-3.8,1071.0,50.5
1301,SHAANXI J&R FIRE PROTECTION,China,China,Electronic & Electrical Equipment,64.3,201.3,1182.0,159.7,5.4,182.2,1280.7,15.4,-459.3,-665.3,-38.9,8429,-27.0,868.1,-5.7
1302,ISHIHARA SANGYO KAISHA,Japan,Japan,Chemicals,64.3,6.5,797.6,6.3,8.1,43.2,10.3,5.4,73.6,33.8,9.2,1578,-0.2,442.6,121.5
1303,IMI,UK,EU,Industrial Engineering,64.2,0.9,1972.7,5.7,3.3,78.6,-1.6,4.0,213.2,0.5,10.8,10670,-3.7,3478.0,7.4
1304,PROGRESS SOFTWARE,US,US,Software & Computer Services,64.2,-13.1,331.5,-1.9,19.4,2.8,-41.6,0.8,78.6,-452.1,23.7,1470,-23.1,1352.1,15.3
1305,ACCELERON PHARMA,US,US,Pharmaceuticals & Biotechnology,64.0,36.2,11.2,-51.5,569.6,3.7,30.1,32.6,-91.7,66.4,-815.8,139,14.9,1250.3,32.9
1306,TOHOKU ELECTRIC POWER,Japan,Japan,Electricity,63.9,-2.0,15298.1,6.2,0.4,2122.1,-1.0,13.9,685.0,-28.9,4.5,25058,1.2,5585.9,16.0
1307,TIANJIN ZHONGHUAN SEMICONDUCTOR,China,China,Technology Hardware & Equipment,63.6,27.2,1212.5,41.3,5.2,497.4,85.6,41.0,134.8,116.9,11.1,7622,43.9,,
1308,HALMA,UK,EU,Electronic & Electrical Equipment,63.6,11.6,1212.5,11.9,5.2,22.8,-7.6,1.9,206.6,9.2,17.0,6113,5.9,4674.9,3.2
1309,OKTA,US,US,Software & Computer Services,63.6,72.7,216.8,62.2,29.3,5.5,4.7,2.5,-97.0,40.0,-44.8,1176,31.0,433.5,
1310,GUANGZHOU SHIYUAN ELECTRONIC,China,China,Electronic & Electrical Equipment,63.5,63.0,1377.7,31.7,4.6,42.1,109.6,3.1,106.0,9.8,7.7,2727,33.3,381.2,
1311,TONGWEI,China,China,Food Producers,63.5,44.0,3264.9,23.3,1.9,554.3,21.6,17.0,337.2,101.1,10.3,18049,3.3,2184.9,65.7
1312,SINOCHEM INTERNATIONAL,China,China,Chemicals,63.5,62.1,7895.1,16.0,0.8,336.4,9.6,4.3,364.8,64.4,4.6,18955,11.9,2420.5,14.0
1313,SIMCORP,Denmark,EU,Software & Computer Services,63.5,9.7,343.4,16.0,18.5,3.2,6.4,0.9,88.9,30.3,25.9,1421,11.5,2012.8,3.2
1314,CHINA SHIPBUILDING (GROUP POWER),China,China,Electronic & Electrical Equipment,63.5,-14.8,2871.7,3.0,2.2,70.4,6.2,2.5,193.4,13.2,6.7,19716,3.0,2990.0,44.2
1315,HYUNDAI HEAVY INDUSTRIES,South Korea,RoW,Industrial Engineering,63.4,-60.4,12048.8,-30.6,0.5,309.7,-66.7,2.6,11.4,-96.3,0.1,,,6554.4,-19.5
1316,ALUMINUM CORPORATION OF CHINA,China,China,Industrial Metals & Mining,63.3,192.9,23059.6,24.9,0.3,1131.7,41.6,4.9,938.2,29.8,4.1,64794,-1.5,1699.0,99.0
1317,AUDENTES THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,63.3,55.6,,,,6.3,-54.7,,-77.7,55.2,,152,56.7,486.3,71.6
1318,CHINA SINOMA INTERNATIONAL ENGINEERING,China,China,Construction & Materials,63.3,29.2,2487.2,2.9,2.5,23.6,-12.7,0.9,162.2,172.4,6.5,8240,-6.3,1825.6,24.2
1319,ATHENEX,US,US,Pharmaceuticals & Biotechnology,63.3,25.1,31.7,85.1,199.4,4.5,265.8,14.3,-91.7,28.3,-289.1,477,9.2,816.5,
1320,COMPUTERSHARE,Australia,RoW,Software & Computer Services,63.2,0.0,1909.4,9.0,3.3,32.8,15.0,1.7,376.6,26.1,19.7,,,4992.2,42.2
1321,ANTA SPORTS PRODUCTS,China,China,Leisure Goods,62.9,34.8,2137.5,25.1,2.9,70.0,44.7,3.3,508.4,23.8,23.8,18800,5.6,8821.5,57.4
1322,ARDELYX,US,US,Pharmaceuticals & Biotechnology,62.9,-19.8,35.0,,179.7,2.0,-51.6,5.6,-54.3,-42.3,-155.0,75,-19.4,203.7,-48.1
1323,YINYI,China,China,Real Estate Investment & Services,62.9,62.1,1569.5,73.5,4.0,235.0,3102.3,15.0,221.0,11.5,14.1,10994,112.6,3151.4,-10.7
1324,MOBILEIRON,US,US,Mobile Telecommunications,62.8,11.8,147.2,7.7,42.7,5.4,120.3,3.7,-44.7,-17.8,-30.4,884,3.5,298.3,38.6
1325,ABIOMED,US,US,Health Care Equipment & Services,62.8,13.6,495.1,33.3,12.7,46.6,10.8,9.4,131.0,74.3,26.5,1143,25.9,5545.4,31.0
1326,DIGITAL CHINA,China,China,Software & Computer Services,62.8,13.1,1413.5,-47.4,4.4,61.0,147.1,4.3,10.2,-80.0,0.7,12025,14.5,675.8,-23.0
1327,IMA INDUSTRIA MACCHINE AUTOMATICHE,Italy,EU,Industrial Engineering,62.7,7.6,1444.7,10.2,4.3,21.1,4.1,1.5,168.6,14.6,11.7,5613,6.9,3191.8,42.1
1328,BEKAERT,Belgium,EU,Industrial Metals & Mining,62.6,-1.5,4098.2,10.3,1.5,272.7,72.0,6.7,323.5,15.3,7.9,25631,0.7,2417.2,8.3
1329,BARRACUDA NETWORKS,US,US,Software & Computer Services,62.6,5.4,294.0,10.1,21.3,5.3,-19.0,1.8,18.4,-420.3,6.3,1490,-0.1,1069.3,6.0
1330,AMAG PHARMACEUTICALS,US,US,Pharmaceuticals & Biotechnology,62.6,13.5,508.6,14.6,12.3,7.5,64.6,1.5,-244.5,-468.5,-48.1,762,39.8,488.0,-28.1
1331,LIVZON PHARMACEUTICAL,China,China,Pharmaceuticals & Biotechnology,62.5,68.2,1070.3,11.5,5.8,37.7,-20.2,3.5,172.0,43.0,16.1,6963,10.6,1949.3,23.4
1332,XTRION,Belgium,EU,Technology Hardware & Equipment,62.5,7.6,576.1,20.8,10.9,105.1,67.2,18.2,115.4,30.4,20.0,3666,10.5,,
1333,WILO,Germany,EU,Industrial Engineering,62.5,-1.1,1424.8,7.4,4.4,94.8,21.6,6.7,106.3,-0.8,7.5,7726,2.4,,
1334,LFB,France,EU,Pharmaceuticals & Biotechnology,62.4,-19.5,490.1,-5.6,12.7,73.9,-20.4,15.1,-125.8,-12294.1,-25.7,2339,0.5,,
1335,HORIZON PHARMA,Ireland,EU,Pharmaceuticals & Biotechnology,62.3,23.0,880.7,7.7,7.1,3.6,-72.4,0.4,-327.2,383.4,-37.1,1010,-3.8,1863.3,-26.1
1336,TRUECAR,US,US,Software & Computer Services,62.2,13.8,269.4,16.4,23.1,16.5,19.1,6.1,-28.1,-13.5,-10.4,686,5.5,1392.1,104.5
1337,SINOPEC OILFIELD SERVICE,China,China,Oil & Gas Producers,62.2,43.9,6208.7,13.0,1.0,149.6,-1.7,2.4,-1020.0,-45.5,-16.4,79375,-2.4,304.8,-6.8
1338,CHR HANSEN,Denmark,EU,Pharmaceuticals & Biotechnology,62.1,5.6,1062.5,12.0,5.8,90.9,52.3,8.6,307.1,14.7,28.9,2940,8.6,9519.4,32.8
1339,SEIKAGAKU,Japan,Japan,Pharmaceuticals & Biotechnology,62.1,7.3,222.9,2.0,27.9,8.1,34.6,3.6,10.5,10.8,4.7,718,4.5,816.5,33.2
1340,DENALI THERAPEUTICS,US,US,Pharmaceuticals & Biotechnology,62.1,-1.6,,,,2.4,-53.1,,-75.2,3.1,,130,4.0,,
