,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
1350,DELTA ELECTRONICS (THAILAND),Thailand,Electronic & Electrical Equipment,41.4,-4.6,0.8,4.5,910.5,1.0,4.9,12.6,-52.6,-27.1,1.4,105.8,18.1,6.3,11.6,,   ,   
1351,MONITISE,UK,Software & Computer Services,41.3,58.7,110.4,47.5,86.9,101.7,129.5,6.1,60.7,80.3,7.0,-43.1,161.4,28.7,-49.6,560,74.5,84.6
1352,DURR,Germany,Industrial Engineering,41.3,24.8,18.2,1.7,2406.9,0.3,24.0,42.7,90.4,65.3,1.8,203.5,15.5,88.3,8.5,8142,6.4,12.5
1353,AVIO,Italy,Aerospace & Defence,41.2,15.9,2.8,16.6,248.2,-86.0,-45.5,,   ,   ,0.0,17.8,-90.2,-54.0,7.2,5343,3.3,1.9
1354,AVEVA,UK,Software & Computer Services,41.1,3.1,10.0,14.5,283.4,7.8,10.9,3.7,-19.3,14.3,1.3,83.9,10.0,11.1,29.6,1432,15.7,16.7
1355,NKT,Denmark,Electronic & Electrical Equipment,41.1,1.3,-5.2,1.9,2117.9,3.6,3.0,34.4,-29.5,-29.9,1.6,68.1,7.6,2.5,3.2,8899,0.4,1.7
1356,DANIELI,Italy,Industrial Engineering,41.1,-26.0,-0.9,1.4,2937.7,24.0,8.8,149.2,36.9,15.5,5.1,201.8,-17.8,-15.2,6.9,10944,9.0,8.1
1357,SUZUKEN,Japan,Pharmaceuticals & Biotechnology,41.1,6.5,-5.4,0.3,13691.1,4.9,4.3,58.0,-13.5,0.6,0.4,121.0,57.1,52.2,0.9,15287,3.0,0.3
1358,TSUMURA,Japan,Pharmaceuticals & Biotechnology,41.0,21.3,13.0,5.4,757.9,4.2,5.1,52.8,-4.0,15.3,7.0,154.7,-2.1,1.4,20.4,2898,2.4,2.2
1359,UNIMICRON TECHNOLOGY,Taiwan,Electronic & Electrical Equipment,40.9,8.3,13.1,2.8,1446.7,-11.2,-2.7,249.8,30.0,18.2,17.3,45.8,-65.4,-39.4,3.2,,   ,-100.0
1360,HIROSE ELECTRIC,Japan,Technology Hardware & Equipment,40.8,6.4,6.2,4.7,860.7,30.3,10.6,82.7,12.5,13.4,9.6,227.3,57.3,14.4,26.4,3966,-21.0,0.9
1361,SS&C TECHNOLOGIES,US,Software & Computer Services,40.8,22.9,20.8,7.9,516.8,29.1,29.4,10.4,-21.7,38.9,2.0,132.7,33.1,31.8,25.7,4194,2.6,44.2
1362,K12,US,General Retailers,40.7,17.1,19.8,6.1,666.8,8.4,20.7,35.8,-1.9,1.2,5.4,16.6,-50.0,-1.9,2.5,4200,20.0,18.9
1363,FIDESSA,UK,Software & Computer Services,40.7,6.3,9.0,12.2,333.2,0.1,2.1,14.0,34.2,19.3,4.2,48.7,-2.6,2.5,14.6,1671,-5.4,1.7
1364,KAYABA INDUSTRY,Japan,Industrial Engineering,40.6,7.9,22.4,3.0,1365.0,3.5,-2.5,,   ,   ,0.0,32.3,119.9,-25.8,2.4,3601,-6.4,-2.1
1365,MICREL,US,Technology Hardware & Equipment,40.5,-2.3,6.5,23.6,171.9,-5.2,-7.3,10.0,-47.5,12.4,5.8,14.8,-26.5,-35.2,8.6,728,-8.5,-4.5
1366,CONVERSANT,US,Media,40.3,-16.2,16.9,9.7,415.6,6.2,10.0,9.9,-21.6,10.9,2.4,121.7,25.3,21.9,29.3,1568,0.4,13.9
1367,FORTUNE BRANDS HOME & SECURITY,US,Household Goods & Home Construction,40.3,18.3,18.5,1.3,3014.6,15.8,8.7,70.1,28.9,18.4,2.3,259.6,107.8,19.3,8.6,19500,21.1,6.6
1368,LG UPLUS,South Korea,Mobile Telecommunications,40.3,-17.5,6.3,0.5,7866.9,5.0,12.8,1363.4,-1.0,18.7,17.3,372.5,327.7,61.3,4.7,,   ,   
1369,ENTEGRIS,US,Technology Hardware & Equipment,40.1,8.6,8.0,8.0,502.8,-3.1,0.2,43.8,20.9,53.2,8.7,67.0,-7.1,-4.6,13.3,3200,4.9,2.5
1370,JENOPTIK,Germany,Industrial Engineering,40.0,9.0,9.5,6.7,600.3,2.6,5.5,17.6,-28.4,10.0,2.9,49.9,5.7,-3.9,8.3,3433,4.9,5.2
1371,TIETO,Finland,Software & Computer Services,40.0,5.3,-3.3,2.4,1671.3,-8.4,-0.8,58.5,-1.0,-15.2,3.5,94.8,16.5,9.7,5.7,14699,-11.1,-6.1
1372,NESTE OIL,Finland,Oil & Gas Producers,40.0,-4.8,-0.8,0.2,17462.0,-2.2,13.7,200.0,-25.7,-40.0,1.1,583.0,109.7,22.6,3.3,5097,1.3,0.4
1373,COMMVAULT SYSTEMS,US,Software & Computer Services,40.0,16.4,14.3,9.4,425.2,18.2,23.0,69.7,406.4,144.0,16.4,73.1,24.0,41.3,17.2,1973,13.4,15.9
1374,IMA INDUSTRIA MACCHINE AUTOMATICHE,Italy,Industrial Engineering,40.0,10.6,9.1,5.3,760.9,3.6,14.8,13.8,52.8,16.9,1.8,90.1,4.5,30.4,11.8,3885,9.1,7.5
1375,PETROLEUM GEO SERVICES,Norway,"Oil Equipment, Services & Distribution",40.0,-3.8,17.1,3.7,1088.8,-1.1,9.8,318.0,22.3,25.2,29.2,277.1,29.6,43.1,25.4,2245,0.8,2.4
1376,SMITHFIELD FOODS,US,Food Producers,40.0,-31.9,5.4,0.6,6942.0,-27.6,-7.8,,   ,   ,0.0,206.9,-43.0,-33.1,3.0,47900,2.0,1.1
1377,EIZO NANAO,Japan,Technology Hardware & Equipment,39.9,8.9,3.6,7.9,507.1,26.4,4.1,9.9,-10.3,14.9,2.0,46.9,262.6,9.7,9.2,1675,2.3,3.9
1378,OUTOTEC,Finland,Industrial Engineering,39.9,16.0,21.2,2.1,1911.5,-8.4,25.4,23.8,16.7,31.4,1.2,142.0,-22.9,50.9,7.4,4855,1.0,15.8
1379,DATALOGIC,Italy,Electronic & Electrical Equipment,39.8,18.0,14.4,8.8,450.7,-2.5,4.7,7.7,-14.9,5.9,1.7,45.5,180.2,9.5,10.1,2364,-0.8,5.4
1380,NISSHIN SEIFUN,Japan,Food Producers,39.7,-4.0,-0.6,1.2,3415.0,8.9,5.3,128.3,7.1,14.5,3.8,153.4,11.5,0.0,4.5,5650,-2.0,1.2
1381,CHINA GEZHOUBA,China,Construction & Materials,39.7,1043.6,   ,0.6,6854.5,11.9,18.1,357.4,-1.5,-3.7,5.2,425.9,9.1,11.6,6.2,38014,-0.8,3.8
1382,RPM,US,Chemicals,39.6,10.8,10.1,1.2,3173.3,7.3,9.0,68.0,2.7,33.0,2.1,352.9,27.6,12.4,11.1,10848,   ,6.3
1383,STRAUMANN,Switzerland,Health Care Equipment & Services,39.6,20.6,6.8,7.2,553.0,-0.9,-2.7,,   ,   ,0.0,94.2,89.8,-11.0,17.0,,-100.0,-100.0
1384,DIGITAL CHINA,Bermuda,Software & Computer Services,39.5,65.4,19.9,0.8,4887.8,-28.9,-2.7,,-100.0,-100.0,0.0,-22.1,-111.9,  ,-0.5,9800,-7.5,-4.9
1385,TRELLEBORG,Sweden,General Industrials,39.5,-22.2,-9.4,1.6,2423.8,1.0,-7.6,96.2,0.6,3.2,4.0,286.9,2.4,7.7,11.8,14827,-11.2,-9.6
1386,PAUL HARTMANN,Germany,Health Care Equipment & Services,39.5,3.7,3.3,2.2,1794.4,2.1,3.2,69.8,40.1,4.6,3.9,110.9,21.2,2.7,6.2,10257,0.4,0.9
1387,SHANGHAI BAOSIGHT SOFTWARE,China,Software & Computer Services,39.4,64.9,27.7,9.3,423.8,-1.7,11.8,22.6,145.1,93.6,5.3,30.9,-3.4,8.7,7.3,4661,29.9,21.8
1388,TATE & LYLE,UK,Food Producers,39.4,-56.0,8.0,1.0,3757.9,-3.6,5.0,136.1,23.9,25.3,3.6,401.2,0.0,2.8,10.7,4467,1.9,1.2
1389,CORBION,The Netherlands,Food Producers,39.4,-12.8,-2.6,2.0,1987.7,-40.1,-12.7,66.1,24.5,-3.9,3.3,48.3,-164.6,-32.6,2.4,1885,2.8,-42.0
1390,QUESTCOR PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,39.3,58.1,70.5,6.8,579.3,56.9,90.7,,   ,   ,0.0,318.9,48.3,101.4,55.1,324,-41.8,28.7
1391,PHISON ELECTRONICS,Taiwan,Electronic & Electrical Equipment,39.3,34.7,27.1,5.1,776.6,-2.8,0.4,6.1,22.6,59.6,0.8,87.0,13.0,20.4,11.2,,-100.0,-100.0
1392,NIPPON PAPER INDUSTRIES,Japan,Forestry & Paper,39.2,-3.6,-6.0,0.5,7445.8,25.4,   ,354.0,5.8,   ,4.8,187.2,55.3,   ,2.5,13107,22.7,   
1393,EXELIS,US,Electronic & Electrical Equipment,39.2,-19.4,-23.2,1.1,3492.1,-12.8,-6.5,56.6,-34.5,-10.3,1.6,405.3,-3.6,-8.3,11.6,17200,-13.6,-5.5
1394,INTERACTIVE INTELLIGENCE,US,Software & Computer Services,39.2,18.2,24.0,17.0,230.8,34.1,24.1,19.5,63.7,69.9,8.4,10.4,1229.4,-14.9,4.5,1848,   ,29.6
1395,OPKO HEALTH,US,Pharmaceuticals & Biotechnology,39.1,176.1,89.6,55.8,70.0,105.2,50.2,2.9,169.2,72.3,4.1,-57.7,113.7,92.7,-82.5,,-100.0,   
1396,MILLER HERMAN,US,Household Goods & Home Construction,39.1,11.6,15.0,3.0,1287.0,0.0,10.4,,   ,   ,0.0,,   ,   ,0.0,5865,0.0,1.3
1397,ACORDA THERAPEUTICS,US,Pharmaceuticals & Biotechnology,39.1,0.0,20.8,16.0,243.9,10.0,20.8,5.2,-47.2,-8.8,2.1,22.0,18.6,  ,9.0,421,11.4,11.3
1398,GROHE HOLDING,Germany,Industrial Engineering,39.0,-6.7,13.7,2.8,1405.1,20.6,19.4,,   ,   ,0.0,77.0,68.9,19.0,5.5,8918,26.8,23.9
1399,DEUTSCHE POST,Germany,Industrial Transportation,39.0,-40.0,-27.7,0.1,55085.0,-0.8,2.3,1389.0,-15.3,5.8,2.5,2837.0,9.1,8.9,5.2,435285,1.7,1.3
1400,ACCURAY,US,Health Care Equipment & Services,39.0,-18.8,8.8,14.5,267.9,16.9,18.5,8.7,-22.3,43.7,3.2,-13.2,-74.6,-13.3,-4.9,206,-11.2,-42.8
1401,LENNOX INTERNATIONAL,US,Construction & Materials,38.9,5.9,2.8,1.7,2319.7,8.5,7.4,56.8,56.0,22.0,2.4,211.3,36.0,11.7,9.1,9700,-19.2,-6.3
1402,TRAVELSKY TECHNOLOGY,China,Technology Hardware & Equipment,38.8,-44.3,-0.3,7.3,532.2,13.2,15.0,116.4,169.9,-25.2,21.9,148.1,6.4,8.1,27.8,5939,12.2,11.2
1403,OREXIGEN THERAPEUTICS,US,Pharmaceuticals & Biotechnology,38.7,-24.1,25.5,1555.4,2.5,0.0,40.7,0.5,   ,142.3,18.7,-56.0,-14.5,14.5,-2252.0,51,18.6,14.5
1404,NEXEN TIRE,South Korea,Automobiles & Parts,38.6,35.2,39.0,3.3,1187.4,1.3,14.7,182.6,-1.2,20.6,15.4,121.6,-1.8,19.3,10.2,,   ,   
1405,CEZ,Czech Republic,Electricity,38.5,39.3,14.2,0.5,7919.3,1.0,3.0,1679.4,-13.9,-9.9,21.2,1733.6,-16.8,-11.3,21.9,26647,-14.9,-6.5
1406,MAXLINEAR,US,Technology Hardware & Equipment,38.5,14.5,24.2,44.4,86.8,22.4,20.3,3.0,-24.4,-0.9,3.4,-9.0,-5.5,  ,-10.3,242,-11.7,4.8
1407,CONSTANT CONTACT,US,Software & Computer Services,38.4,16.5,24.4,18.6,206.9,13.2,17.9,13.7,-13.8,3.3,6.6,6.0,99.4,41.7,2.9,1235,6.3,18.9
1408,MEGACHIPS,Japan,Electronic & Electrical Equipment,38.4,93.6,66.1,9.5,402.6,9.0,17.3,2.8,-31.2,129.8,0.7,28.7,5.3,11.0,7.1,739,5.1,40.1
1409,HALMA,UK,Electronic & Electrical Equipment,38.4,3.4,7.7,4.7,807.8,9.3,9.3,18.9,9.4,3.2,2.3,173.1,24.7,13.5,21.4,4999,6.0,8.9
1410,ASTRONICS,US,General Industrials,38.3,17.6,23.1,15.5,246.5,27.6,20.2,5.0,-58.9,24.4,2.0,30.7,29.7,20.2,12.4,1715,48.4,19.3
1411,CRANE,US,Industrial Engineering,38.2,-21.2,-2.4,2.0,1881.9,0.6,6.0,21.4,0.5,11.9,1.1,252.2,5.8,13.2,13.4,11500,9.5,3.1
1412,MANOR HOLDCO,UK,Travel & Leisure,38.2,3.2,   ,108.7,35.2,2.9,   ,,   ,   ,0.0,-55.7,12.8,   ,-158.4,168,52.7,   
1413,NICHIAS,Japan,General Industrials,38.2,6.9,1.9,3.8,1013.1,7.4,0.7,41.9,21.0,15.6,4.1,70.3,8.5,-1.6,6.9,4813,3.2,3.4
1414,POLYONE,US,Chemicals,38.1,25.5,15.9,1.4,2734.5,31.8,12.9,55.4,33.1,24.6,2.0,148.1,81.2,15.5,5.4,7000,40.0,20.5
1415,GIANT INTERACTIVE,Cayman Islands,Software & Computer Services,38.1,-4.0,17.7,13.6,279.9,8.4,20.8,,   ,   ,0.0,173.1,10.6,24.0,61.9,1529,-10.1,-6.1
1416,ZYXEL COMMUNICATIONS,Taiwan,Technology Hardware & Equipment,38.1,15.5,30.9,9.1,420.8,15.6,31.8,11.0,39.0,75.8,2.6,5.4,516.4,-36.8,1.3,,-100.0,-100.0
1417,NEWPORT,US,General Industrials,38.1,-0.4,10.2,9.4,406.1,-5.9,5.3,11.8,41.5,22.5,2.9,22.7,-138.1,-16.0,5.6,2400,-1.6,11.2
1418,WOLFSON MICROELECTRONICS,UK,Technology Hardware & Equipment,38.0,5.5,6.7,29.2,130.1,-0.2,4.5,,   ,   ,0.0,-14.5,107.8,19.8,-11.1,440,4.5,0.8
1419,UPM-KYMMENE,Finland,Forestry & Paper,38.0,-15.6,-5.5,0.4,10054.0,-4.2,4.1,337.0,-11.1,11.8,3.4,499.0,-135.5,-9.8,5.0,20950,-5.5,-1.4
1420,SAXA HOLDINGS,Japan,Technology Hardware & Equipment,38.0,16.7,2.4,12.8,296.8,11.1,0.2,3.3,-11.7,4.5,1.1,-3.8,-207.3,  ,-1.3,1316,-1.4,-1.5
1421,XCERRA,US,Technology Hardware & Equipment,37.9,4.9,2.2,34.4,110.2,15.0,-11.5,2.0,-16.8,-8.8,1.8,-9.0,-40.7,  ,-8.2,649,4.7,2.0
1422,STRATASYS,Israel,Technology Hardware & Equipment,37.9,166.1,75.0,10.8,351.2,125.0,60.5,24.1,176.0,62.0,6.9,-21.0,-269.0,  ,-6.0,,-100.0,-100.0
1423,E INK,Taiwan,Electronic & Electrical Equipment,37.9,-7.2,0.0,8.3,456.3,-29.2,-9.1,26.4,-23.2,-6.2,5.8,5.3,-131.6,-65.2,1.2,,-100.0,-100.0
1424,QUNAR,Cayman Islands,Software & Computer Services,37.9,70.4,122.5,37.5,101.1,69.6,   ,4.7,67.4,   ,4.6,-18.2,102.7,   ,-18.0,,   ,   
1425,LG,South Korea,Electronic & Electrical Equipment,37.9,22.3,18.7,0.6,6732.5,1.1,1.1,259.9,-11.2,-1.8,3.9,792.8,-6.3,-15.7,11.8,,   ,   
1426,ARQUES INDUSTRIES,Germany,Financial Services,37.9,-4.5,-6.9,10.0,377.1,-13.8,-28.0,5.6,-36.5,-25.4,1.5,-13.3,-57.9,-44.7,-3.5,1429,-18.0,-15.1
1427,GAS TURBINE EFFICIENCY,UK,Industrial Engineering,37.9,-9.7,60.6,0.7,5122.3,3.6,11.7,65.5,30.3,18.4,1.3,316.6,22.8,10.6,6.2,35474,6.0,14.1
1428,LKAB,Sweden,Mining,37.8,22.3,17.2,1.4,2670.3,-12.3,-6.1,,   ,   ,0.0,862.3,-27.9,-14.6,32.3,4427,1.6,3.2
1429,FARADAY TECHNOLOGY,Taiwan,Technology Hardware & Equipment,37.8,2.0,3.2,22.5,167.7,-16.4,1.6,0.3,-69.2,-36.1,0.2,24.4,-15.8,2.1,14.6,,-100.0,-100.0
1430,INTEGRA LIFESCIENCES,US,Health Care Equipment & Services,37.8,2.1,2.7,6.2,606.3,0.6,4.5,34.7,-30.7,8.8,5.7,-2.6,-103.2,  ,-0.4,,-100.0,-100.0
1431,ASCOM,Switzerland,Technology Hardware & Equipment,37.7,-10.3,-7.3,10.1,373.9,2.2,-7.0,2.3,-12.5,-22.4,0.6,38.6,83.0,2.9,10.3,1586,-10.4,-8.8
1432,TOFAS,Turkey,Automobiles & Parts,37.7,7.3,-2.5,1.6,2389.0,5.0,3.2,61.7,25.0,6.4,2.6,171.4,8.8,4.4,7.2,6319,-13.5,-2.8
1433,AEOLUS TYRE,China,Automobiles & Parts,37.7,-4.3,3.5,3.8,996.1,-4.0,1.7,15.0,-35.0,-21.3,1.5,72.7,3.9,25.1,7.3,7420,19.2,8.5
1434,ICHIKOH INDUSTRIES,Japan,Automobiles & Parts,37.5,-1.6,3.0,6.1,610.8,6.4,-1.4,35.6,-28.6,5.4,5.8,2.2,-132.7,-52.7,0.4,3366,7.9,5.5
1435,POWER INTEGRATIONS,US,Electronic & Electrical Equipment,37.5,13.0,12.9,14.9,251.7,13.7,5.0,10.1,-14.7,-23.0,4.0,39.2,376.3,-3.4,15.6,562,6.8,8.2
1436,LONKING HOLDINGS,Cayman Islands,Industrial Engineering,37.4,17.6,9.3,3.9,969.3,3.3,-12.1,28.7,-56.7,-22.0,3.0,117.9,57.0,-24.5,12.2,,   ,   
1437,WISTRON NEWEB,Taiwan,Technology Hardware & Equipment,37.4,11.3,7.7,4.2,884.7,6.4,10.3,15.7,-14.0,-25.8,1.8,44.3,16.8,-4.7,5.0,,-100.0,-100.0
1438,NORITZ,Japan,General Industrials,37.4,1.1,-2.7,2.7,1379.5,7.1,4.6,49.1,29.0,18.9,3.6,61.8,1.5,7.9,4.5,9165,60.7,20.0
1439,MASIMO,US,Health Care Equipment & Services,37.4,19.3,17.4,9.4,396.8,11.0,10.5,9.4,-10.2,4.2,2.4,63.6,2.9,-0.9,16.0,3139,   ,9.4
1440,JIANGSU CHANGJIANG ELECTRONICS TECHNOLOGY,China,Technology Hardware & Equipment,37.3,52.8,36.6,6.2,602.9,15.0,12.2,132.9,6.2,17.7,22.0,29.2,1763.7,-10.6,4.8,11920,1.6,27.8
1441,TECO ELECTRIC & MACHINERY,Taiwan,Electronic & Electrical Equipment,37.3,18.7,4.4,2.7,1366.6,16.2,7.9,19.3,14.6,-12.3,1.4,127.2,18.6,9.3,9.3,,-100.0,-100.0
1442,CENTRAL GLASS,Japan,Construction & Materials,37.3,5.9,-0.9,2.8,1319.3,10.4,6.1,64.7,-22.9,2.7,4.9,44.6,-14.2,21.6,3.4,5347,6.7,8.6
1443,GRACO,US,Industrial Engineering,37.3,5.1,10.9,4.7,800.5,9.0,14.1,16.9,27.9,10.0,2.1,202.9,24.5,22.2,25.3,2700,3.8,7.1
1444,MIRACA,Japan,Pharmaceuticals & Biotechnology,37.3,6.6,6.2,2.7,1400.4,5.8,7.1,43.5,23.1,-3.3,3.1,182.7,7.0,7.6,13.0,6244,2.6,5.5
1445,EVERTZ TECHNOLOGIES,Canada,Leisure Goods,37.3,15.7,24.7,16.8,221.8,2.9,1.7,7.4,-1.9,38.0,3.3,52.0,-12.0,-11.5,23.4,,   ,   
1446,HANESBRANDS,US,Personal Goods,37.2,6.2,2.9,1.1,3355.7,2.3,3.7,31.6,6.4,-25.7,0.9,373.9,17.2,10.6,11.1,,-100.0,-100.0
1447,BEIJING DABEINONG TECHNOLOGY,China,General Industrials,37.2,109.2,81.7,1.9,1969.6,57.2,47.1,171.5,58.7,69.4,8.7,114.4,22.9,38.9,5.8,25855,98.4,41.3
1448,F-SECURE,Finland,Software & Computer Services,37.2,-21.3,3.3,24.0,155.1,-1.3,6.0,4.0,-64.0,-27.3,2.6,27.1,33.6,11.0,17.5,939,-3.2,4.0
1449,MEDIDATA SOLUTIONS,US,Software & Computer Services,37.1,21.1,25.7,18.5,200.7,26.8,18.5,22.1,431.3,60.3,11.0,17.3,-14.4,0.8,8.6,923,16.0,15.6
1450,RICHTEK TECHNOLOGY,Taiwan,Electronic & Electrical Equipment,37.1,7.5,9.7,14.3,259.0,-4.8,-4.0,21.0,140.6,19.2,8.1,36.9,-20.7,-13.2,14.2,,-100.0,-100.0
1451,VESTEL ELEKTRONIK,Turkey,Electronic & Electrical Equipment,37.1,14.2,41.9,1.8,2110.6,-11.5,5.5,69.6,-10.4,37.3,3.3,125.8,142.6,27.9,6.0,13673,-0.1,-2.7
1452,COOPER TIRE & RUBBER,US,Automobiles & Parts,37.1,0.6,8.8,1.5,2493.8,-18.1,0.8,130.8,-12.3,14.6,5.2,174.5,-39.4,4.6,7.0,13280,-2.0,1.0
1453,AMORE PACIFIC,South Korea,Personal Goods,37.1,-16.2,-2.9,1.4,2676.3,13.5,13.4,281.0,24.0,5.8,10.5,322.7,4.3,8.3,12.1,,   ,   
1454,IKANOS COMMUNICATIONS,US,Technology Hardware & Equipment,37.0,-11.2,-7.1,64.0,57.8,-36.7,-25.3,3.1,-37.7,-1.2,5.4,-21.2,89.7,-9.7,-36.6,263,0.0,-12.0
1455,NUTRECO,The Netherlands,Food Producers,37.0,5.1,20.2,0.7,5237.2,-4.0,7.9,85.7,-17.5,-0.3,1.6,230.0,-12.8,10.1,4.4,7307,8.8,-6.5
1456,DONG-A ST,South Korea,Pharmaceuticals & Biotechnology,37.0,   ,   ,10.7,344.2,   ,   ,24.7,   ,   ,7.2,27.3,   ,   ,7.9,,   ,   
1457,BROADSOFT,US,Software & Computer Services,36.8,39.3,37.3,28.5,129.4,8.3,23.1,4.2,47.6,19.0,3.2,-5.3,-128.9,  ,-4.1,725,18.7,24.9
1458,STANLEY ELECTRIC,Japan,Automobiles & Parts,36.8,-2.4,2.4,1.6,2267.6,25.1,9.9,209.0,13.9,6.0,9.2,253.9,34.2,7.2,11.2,14478,3.4,3.5
1459,OCTAPHARMA,Switzerland,Pharmaceuticals & Biotechnology,36.7,-15.5,-1.5,4.1,900.7,24.2,-9.6,,   ,   ,0.0,134.3,112.7,-26.3,14.9,4939,9.4,7.5
1460,SYNERGY PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,36.7,72.8,74.3,   ,,   ,   ,0.4,2096.4,   ,   ,-45.2,63.0,56.9,   ,25,38.9,35.7
1461,KTM,Austria,Automobiles & Parts,36.7,4.2,9.4,5.1,716.4,17.1,6.6,58.1,3.4,19.1,8.1,54.8,49.6,22.3,7.6,1808,9.8,4.3
1462,SIRIUS XM,US,Media,36.7,18.7,8.1,1.3,2754.8,11.7,10.5,125.9,78.4,-17.7,4.6,759.5,20.1,25.6,27.6,2195,37.5,14.1
1463,INPHI,US,Technology Hardware & Equipment,36.6,47.4,28.5,49.2,74.4,12.6,7.3,12.0,97.8,47.5,16.1,-8.9,55.1,  ,-12.0,229,19.3,11.3
1464,RIETER,Switzerland,Industrial Engineering,36.6,5.4,-21.7,4.3,842.1,16.5,-25.4,44.7,-32.6,-17.6,5.3,49.0,79.2,-15.0,5.8,4793,1.5,-27.9
1465,RUAG,Switzerland,Aerospace & Defence,36.6,9.8,-2.1,2.6,1425.0,0.6,-0.8,,   ,   ,0.0,93.5,0.9,5.5,6.6,8336,0.9,2.7
1466,NISSIN FOOD HOLDINGS,Japan,Food Producers,36.6,23.0,9.2,1.3,2875.8,9.1,3.7,145.1,0.0,-13.3,5.0,177.0,13.4,-9.2,6.2,8357,6.8,3.6
1467,TOHOKU ELECTRIC POWER,Japan,Electricity,36.5,-17.1,-16.9,0.3,14040.0,13.7,6.1,1803.8,3.5,4.4,12.8,589.7,-242.1,-8.6,4.2,24667,-0.2,2.8
1468,GUODIAN TECHNOLOGY & ENVIRONMENT,China,Electricity,36.5,28.3,29.3,1.2,3020.5,16.7,32.2,200.9,-39.9,-34.7,6.6,224.3,3.4,30.8,7.4,11371,4.1,   
1469,TOWA PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,36.5,18.9,17.6,8.6,422.5,11.1,10.0,54.8,-24.4,-2.5,13.0,53.1,1.0,-7.2,12.6,1879,10.8,8.9
1470,MOLNLYCKE HEALTH CARE,Sweden,Health Care Equipment & Services,36.4,7.1,22.0,4.0,901.5,1.5,3.4,,   ,   ,0.0,212.4,15.1,8.6,23.6,454,14.9,11.3
1471,AUXILIUM PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,36.4,9.3,1.5,12.5,290.6,1.4,23.8,7.5,18.5,-2.6,2.6,-49.4,-179.7,10.1,-17.0,639,   ,4.2
1472,DATANG TELECOM TECHNOLOGY,China,Technology Hardware & Equipment,36.3,19.9,37.3,3.9,935.8,28.2,25.3,101.8,20.5,99.0,10.9,46.6,68.1,27.4,5.0,5059,5.0,15.7
1473,NATS,UK,Industrial Transportation,36.3,24.6,0.4,3.3,1095.7,2.0,5.7,,   ,   ,0.0,200.3,-31.6,2.0,18.3,4519,-0.9,-1.0
1474,YURA,South Korea,Electronic & Electrical Equipment,36.3,13.2,2.2,3.1,1175.4,11.7,14.7,,   ,   ,0.0,46.1,-5.6,40.1,3.9,,   ,   
1475,KANSAI PAINT,Japan,Construction & Materials,36.3,2.5,-1.9,1.6,2206.7,9.0,10.6,106.8,-6.1,40.1,4.8,203.8,23.3,11.9,9.2,11917,4.5,14.4
1476,TYSON FOODS,US,Food Producers,36.3,16.3,9.6,0.1,24925.0,4.0,6.5,404.6,-19.1,0.5,1.6,997.0,6.9,-4.0,4.0,115000,0.0,0.0
1477,UNICHARM,Japan,Personal Goods,36.3,3.3,2.1,0.9,4127.9,20.9,16.7,404.5,22.7,28.9,9.8,463.0,13.0,13.0,11.2,12795,17.9,20.5
1478,CAIXA GENERAL DE DEPOSITOS,Portugal,Banks,36.2,-14.5,-12.0,2.0,1830.5,-36.7,-16.1,,   ,   ,0.0,-674.3,83.5,  ,-36.8,19601,-14.9,   
1479,GENTHERM,US,Automobiles & Parts,36.2,21.8,57.7,7.5,480.1,19.3,80.6,26.0,33.8,232.7,5.4,37.7,44.2,66.0,7.9,7403,15.9,330.2
1480,SHORETEL,US,Technology Hardware & Equipment,36.1,-9.5,3.0,14.6,246.4,8.4,19.3,8.5,-15.7,20.7,3.4,0.6,-103.6,  ,0.2,954,-1.1,14.6
1481,FURUNO ELECTRIC,Japan,Electronic & Electrical Equipment,36.1,20.9,5.6,6.9,521.0,5.7,0.9,10.2,64.6,11.2,2.0,9.9,24.0,17.7,1.9,2836,1.2,0.2
1482,MONOLITHIC POWER SYSTEMS,US,Technology Hardware & Equipment,36.1,1.9,2.2,20.9,172.6,11.4,2.9,11.4,-25.1,-11.5,6.6,17.1,64.3,-13.1,9.9,1105,11.3,7.5
1483,BIC,France,Household Goods & Home Construction,36.1,3.7,18.0,1.9,1887.8,-0.6,1.0,91.0,-16.9,17.1,4.8,337.4,-6.2,4.8,17.9,9373,1.3,0.2
1484,XJ ELECTRIC,China,Electronic & Electrical Equipment,36.0,0.4,29.4,4.4,822.1,8.5,24.3,11.5,44.9,-31.1,1.4,98.5,22.4,37.0,12.0,5169,-5.7,-5.1
