,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
176,THALES,France,Aerospace & Defence,564.5,-3.3,4.0,4.0,14194.1,0.3,2.6,453.7,3.8,12.9,3.2,896.7,13.4,  ,6.3,66447,0.7,1.4
177,FREESCALE,Bermuda,Technology Hardware & Equipment,547.5,1.8,-1.2,18.0,3035.3,6.1,-2.1,109.5,22.8,-18.7,3.6,385.8,14.9,  ,12.7,16800,1.8,-4.0
178,CHEVRON,US,Oil & Gas Producers,543.8,15.7,12.6,0.3,159715.8,-4.5,3.6,27543.3,22.8,24.7,17.2,20104.4,-29.8,1.6,12.6,64600,4.2,1.4
179,TENCENT,Cayman Islands,Software & Computer Services,542.1,9.2,45.2,7.5,7181.4,37.7,45.4,568.9,30.9,47.6,7.9,2064.1,22.0,21.9,28.7,27492,13.8,37.0
180,TOKYO ELECTRON,Japan,Technology Hardware & Equipment,541.7,7.4,3.7,12.8,4215.5,23.1,-2.9,65.1,-50.3,-34.4,1.5,-101.7,-217.6,  ,-2.4,12304,0.8,6.0
181,UBISOFT ENTERTAINMENT,France,Software & Computer Services,539.3,19.7,120.9,53.6,1007.1,-19.8,-1.0,,   ,   ,0.0,-75.3,-181.7,  ,-7.5,,   ,   
182,SANDISK,US,Technology Hardware & Equipment,538.2,23.1,18.8,12.0,4473.9,22.1,8.5,154.7,-56.3,25.4,3.5,1132.8,124.4,2.2,25.3,5459,17.8,16.3
183,DSM,The Netherlands,Chemicals,531.0,38.6,16.2,5.5,9618.0,5.3,2.0,650.0,7.6,20.7,6.8,491.0,10.8,-15.3,5.1,24349,3.6,3.6
184,HSBC,UK,Banks,530.1,-4.4,-10.1,1.1,47770.3,-7.2,-2.4,,   ,   ,0.0,16362.1,9.3,5.8,34.3,263000,-2.6,-5.0
185,YAMAHA MOTOR,Japan,Automobiles & Parts,523.9,9.1,11.3,5.4,9712.7,16.8,2.9,368.0,12.4,18.8,3.8,372.0,209.2,6.5,3.8,53382,-1.1,0.8
186,AUTOMATIC DATA PROCESSING,US,Support Services,520.6,9.7,7.5,6.3,8201.1,0.0,4.6,,   ,   ,0.0,,   ,   ,0.0,60000,-89.4,9.5
187,LAM RESEARCH,US,Technology Hardware & Equipment,519.5,8.9,24.3,15.6,3340.8,28.0,12.5,105.5,-9.5,4.5,3.2,491.4,464.7,-6.0,14.7,6500,-1.5,20.7
188,ACCENTURE,Ireland,Support Services,518.5,27.8,23.1,2.4,22039.2,2.1,9.6,268.0,-0.6,15.8,1.2,3146.0,11.9,14.2,14.3,275000,7.0,10.5
189,NIKON,Japan,Leisure Goods,513.4,-2.5,7.1,7.6,6752.2,-3.0,3.4,225.0,-47.2,12.6,3.3,417.4,20.4,4.2,6.2,23859,-0.8,-0.8
190,BP,UK,Oil & Gas Producers,512.7,4.9,-3.2,0.2,274915.5,0.9,8.5,17779.7,5.6,10.0,6.5,14541.4,6.7,  ,5.3,83900,-2.9,1.7
191,LENOVO,Hong Kong,Technology Hardware & Equipment,511.1,14.2,32.4,1.8,28066.9,14.3,21.5,128.8,-53.7,53.8,0.5,861.3,39.7,45.9,3.1,54000,54.2,25.9
192,AGILENT TECHNOLOGIES,US,Electronic & Electrical Equipment,510.5,5.4,4.8,10.4,4917.7,-1.1,7.6,141.4,0.5,17.2,2.9,714.2,-12.0,16.6,14.5,20600,0.5,3.6
193,VERTEX PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,508.3,-7.0,10.2,57.8,878.8,-20.6,103.7,37.3,-27.8,10.5,4.2,-625.7,-20764.0,7.5,-71.2,1800,-18.2,2.1
194,HELLA,Germany,Automobiles & Parts,507.6,21.1,16.3,10.2,4999.1,3.9,12.1,,   ,   ,0.0,276.0,-17.2,24.3,5.5,28527,7.3,8.8
195,CUMMINS,US,Industrial Engineering,507.6,-2.9,20.3,4.0,12545.1,-0.2,9.4,536.6,-4.8,22.1,4.3,1263.1,-10.3,11.6,10.1,47900,4.1,6.9
196,AMADEUS,Spain,Software & Computer Services,505.4,17.1,6.8,16.3,3103.7,6.6,6.2,411.2,637.1,110.4,13.2,887.6,6.8,41.4,28.6,10502,14.6,10.5
197,LSI,US,Technology Hardware & Equipment,502.0,0.3,-0.5,29.2,1718.7,-5.4,8.2,,   ,   ,0.0,128.0,-5.4,66.1,7.4,5272,3.8,-2.7
198,AUSTRALIA & NEW ZEALAND BANKING,Australia,Banks,501.4,-0.8,12.8,4.2,11857.3,5.9,5.5,,   ,   ,0.0,5799.4,12.9,11.0,48.9,47512,-1.5,   
199,ST JUDE MEDICAL,US,Health Care Equipment & Services,501.1,2.2,3.1,12.6,3988.8,0.0,2.1,161.0,-20.7,-10.0,4.0,1013.0,-6.3,1.9,25.4,16000,6.7,2.2
200,NINTENDO,Japan,Leisure Goods,494.0,34.1,10.8,12.5,3937.0,-10.0,-17.4,134.6,237.6,21.3,3.4,-319.7,27.5,  ,-8.1,5213,2.6,3.4
201,KONICA MINOLTA,Japan,Technology Hardware & Equipment,490.2,-0.5,-0.7,7.5,6498.9,16.1,6.7,251.3,17.6,-0.5,3.9,362.3,39.4,10.5,5.6,40401,-3.4,4.7
202,ASAHI KASEI,Japan,Chemicals,489.6,0.0,4.5,3.7,13068.3,13.9,5.9,557.3,-8.2,8.3,4.3,984.1,59.0,5.8,7.5,74345,162.1,43.8
203,BAIDU,Cayman Islands,Software & Computer Services,488.3,75.4,78.0,12.9,3795.7,43.2,59.2,329.0,18.3,45.7,8.7,1329.8,4.0,41.5,35.0,31676,   ,   
204,SYNOPSYS,US,Software & Computer Services,487.9,15.0,12.4,34.3,1422.8,11.7,12.4,50.1,-93.3,-49.7,3.5,178.7,29.7,10.2,12.6,8573,5.3,8.5
205,PEPSICO,US,Beverages,482.2,20.5,10.9,1.0,48158.2,1.4,4.7,2026.7,3.0,-4.9,4.2,7358.4,7.9,3.2,15.3,274000,-1.4,-2.3
206,TEXTRON,US,Aerospace & Defence,472.0,11.5,20.7,5.4,8776.7,-1.1,4.8,321.9,-7.5,18.0,3.7,614.2,-19.6,15.8,7.0,32000,-3.0,0.0
207,DASSAULT AVIATION,France,Aerospace & Defence,470.3,22.1,28.7,10.2,4593.0,16.5,3.1,63.5,5.0,2.9,1.4,1693.9,16.0,4.6,36.9,11590,0.3,0.1
