World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
211,ASAHI KASEI,Japan,Japan,Chemicals,710.2,5.2,17103.2,6.3,4.2,904.0,38.4,5.3,1564.2,1.1,9.1,39283.0,13.3,18016.2,23.8
212,CORNING,US,US,Technology Hardware & Equipment,704.8,17.1,9860.3,11.6,7.1,2017.5,28.0,20.5,1391.3,-2.3,14.1,51500.0,11.5,23706.2,4.5
213,HELLA,Germany,EU,Automobiles & Parts,703.3,-8.0,6990.0,-1.0,10.1,439.3,-14.4,6.3,796.4,38.7,11.4,38845.0,-3.5,5777.8,11.5
214,FRESENIUS,Germany,EU,Health Care Equipment & Services,703.0,14.5,33530.0,-1.1,2.1,2149.0,17.9,6.4,5251.0,14.4,15.7,276750.0,1.3,36404.3,-7.8
215,ORANGE,France,EU,Fixed Line Telecommunications,700.0,0.0,41381.0,1.3,1.7,7642.0,1.5,18.5,5103.0,-0.7,12.3,150711.0,-0.6,37107.8,-2.3
216,ACCENTURE,Ireland,EU,Support Services,690.6,12.3,36334.9,13.2,1.9,540.8,20.0,1.5,5101.3,26.1,14.0,459000.0,8.0,99525.3,31.2
217,HAIER SMART HOME,China,China,Household Goods & Home Construction,688.0,17.6,23148.2,12.1,3.0,861.1,55.9,3.7,1415.3,9.0,6.1,87447.0,13.7,11570.5,6.1
218,TELSTRA,Australia,RoW,Technology Hardware & Equipment,672.5,-9.5,15570.1,-2.3,4.3,1994.1,-9.4,12.8,2346.7,-30.1,15.1,29769.0,-7.8,22726.9,-15.5
219,XIAOMI,China,China,Technology Hardware & Equipment,671.2,74.7,22291.6,52.6,3.0,482.4,210.8,2.2,-423.1,-160.9,-1.9,16683.0, ,29746.6, 
220,DROPBOX,US,US,Software & Computer Services,670.9,102.0,1215.5,25.7,55.2,55.0,149.0,4.5,-431.4,334.5,-35.5,2323.0,25.0,2627.4, 
