World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
253,FRESENIUS,Germany,Health Care Equipment & Services,500.0,7.8,29083.0,3.9,1.7,1628.0,7.7,5.6,4327.0,10.0,14.9,232.9,4.8,35889.9,29.7
254,KLA-TENCOR,US,Technology Hardware & Equipment,499.8,9.8,3301.4,16.6,15.1,36.6,21.6,1.1,1210.4,31.8,36.7,6.0,7.3,10249.7,36.9
255,BAOSHAN IRON & STEEL,China,Industrial Metals & Mining,499.8,6.2,25081.5,13.3,2.0,1575.3,-51.9,6.3,1724.6,241.9,6.9,37.2,-2.4,,
256,HYUNDAI MOBIS,South Korea,Automobiles & Parts,495.6,8.7,30055.5,6.2,1.6,1043.7,-67.9,3.5,2281.7,-1.0,7.6,9.2,,19919.4,26.2
257,DONGFENG MOTOR,China,Automobiles & Parts,491.0,24.3,16711.1,-3.3,2.9,324.7,-20.8,1.9,329.0,50.1,2.0,149.1,14.8,2896.4,6.3
258,SHIONOGI,Japan,Pharmaceuticals & Biotechnology,486.6,20.3,2752.5,9.3,17.7,84.7,27.6,3.1,875.7,21.4,31.8,5.5,-6.5,13173.4,-3.0
259,AMAZON.COM,US,General Retailers,484.8,-20.4,129007.7,27.1,0.4,6391.2,46.8,5.0,3971.2,87.5,3.1,341.4,47.9,345923.9,52.0
260,ILLUMINA,US,Pharmaceuticals & Biotechnology,484.3,16.0,2275.3,8.0,21.3,257.5,89.4,11.3,549.3,-7.1,24.1,5.5,19.6,23412.1,-13.7
261,TORAY INDUSTRIES,Japan,Chemicals,481.1,0.8,16459.5,-3.7,2.9,1145.9,14.9,7.0,1169.3,-1.0,7.1,46.2,0.9,13203.6,-7.1
262,NINTENDO,Japan,Leisure Goods,480.8,-14.3,3972.5,-3.0,12.1,84.9,123.9,2.1,238.5,-10.7,6.0,5.2,2.0,26091.4,-9.3
263,JAPAN TOBACCO,Japan,Tobacco,472.7,0.7,17408.3,-4.9,2.7,820.9,-13.6,4.7,4298.6,-2.6,24.7,44.7,0.4,65107.8,-7.4
264,MITSUBISHI MOTORS,Japan,Automobiles & Parts,468.5,28.1,15486.1,-15.9,3.0,458.7,-18.2,3.0,32.1,-97.1,0.2,29.6,0.2,3779.0,-49.2
