World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
1379,LA JOLLA PHARMACEUTICAL,US,Pharmaceuticals & Biotechnology,58.5,120.0,0.6,-41.7, ,2.1,22.1,360.1,-74.3,86.7, ,0.1,81.0,283.1,-45.0
1380,SVENSKA HANDELSBANKEN,Sweden,Banks,58.4,22.6,4267.3,1.1,1.4,46.4,-13.1,1.1,2160.0,0.8,50.6,11.8,-0.5,21995.6,-11.3
1381,CRANE,US,Industrial Engineering,58.3,-2.1,2607.0,0.3,2.2,48.9,30.1,1.9,372.5,1.2,14.3,11.0,-1.8,3563.5,23.2
1382,IMA INDUSTRIA MACCHINE AUTOMATICHE,Italy,Industrial Engineering,58.2,12.2,1310.8,18.1,4.4,20.3,3.8,1.5,147.1,32.3,11.2,5.2,9.8,2245.7,45.4
1383,ZIJIN MINING,China,Mining,58.2,20.0,10532.2,5.8,0.6,753.7,13.6,7.2,575.6,135.6,5.5,17.4,-8.2,1810.9,28.3
1384,GLOBAL BLOOD,US,Pharmaceuticals & Biotechnology,58.1,67.0,,,,1.3,36.2,,-78.9,79.2,,0.1,72.7,601.0,-54.0
1385,ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY,China,Industrial Engineering,58.0,-17.3,2733.2,-3.5,2.1,30.4,-42.2,1.1,-96.6,-165.6,-3.5,15.2,-20.8,3609.3,-26.6
1386,REGULUS THERAPEUTICS,US,Pharmaceuticals & Biotechnology,58.0,71.6,1.1,-94.2, ,0.9,-33.0,76.5,-77.3,48.8, ,0.1,10.2,158.8,-61.3
1387,SIMCORP,Denmark,Software & Computer Services,57.8,10.4,295.9,6.5,19.5,3.0,46.5,1.0,68.2,-4.0,23.1,1.3,5.8,1953.8,9.7
1388,XCERRA,US,Technology Hardware & Equipment,57.8,-5.0,370.7,20.5,15.6,,,,27.1,2618.9,7.3,,,297.6,-8.2
1389,CITIZEN,Japan,Electronic & Electrical Equipment,57.8,-5.2,2538.7,-10.3,2.3,173.4,-0.8,6.8,166.2,-25.4,6.5,16.2,-5.1,1534.8,-37.6
1390,AMADA,Japan,Industrial Engineering,57.8,-8.4,2264.8,-8.3,2.6,124.3,144.6,5.5,266.0,-22.0,11.7,8.0,0.6,3323.0,-0.4
1391,ALEMBIC PHARMACEUTICALS,India,Pharmaceuticals & Biotechnology,57.7,34.7,433.0,-0.6,13.3,65.7,56.2,15.2,75.8,-42.6,17.5,8.8,10.2,1654.3,-11.9
1392,OTONOMY,US,Pharmaceuticals & Biotechnology,57.6,56.7,0.6,, ,2.4,26.1,372.8,-105.8,79.9, ,0.1,63.5,470.8,-9.5
1393,HORIZON PHARMA,Ireland,Pharmaceuticals & Biotechnology,57.6,44.9,930.8,29.6,6.2,14.9,119.8,1.6,-77.0,-246.6,-8.3,1.1,40.0,2869.8,-35.0
1394,PARROT,France,Technology Hardware & Equipment,57.6,-10.2,233.2,-28.5,24.7,13.3,0.0,5.7,-126.4,-6211.4,-54.2,1.0,9.6,450.7,-4.3
1395,HITACHI ZOSEN,Japan,Industrial Engineering,57.6,8.6,3243.5,3.2,1.8,65.3,-2.5,2.0,121.4,12.2,3.7,10.1,3.1,746.6,-13.1
1396,UNIMICRON TECHNOLOGY,Taiwan,Electronic & Electrical Equipment,57.5,0.8,1839.9,-3.1,3.1,138.6,-48.4,7.5,35.7,32.2,1.9,,,582.9,2.4
1397,ATHENEX,US,Pharmaceuticals & Biotechnology,57.5,147.8,19.5,47.4,295.0,4.0,24.6,20.4,-81.3,69.1,-417.2,0.4,,,
1398,GRACO,US,Industrial Engineering,57.5,3.5,1261.1,3.3,4.6,40.0,0.9,3.2,108.0,-62.3,8.6,3.3,3.1,3891.3,3.0
1399,DERMIRA,US,Pharmaceuticals & Biotechnology,57.5,1.8,21.4,209.4,268.2,0.7,272.8,3.3,-86.0,13.8,-401.3,0.1,53.2,1041.8,42.9
1400,ASIACELL,Iraq,Mobile Telecommunications,57.1,-17.5,1138.3,-10.3,5.0,102.5,-43.0,9.0,91.2,-32.0,8.0,2.8,1.5,,
1401,SERES THERAPEUTICS,US,Pharmaceuticals & Biotechnology,57.1,58.1,20.6,,276.7,20.4,392.7,98.7,-88.1,69.2,-426.5,0.1,47.7,400.0,-73.8
1402,JIANGSU ZHONGLI GROUP,China,General Industrials,57.1,22.7,1521.5,-6.3,3.8,122.1,29.4,8.0,84.8,-58.5,5.6,8.5,23.1,826.3,16.3
1403,WAGEWORKS,US,Software & Computer Services,57.0,2.3,346.0,9.1,16.5,46.9,75.7,13.6,32.2,-19.0,9.3,2.0,45.7,2145.2,40.7
1404,HINDALCO INDUSTRIES,India,Industrial Metals & Mining,57.0,10.2,13879.4,-4.0,0.4,556.9,-33.3,4.0,588.8,-19.6,4.2,24.1,9.7,4603.9,99.5
1405,RIO TINTO,UK,Mining,56.9,-42.3,32047.2,-3.0,0.2,2857.4,-35.7,8.9,7325.7,83.5,22.9,51.0,-7.1,36916.4,-4.9
1406,A10 NETWORKS,US,Software & Computer Services,56.8,10.8,218.2,15.6,26.0,6.0,83.3,2.8,-16.2,-53.0,-7.4,0.8,8.4,614.6,56.3
1407,SOGEFI,Italy,Automobiles & Parts,56.8,8.1,1574.1,5.0,3.6,58.8,14.6,3.7,102.3,33.5,6.5,6.8,1.5,202.8,-23.5
1408,COFIDE,Italy,General Industrials,56.8,8.2,2620.7,3.0,2.2,90.9,-30.6,3.5,140.1,87.0,5.3,13.8,-1.5,249.6,-16.2
1409,ARBUTUS BIOPHARMA,Canada,Pharmaceuticals & Biotechnology,56.7,124.6,1.4,-94.0, ,3.8,74.7,268.0,-466.4,380.5, ,0.1,-9.0,198.1,-46.0
1410,BAVARIAN NORDIC,Denmark,Pharmaceuticals & Biotechnology,56.7,3.9,135.4,-1.4,41.9,6.4,51.0,4.7,4.6,2056.6,3.4,0.4,6.8,1008.8,-10.4
1411,NORTHWEST BIOTHERAPEUTICS,US,Pharmaceuticals & Biotechnology,56.4,-41.4,0.6,-64.2, ,4.7,-26.8,792.8,-75.2,-37.2, ,0.0,-8.3,36.2,-93.7
1412,WESTPORT FUEL SYSTEMS,Canada,Industrial Engineering,56.4,12.6,213.4,117.7,26.4,8.9,92.9,4.2,-109.5,-5.3,-51.3,0.3,0.0,134.5,-36.0
1413,STERIS,UK,Health Care Equipment & Services,56.3,4.8,2478.7,16.7,2.3,164.0,36.8,6.6,215.9,6.9,8.7,13.3,22.9,5776.5,
1414,MASIMO,US,Health Care Equipment & Services,56.2,4.1,659.0,10.2,8.5,23.1,-55.4,3.5,143.0,49.8,21.7,4.3,16.0,2768.9,26.6
1415,HENGAN INTERNATIONAL GROUP,China,Personal Goods,56.2,-2.9,2715.8,1.1,2.1,123.0,5.0,4.5,652.3,-2.9,24.0,25.0,-15.8,9743.1,-14.5
1416,ACHILLION PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,56.1,4.6,14.2,-77.3,394.4,2.4,256.3,16.7,-61.5,329.4,-432.4,0.1,1.3,1071.0,12.0
1417,BIOCON,India,Pharmaceuticals & Biotechnology,56.1,6.6,486.6,13.9,11.5,113.2,-3.3,23.3,88.0,25.8,18.1,7.5,0.0,2560.3,106.5
1418,SUNPLUS TECHNOLOGY,Taiwan,Technology Hardware & Equipment,56.1,-1.4,221.9,-10.7,25.3,4.8,-57.0,2.2,8.5,-67.9,3.8,,,200.8,4.5
1419,ARCELIK,Turkey,Household Goods & Home Construction,56.0,15.6,4335.2,13.6,1.3,223.8,29.7,5.2,377.3,17.4,8.7,26.4,1.2,3851.0,55.0
1420,LUBRIZOL,UK,Chemicals,55.9,20.5,180.1,-10.1,31.1,6.4,11.8,3.5,26.1,-25.4,14.5,0.5,2.4,,
1421,BENEFITFOCUS,US,Software & Computer Services,55.9,13.0,221.4,26.0,25.3,12.1,-13.7,5.4,-30.5,-40.7,-13.8,1.4,-1.4,1136.2,5.2
1422,SPECTRUM PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,55.9,16.1,138.9,-9.9,40.2,0.1,-65.0,0.1,-58.5,51.3,-42.1,0.2,7.1,404.1,-13.0
1423,AVEXIS,US,Pharmaceuticals & Biotechnology,55.9,114.2,,,,18.2,8579.7,,-79.1,116.3,,0.1,288.9,771.6,
1424,BOLIDEN,Sweden,Mining,55.8,6.0,4220.5,0.2,1.3,416.1,9.6,9.9,587.4,56.3,13.9,5.5,12.3,5191.1,29.6
1425,LOGMEIN,US,Software & Computer Services,55.8,31.2,318.8,23.7,17.5,14.8,-6.1,4.6,4.2,-77.5,1.3,1.1,11.7,2004.7,36.3
1426,RADIANT OPTO ELECTRONICS,Taiwan,Electronic & Electrical Equipment,55.8,-3.9,1358.1,-10.8,4.1,38.7,-65.9,2.9,87.2,-13.7,6.4,,,711.7,-45.0
1427,SPECTRUM BRANDS,US,General Industrials,55.7,14.4,4781.0,7.4,1.2,90.3,6.8,1.9,671.8,26.1,14.1,15.7,1.3,7562.9,36.3
1428,CHIMERIX,US,Pharmaceuticals & Biotechnology,55.6,-38.7,5.4,-47.0,1028.5,0.8,-64.9,14.7,-74.0,-34.1,-1367.1,0.1,-33.6,210.9,-90.1
1429,TETRAPHASE PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,55.6,-5.6,4.9,-56.0,1139.3,0.4,-53.1,7.6,-73.8,-6.2,-1512.7,0.1,-4.3,132.3,-91.2
1430,MILLER HERMAN,US,Household Goods & Home Construction,55.6,-6.1,2161.3,0.6,2.6,82.8,2.6,3.8,192.9,-3.9,8.9,7.5,-1.7,2053.5,33.4
1431,TRANSDIGM,US,Aerospace & Defence,55.6,21.3,3008.6,17.2,1.8,41.7,-19.8,1.4,1257.4,19.4,41.8,9.3,13.4,14411.1,23.5
1432,CURTISS-WRIGHT,US,Aerospace & Defence,55.6,-3.7,2000.7,-4.4,2.8,44.4,31.7,2.2,303.2,-0.6,15.2,8.0,-4.8,3788.6,29.5
1433,TELEFLEX,US,Health Care Equipment & Services,55.6,12.4,1772.2,3.2,3.1,50.4,-13.5,2.8,359.2,17.0,20.3,12.6,3.3,7648.8,48.2
1434,CABOT MICROELECTRONICS,US,Technology Hardware & Equipment,55.5,-2.1,408.4,3.9,13.6,16.8,27.9,4.1,70.7,-0.7,17.3,1.1,3.1,1138.5,13.2
1435,K12,US,Software & Computer Services,55.5,-13.9,842.9,1.8,6.6,45.7,-23.3,5.4,3.0,-77.5,0.4,4.8,-1.0,449.7,-6.4
1436,UNIZYX HOLDING,Taiwan,Technology Hardware & Equipment,55.5,-4.6,659.3,4.9,8.4,5.3,-45.4,0.8,19.8,-572.9,3.0,,,206.0,34.8
1437,WOCKHARDT,India,Pharmaceuticals & Biotechnology,55.4,-20.2,556.7,-10.5,10.0,57.3,-16.5,10.3,-15.7,-130.6,-2.8,6.8,-8.2,1261.6,-39.1
1438,LOXO ONCOLOGY,US,Pharmaceuticals & Biotechnology,55.3,127.9,,,,0.2,154.8,,-69.4,102.8,,0.0,70.6,566.0,77.9
1439,ESI,France,Software & Computer Services,55.2,110.6,140.6,12.7,39.3,2.2,-16.5,1.6,13.7,46.7,9.8,1.2,9.4,221.6,42.2
1440,FIRST TRACTOR,China,Industrial Engineering,55.2,3.9,1128.2,-6.8,4.9,29.7,-47.0,2.6,36.2,-29.0,3.2,11.6,-2.1,786.4,-5.6
1441,INTEGRA LIFESCIENCES,US,Health Care Equipment & Services,55.2,14.3,941.2,12.4,5.9,44.9,41.6,4.8,150.9,16.7,16.0,3.7,5.7,3063.0,45.6
1442,FENG TAY ENTERPRISES,Taiwan,Personal Goods,55.2,17.6,1707.3,4.2,3.2,80.7,-7.9,4.7,212.2,15.2,12.4,,,2962.6,-12.4
1443,TOKYO SEIMITSU,Japan,Technology Hardware & Equipment,55.2,7.9,631.8,10.7,8.7,41.6,61.9,6.6,110.9,3.3,17.6,1.8,14.4,925.0,18.0
1444,FUJI MACHINE MANUFACTURING,Japan,Electronic & Electrical Equipment,55.1,2.7,701.7,-0.3,7.9,52.7,25.2,7.5,79.5,-10.4,11.3,2.1,0.4,941.5,8.9
1445,J M SMUCKER,US,Food Producers,55.1,-1.2,7012.9,-5.4,0.8,182.5,-4.5,2.6,1056.9,-13.9,15.1,7.1,3.3,15659.7,17.2
1446,U SHIN,Japan,Automobiles & Parts,55.1,5.4,1250.0,-6.3,4.4,34.7,-30.3,2.8,-27.9,-172.8,-2.2,6.8,2.2,158.4,-2.2
1447,SHERWIN WILLIAMS,US,General Industrials,55.1,0.6,11247.1,4.6,0.5,226.8,2.0,2.0,1650.5,7.7,14.7,42.6,4.5,24821.4,9.7
1448,AMCOR,Australia,General Industrials,55.0,-7.3,8633.9,-3.4,0.6,359.7,8.7,4.2,879.0,62.8,10.2,,,12720.3,14.5
1449,UNIQURE,Netherlands,Pharmaceuticals & Biotechnology,54.9,11.5,25.1,137.3,218.9,15.3,101.0,60.9,-71.9,1.1,-286.7,0.3,26.8,184.6,-66.1
1450,ESPERION THERAPEUTICS,US,Pharmaceuticals & Biotechnology,54.9,94.2,,,,0.1,-71.1,,-72.2,52.2,,0.0,37.5,230.4,-77.5
1451,JOHN WOOD GROUP,UK,Industrial Engineering,54.8,24.3,3909.1,-17.6,1.4,27.5,-19.7,0.7,131.3,-54.1,3.4,25.5,-9.4,3097.2,10.3
1452,NKT,Denmark,Electronic & Electrical Equipment,54.8,-9.3,2104.6,-5.4,2.6,40.7,4.4,1.9,40.3,17.8,1.9,9.0,0.7,1283.9,9.6
1453,APPDYNAMICS,US,Software & Computer Services,54.8,69.5,142.9,84.0,38.3,8.9,425.1,6.2,-120.2,40.8,-84.2,,,,
1454,AXALTA COATING SYSTEMS,US,Construction & Materials,54.7,11.8,3887.1,-0.4,1.4,129.2,-1.4,3.3,387.3,-12.9,10.0,13.0,1.6,6492.7,-0.8
1455,BEIJING SIFANG AUTOMATION,China,Electronic & Electrical Equipment,54.7,4.8,421.9,-5.2,13.0,18.8,-27.0,4.5,23.7,-37.0,5.6,3.4,-7.5,1098.9,-28.8
1456,SUZHOU KEDA TECHNOLOGY,China,Technology Hardware & Equipment,54.7,11.2,191.6,17.6,28.6,5.9,,3.1,17.2,84.6,9.0,3.4,8.1,,
1457,DONG-A ST,South Korea,Pharmaceuticals & Biotechnology,54.6,21.2,440.3,-1.3,12.4,17.4,-31.3,3.9,11.7,-72.4,2.6,,,689.8,-6.1
1458,WORKIVA,US,Software & Computer Services,54.5,13.8,169.5,23.0,32.2,2.0,-6.2,1.2,-41.3,-0.2,-24.4,1.2,4.5,506.9,30.7
1459,NEOPHOTONICS,US,Technology Hardware & Equipment,54.4,28.8,390.3,21.2,13.9,49.0,207.0,12.6,4.9,0.3,1.3,2.4,4.2,592.3,113.1
1460,LINGYUN INDUSTRIAL,China,Automobiles & Parts,54.4,33.8,1177.8,23.1,4.6,90.5,20.8,7.7,79.1,7.9,6.7,9.6,4.4,,
1461,HIROSE ELECTRIC,Japan,Technology Hardware & Equipment,54.3,-4.7,934.9,-4.3,5.8,127.5,18.9,13.6,231.4,-1.1,24.7,4.3,3.1,4532.6,-4.2
1462,E INK,Taiwan,Electronic & Electrical Equipment,54.3,7.6,411.4,5.3,13.2,8.9,-18.1,2.2,70.2,-10.0,17.1,,,802.3,103.0
1463,OCLARO,US,Technology Hardware & Equipment,54.2,23.9,570.1,47.3,9.5,58.7,123.0,10.3,112.9,650.2,19.8,1.9,11.1,1105.3,290.1
1464,PANGANG,China,Industrial Metals & Mining,54.1,3.3,1358.1,-7.4,4.0,69.4,-76.4,5.1,-200.7,61.6,-14.8,4.3,-75.1,,
1465,ACUSHNET HOLDINGS,US,Leisure Goods,54.1,-35.9,1491.6,4.6,3.6,18.2,-17.4,1.2,134.3,15.0,9.0,5.2,-0.7,,
1466,NIPPON ELECTRIC GLASS,Japan,Electronic & Electrical Equipment,54.1,7.7,1944.6,-4.7,2.8,224.9,-37.9,11.6,106.3,-36.3,5.5,5.8,12.0,2097.7,-3.2
1467,BARRY CALLEBAUT,Switzerland,Food Producers,54.0,-6.9,6223.3,7.0,0.9,148.8,-22.3,2.4,375.4,-1.8,6.0,9.9,5.0,6466.7,19.1
1468,FUJIAN LONGKING,China,Electronic & Electrical Equipment,54.0,35.7,1070.8,8.4,5.0,23.8,-17.5,2.2,99.2,1.1,9.3,6.4,1.7,3794.2,-4.8
1469,PUMA,Germany,Personal Goods,53.9,-4.9,3626.7,7.1,1.5,84.3,6.7,2.3,127.6,32.6,3.5,11.5,1.3,3379.7,26.3
1470,NOF,Japan,Chemicals,53.9,-2.9,1413.7,2.1,3.8,43.2,-0.2,3.1,196.3,27.6,13.9,3.7,-1.8,1533.6,13.7
1471,IMMUNOCORE,UK,Pharmaceuticals & Biotechnology,53.9,67.1,20.2,-64.4,267.0,,,,-63.5,-417.0,-314.8,0.2,54.7,,
1472,SCOTTS MIRACLE-GRO,US,Chemicals,53.9,-13.1,2690.5,4.0,2.0,55.3,-5.5,2.1,406.5,26.5,15.1,5.1,-35.4,4760.7,31.7
1473,ASHOK LEYLAND,India,Automobiles & Parts,53.7,17.6,2913.9,7.7,1.8,122.8,248.7,4.2,205.5,-3.9,7.1,11.9,15.0,3484.3,-3.1
1474,NATURA COSMETICOS,Brazil,Personal Goods,53.7,-11.6,2303.7,0.2,2.3,89.0,-20.1,3.9,315.3,-13.8,13.7,1.4,-4.8,3912.2,31.5
1475,ATARA BIOTHERAPEUTICS,US,Pharmaceuticals & Biotechnology,53.6,35.8,,,,2.9,941.4,,-77.1,39.0,,0.1,74.5,534.1,-51.3
1476,CASIO COMPUTER,Japan,Leisure Goods,53.6,-0.2,2609.0,-8.8,2.1,39.1,-25.1,1.5,248.7,-25.6,9.5,12.3,8.5,3192.4,-37.4
1477,FISHER & PAYKEL HEALTHCARE,New Zealand,Health Care Equipment & Services,53.5,18.6,574.8,6.2,9.3,31.6,-0.3,5.5,142.3,0.5,24.8,4.1,14.6,3614.7,34.8
1478,INVESTMENT TECHNOLOGY,US,Financial Services,53.5,2.4,445.0,-26.1,12.0,43.6,21.2,9.8,-29.8,-125.5,-6.7,1.0,-7.8,480.1,-9.3
1479,ACCELERON PHARMA,US,Pharmaceuticals & Biotechnology,53.5,35.8,26.3,53.5,202.9,3.2,252.5,12.2,-62.7,8.6,-238.0,0.1,18.6,1070.4,17.8
1480,CHINA OILFIELD SERVICES,China,"Oil Equipment, Services & Distribution",53.5,-38.4,2059.2,-34.9,2.6,280.2,-59.8,13.6,-1544.3,-608.1,-75.0,14.9,-7.1,1349.5,-27.0
1481,GUERBET,France,Pharmaceuticals & Biotechnology,53.4,41.6,775.8,58.7,6.9,33.6,61.2,4.3,58.5,-0.5,7.5,2.6,67.3,765.3,-2.2
1482,TIANJIN ZHONGHUAN SEMICONDUCTOR,China,Technology Hardware & Equipment,53.3,3.7,914.9,34.0,5.8,285.6,5.3,31.2,66.3,30.6,7.2,5.3,12.9,,
1483,MINTH,China,Automobiles & Parts,53.3,18.1,1283.1,22.8,4.2,154.7,-1.2,12.1,263.2,36.3,20.5,13.7,20.5,4039.2,121.3
1484,SECOM,Japan,Support Services,52.9,-3.9,7538.2,5.3,0.7,374.0,-10.5,5.0,1042.1,9.7,13.8,43.1,0.9,14878.2,1.1
1485,WIRECARD,Germany,Electronic & Electrical Equipment,52.9,26.3,1028.4,33.3,5.1,22.0,67.4,2.1,234.8,36.5,22.8,3.8,63.7,5486.3,18.4
1486,INSULET,US,Health Care Equipment & Services,52.9,28.9,348.2,39.1,15.2,21.0,108.5,6.0,-10.2,-78.0,-2.9,0.6,-1.1,2299.7,43.4
1487,AEROSPACE COMMUNICATIONS,China,General Industrials,52.8,136.7,1582.4,97.6,3.3,22.9,50.8,1.4,50.5,3971.6,3.2,7.7,21.6,1082.2,1.5
1488,CHONG KUN DANG PHARMACEUTICAL,South Korea,Pharmaceuticals & Biotechnology,52.8,16.3,653.5,40.4,8.1,31.0,10.6,4.7,48.1,43.4,7.4,1.9,-1.1,737.6,38.4
1489,NIPPON SODA,Japan,Chemicals,52.8,-2.6,1044.9,-9.9,5.0,59.5,5.0,5.7,43.6,-27.6,4.2,2.7,0.8,659.9,-25.0
1490,COOPER TIRE & RUBBER,US,Automobiles & Parts,52.7,7.2,2774.8,-1.6,1.9,166.4,-3.9,6.0,364.7,8.4,13.1,10.5,15.6,1745.9,-16.1
1491,ALLIED MINDS,UK,Technology Hardware & Equipment,52.7,12.3,2.5,-19.3, ,3.6,-82.5,141.3,-107.8,17.5, ,0.3,56.3,819.9,-32.9
1492,DONALDSON,US,Industrial Engineering,52.7,-7.9,2106.3,-6.4,2.5,69.2,-22.2,3.3,260.1,-4.9,12.3,11.7,-6.4,4742.4,17.4
1493,PACIFIC BIOSCIENCES OF CALIFORNIA,US,Pharmaceuticals & Biotechnology,52.6,245.6,86.1,-2.2,61.2,7.8,172.7,9.0,-67.6,36.5,-78.5,0.4,11.2,726.0,105.0
1494,SHENZHEN INOVANCE TECHNOLOGY,China,Electronic & Electrical Equipment,52.6,49.0,494.5,32.1,10.6,18.7,-34.1,3.8,113.7,22.3,23.0,4.5,23.7,3307.6,5.2
1495,UNISYS,US,Software & Computer Services,52.6,-27.5,2675.9,-6.4,2.0,90.9,-14.2,3.4,45.2,-186.4,1.7,21.0,-8.7,479.9,-23.1
1496,NIHON KOHDEN,Japan,Health Care Equipment & Services,52.5,9.4,1350.6,0.5,3.9,51.2,-8.6,3.8,110.3,-70.7,8.2,4.9,3.3,1717.1,-2.7
1497,AKKA TECHNOLOGIES,France,Support Services,52.5,0.7,1122.7,12.1,4.7,33.6,51.4,3.0,45.0,-7.8,4.0,12.7,10.5,631.9,16.6
1498,KAKEN PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,52.4,10.6,824.2,-7.5,6.4,17.6,-30.7,2.1,249.4,-12.6,30.3,1.4,-3.2,2297.7,-49.0
1499,CHINA SINOMA INTERNATIONAL ENGINEERING,China,Construction & Materials,52.3,20.6,2576.1,-15.9,2.0,28.8,16.6,1.1,63.5,-37.2,2.5,8.8,-13.6,1567.0,-27.1
1500,INTEGER,US,Health Care Equipment & Services,52.2,3.8,1315.6,73.3,4.0,55.6,31.4,4.2,154.7,123.4,11.8,9.4,-1.7,707.1,-48.7
1501,FORTUM,Finland,Electricity,52.0,10.6,3632.0,-1.9,1.4,588.0,1.9,16.2,644.0,-22.3,17.7,8.1,3.5,12295.0,-4.6
1502,CHINA HIGH SPEED TRANSMISSION EQUIPMENT,China,Industrial Engineering,52.0,8.1,1223.9,-8.9,4.2,47.2,35.5,3.9,231.1,-14.8,18.9,8.2,-5.6,1428.5,34.0
1503,CHINASOFT,China,Software & Computer Services,52.0,177.4,926.0,32.3,5.6,41.5,11.6,4.5,81.1,21.3,8.8,47.2,49.8,954.4,50.4
1504,JIVE SOFTWARE,US,Software & Computer Services,51.9,-11.4,193.6,4.2,26.8,3.0,-51.7,1.5,-9.2,-72.1,-4.7,0.6,-17.5,311.1,-3.8
1505,MANHATTAN ASSOCIATES,US,Software & Computer Services,51.9,1.6,573.5,8.7,9.1,6.5,-40.5,1.1,184.3,20.4,32.1,3.0,3.1,4141.7,1.7
1506,AIMMUNE THERAPEUTICS,US,Pharmaceuticals & Biotechnology,51.8,175.7,,,,7.3,348.8,,-77.3,126.5,,0.1,81.6,592.1,-24.1
1507,OURPALM,China,Software & Computer Services,51.7,53.5,251.8,64.9,20.5,25.8,2.6,10.2,67.8,8.3,26.9,1.6,-6.4,2518.9,2.1
1508,POLYONE,US,Chemicals,51.7,2.8,3168.4,-1.1,1.6,79.9,-7.7,2.5,291.2,-8.3,9.2,7.0,1.4,2749.2,0.7
1509,BAJAJ AUTO,India,Automobiles & Parts,51.3,11.4,3106.6,5.4,1.7,37.0,-1.7,1.2,658.6,17.6,21.2,9.3,1.8,12042.1,32.2
1510,MERCURY SYSTEMS,US,Technology Hardware & Equipment,51.3,61.2,387.6,51.2,13.2,31.2,316.5,8.0,39.2,41.4,10.1,1.2,20.1,868.5,67.9
1511,MARINE HARVEST,Norway,Food Producers,51.3,98.2,3510.2,12.8,1.5,211.6,-1.9,6.0,609.2,75.1,17.4,12.7,2.1,6380.0,29.1
1512,KSB,Germany,Industrial Engineering,51.3,-11.6,2165.7,-7.2,2.4,71.6,-5.6,3.3,88.4,-15.4,4.1,15.6,-3.9,322.6,0.7
1513,L3 TECHNOLOGIES,US,Aerospace & Defence,51.2,-3.6,9971.5,0.4,0.5,204.9,9.6,2.1,956.3,99.2,9.6,38.0,0.0,10904.9,35.7
1514,THERAPEUTICSMD,US,Pharmaceuticals & Biotechnology,51.2,-25.1,18.4,-3.9,278.7,1.2,112.4,6.4,-85.6,5.9,-466.3,0.2,30.3,1281.0,24.1
1515,RISO KAGAKU,Japan,Technology Hardware & Equipment,51.2,-8.7,674.1,-2.9,7.6,35.0,27.1,5.2,30.9,-40.5,4.6,3.6,1.2,653.0,-28.4
1516,AIXTRON,Germany,Technology Hardware & Equipment,51.2,-1.3,196.5,-0.6,26.0,4.9,-60.8,2.5,-21.2,-28.0,-10.8,0.7,-5.7,621.4,-4.9
1517,PROS,US,Software & Computer Services,51.1,14.5,145.4,-8.9,35.1,9.4,41.1,6.5,-62.0,17.8,-42.7,1.0,-1.5,567.4,-8.7
1518,ULVAC,Japan,Industrial Engineering,51.0,13.0,1563.0,7.4,3.3,48.3,1.7,3.1,144.8,60.2,9.3,5.9,-0.3,1168.2,50.8
1519,SERCOMM,Taiwan,Technology Hardware & Equipment,51.0,12.5,1078.1,4.8,4.7,10.6,-28.6,1.0,52.8,6.3,4.9,,,505.2,1.1
1520,DEBENHAMS,UK,General Retailers,51.0,14.1,2732.9,0.8,1.9,92.5,-0.4,3.4,110.4,-29.6,4.0,27.9,-0.8,868.4,-19.9
1521,BIO-TECHNE,US,Pharmaceuticals & Biotechnology,50.8,18.4,534.1,12.8,9.5,14.4,-10.2,2.7,114.4,-21.4,21.4,1.8,15.4,3727.5,11.9
1522,VAREX IMAGING,US,Health Care Equipment & Services,50.8,6.2,588.3,-1.9,8.6,27.4,-15.7,4.7,105.4,-14.5,17.9,1.4,0.0,,
1523,CHINA ZHONGWANG,China,Industrial Metals & Mining,50.7,23.8,2279.0,3.2,2.2,870.1,-37.5,38.2,626.8,9.6,27.5,16.8,30.2,2480.2,38.3
1524,TINTRI,US,Technology Hardware & Equipment,50.7,23.8,118.7,45.5,42.7,4.1,-60.3,3.5,-95.6,4.8,-80.6,0.5,3.1,,
1525,VISA,UK,Financial Services,50.7,11.2,2651.2,61.9,1.9,145.1,-15.6,5.5,636.8,48.0,24.0,1.8,0.5,,
1526,GIGABYTE TECHNOLOGY,Taiwan,Technology Hardware & Equipment,50.6,4.6,1537.6,3.0,3.3,8.4,45.8,0.5,88.4,18.2,5.7,,,807.5,58.6
1527,INOVIO PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,50.6,209.8,33.6,-12.8,150.8,3.7,41.6,11.1,-72.3,122.4,-215.5,0.2,52.2,639.8,24.9
1528,BLUE PRINT MEDICINES,US,Pharmaceuticals & Biotechnology,50.6,43.4,26.3,143.6,192.0,2.2,-51.8,8.5,-68.9,40.5,-261.3,0.1,30.9,721.6,2.5
1529,OSI SYSTEMS,US,Electronic & Electrical Equipment,50.5,1.4,911.6,15.8,5.5,21.1,-5.6,2.3,50.2,38.0,5.5,5.8,-1.4,1206.0,-11.9
