World rank,Company,Country,Region,Industry,R&D 2019 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%),,,,,,,
214,AUTODESK,US,US,Software & Computer Services,757.6,17.39310337,2914.6,27.41458477, 26.0 ,47.4,-20.59701493, 1.6 ,305.8,1932.5,10.5,10100.0,5.2,27916.6,-7.1,,,,,,,
215,SNAP,US,US,Technology Hardware & Equipment,756.9,15.03238706,1527.1,45.32930768, 49.6 ,32.5,-69.66284653, 2.1 ,-982.1,-13.0,-64.3,3195.0,10.8,15553.5,66.5,,,,,,,
216,SUBARU,Japan,Japan,Automobiles & Parts,754.2,-9.987441582,27279.8,5.809023469, 2.8 ,1074.3,-8.652645596, 3.9 ,1742.1,9.2,6.4,35034.0,2.4,17857.5,-13.8,,,,,,,
217,NETAPP,US,US,Technology Hardware & Equipment,754.0,2.418379686,4817.5,-11.94272698, 15.7 ,110.4,-28.32369942, 2.3 ,851.0,-23.9,17.7,10800.0,2.9,10178.1,-49.2,,,,,,,
218,MAHLE,Germany,EU,Automobiles & Parts,750.8,-0.005860431,12049.2,-4.225536947, 6.2 ,549.3,-9.736815294, 4.6 ,113.7,-85.5,0.9,77015.0,-3.2,,,,,,,,,
219,HYUNDAI MOBIS,South Korea,RoW,Automobiles & Parts,742.2,15.33489608,29253.2,8.249255835, 2.5 ,636.4,47.73784347, 2.2 ,1813.9,16.5,6.2,10172.0,0.6,18208.8,8.6,,,,,,,
220,ASAHI KASEI,Japan,Japan,Chemicals,742.1,0.93426843,17552.2,-0.864217378, 4.2 ,1128.6,20.60356703, 6.4 ,1267.0,-21.8,7.2,40689.0,3.6,10998.0,-41.0,,,,,,,
221,CORNING,US,US,Technology Hardware & Equipment,741.5,3.22180917,10239.5,1.886625332, 7.2 ,1768.7,-13.98268398, 17.3 ,1162.5,-18.0,11.4,49500.0,-3.9,19358.3,-19.9,,,,,,,
222,CSL,Australia,RoW,Pharmaceuticals & Biotechnology,740.4,18.42255125,8100.9,6.940152059, 9.1 ,1074.2,7.98138869, 13.3 ,2418.2,7.7,29.9,27000.0,8.0,68086.7,6.2,,,,,,,
223,DASSAULT SYSTEMES,France,EU,Software & Computer Services,737.9,16.92283315,4018.2,15.55184908, 18.4 ,87.5,40.90177134, 2.2 ,812.9,5.8,20.2,19361.0,20.6,33793.2,-7.8,,,,,,,
224,CARL ZEISS,Germany,EU,Health Care Equipment & Services,728.7,11.06252286,6428.1,10.5014122, 11.3 ,437.2,78.90769816, 6.8 ,1063.3,37.7,16.5,30188.0,8.8,,,,,,,,,
225,TWITTER,US,US,Software & Computer Services,720.8,19.99279867,3079.3,13.70548317, 23.4 ,481.3,11.72763233, 15.6 ,324.7,-19.0,10.5,4900.0,25.0,29347.7,23.7,,,,,,,
226,RICOH,Japan,Japan,Technology Hardware & Equipment,719.7,-6.172760804,16385.1,-0.23087301, 4.4 ,706.4,19.50539597, 4.3 ,515.0,-0.4,3.1,90141.0,-2.7,5973.4,-15.6,,,,,,,
227,ACCENTURE,Ireland,EU,Support Services,711.9,1.132427642,38468.1,3.873683198, 1.9 ,533.2,-3.258789247, 1.4 ,5612.5,7.9,14.6,492000.0,7.2,118272.9,16.6,,,,,,,
228,RAYTHEON,US,US,Electronic & Electrical Equipment,709.5,-5.231866825,25971.2,7.827629537, 2.7 ,838.5,23.46002621, 3.2 ,4249.6,5.2,16.4,70000.0,4.5,45941.3,-9.3,,,,,,,
229,ELECTRICITE DE FRANCE,France,EU,Electricity,706.0,30.25830258,71724.0,3.983994433, 1.0 ,16615.0,6.677367576, 23.2 ,6886.0,10.4,9.6,161522.0,-0.4,33759.0,-20.5,,,,,,,
230,CHINA ENERGY ENGINEERING,China,China,Construction & Materials,702.2,37.66607596,31505.3,10.38083727, 2.2 ,551.3,7.929984046, 1.7 ,1808.8,4.5,5.7,119394.0,-4.1,836.5,-17.7,,,,,,,
231,CERNER,US,US,Software & Computer Services,697.5,4.880689783,5067.3,6.080008193, 13.8 ,419.7,5.502004947, 8.3 ,534.7,-22.5,10.6,27400.0,-6.2,19530.5,2.4,,,,,,,
232,GEELY AUTOMOBILE,China,China,Automobiles & Parts,695.2,-2.214062305,12409.1,-8.625051386, 5.6 ,366.0,24.19933856, 2.9 ,1097.4,-40.3,8.8,43000.0,-17.9,12629.5,-26.2,,,,,,,
233,MICHELIN,France,EU,Automobiles & Parts,687.0,6.018518519,24135.0,9.565098965, 2.8 ,1594.0,8.657123381, 6.6 ,2714.0,5.8,11.2,127200.0,8.3,17197.8,-5.8,,,,,,,
234,NINTENDO,Japan,Japan,Leisure Goods,686.5,20.86947787,10674.3,8.992386887, 6.4 ,80.3,-8.31780939, 0.8 ,2874.5,43.8,26.9,6200.0,4.3,43275.5,-6.8,,,,,,,
235,DOW,US,US,Chemicals,681.0,-4.375,38233.0,-13.41222482, 1.8 ,1753.6,-6.94378838, 4.6 ,3133.3,-35.8,8.2,36500.0,-1.4,28202.9,,,,,,,,
236,HELLA,Germany,EU,Automobiles & Parts,677.1,-3.731334795,5829.4,-16.60326401, 11.6 ,407.0,-7.353389757, 7.0 ,188.2,-76.4,3.2,36311.0,-6.5,4235.6,-26.7,,,,,,,
237,FRESENIUS,Germany,EU,Health Care Equipment & Services,674.0,-4.125177809,35409.0,5.603936773, 1.9 ,2459.0,14.4253141, 6.9 ,4631.0,-11.8,13.1,294134.0,6.3,19834.4,-45.5,,,,,,,
238,GUANGZHOU AUTOMOBILE,China,China,Automobiles & Parts,672.2,7.930330287,7606.4,-17.51242844, 8.8 ,1286.8,2.523678443, 16.9 ,-716.0,-300.3,-9.4,93854.0,-1.1,2798.3,-7.3,,,,,,,
239,ORANGE,France,EU,Fixed Line Telecommunications,672.0,-4,42238.0,2.070998768, 1.6 ,8422.0,10.20675216, 19.9 ,6124.0,20.0,14.5,146768.0,-2.6,36708.8,-1.1,,,,,,,
240,DELTA ELECTRONICS (TAIWAN),Taiwan,RoW,Electronic & Electrical Equipment,671.7,22.29989763,7927.9,13.12710978, 8.5 ,498.7,48.72037587, 6.3 ,659.7,3.7,8.3,8762.0,,11251.6,19.1,,,,,,,
241,EDWARDS LIFESCIENCES,US,US,Health Care Equipment & Services,670.0,20.97396327,3870.4,16.79381111, 17.3 ,226.5,6.577293925, 5.9 ,1109.8,29.6,28.7,13900.0,8.6,41068.1,52.8,,,,,,,
242,SERVICENOW,US,US,Software & Computer Services,666.2,41.33476628,3080.3,32.64396569, 21.6 ,235.8,18.01195771, 7.7 ,37.5,-199.3,1.2,10371.0,27.2,43702.2,40.5,,,,,,,
243,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,China,China,Electronic & Electrical Equipment,659.9,19.59539475,7219.0,15.93090785, 9.1 ,245.5,-6.254320312, 3.4 ,1711.0,9.9,23.7,40403.0,17.5,31805.6,0.4,,,,,,,
244,DONGFENG MOTOR,China,China,Automobiles & Parts,648.9,7.130837129,12878.6,-3.305816746, 5.0 ,547.8,39.20362578, 4.3 ,52.9,-190.0,0.4,136549.0,-2.2,2376.5,-17.0,,,,,,,
245,KYOCERA,Japan,Japan,Electronic & Electrical Equipment,646.4,13.31960473,13044.4,-1.51855935, 5.0 ,874.0,-3.516750693, 6.7 ,817.3,5.7,6.3,75505.0,-1.8,19453.1,-9.9,,,,,,,
246,WEICHAI POWER,China,China,Automobiles & Parts,643.9,20.771361,21701.2,10.02817087, 3.0 ,687.2,46.43049228, 3.2 ,1790.3,4.2,8.2,43822.0,4.1,2665.4,44.2,,,,,,,
247,NIDEC,Japan,Japan,Electronic & Electrical Equipment,641.4,24.98410484,12529.6,1.16069076, 5.1 ,1084.4,10.26170633, 8.7 ,785.0,-30.6,6.3,117206.0,7.6,33697.0,-14.0,,,,,,,
248,SEATTLE GENETICS,US,US,Pharmaceuticals & Biotechnology,640.4,27.25323676,816.0,40.02031468, 78.5 ,63.0,233.4417397, 7.7 ,-196.3,-12.3,-24.1,1605.0,23.3,10457.0,-3.6,,,,,,,
249,SCHLUMBERGER,US,US,"Oil Equipment, Services & Distribution",638.2,2.136752137,29301.2,0.31083346, 2.2 ,1534.6,-20.18518519, 5.2 ,-9028.0,-457.7,-30.8,105000.0,5.0,39924.2,-48.7,,,,,,,
250,BIOMARIN PHARMACEUTICAL,US,US,Pharmaceuticals & Biotechnology,636.5,2.682500326,1516.9,14.27268561, 42.0 ,129.1,0.280735776, 8.5 ,-66.4,-32.6,-4.4,3001.0,5.3,11990.8,-24.1,,,,,,,
251,NIPPON STEEL,Japan,Japan,Industrial Metals & Mining,633.8,7.839762347,48305.3,-4.150602133, 1.3 ,3757.0,4.967886616, 7.8 ,-2557.1,-243.8,-5.3,106599.0,0.8,11520.0,-33.5,,,,,,,
252,PEPSICO,US,US,Beverages,632.9,4.558823529,59783.7,3.866318183, 1.1 ,3767.1,28.94576478, 6.3 ,9438.3,1.3,15.8,267000.0,0.0,170172.5,20.7,,,,,,,
253,BT,UK,Row,Fixed Line Telecommunications,629.6,0.936329533,26753.4,-2.23237152, 2.4 ,4794.7,11.60957042, 17.9 ,3686.3,-7.7,13.8,105300.0,-1.3,19119.0,-24.1,,,,,,,
254,SPOTIFY,Luxembourg,EU,Software & Computer Services,620.0,26.53061224,6764.0,28.61760791, 9.2 ,135.0,8, 2.0 ,-72.0,67.4,-1.1,4405.0,20.7,21725.6,-28.8,,,,,,,
255,KEYSIGHT TECHNOLOGIES,US,US,Electronic & Electrical Equipment,612.4,13.53135314,3830.3,10.95925735, 16.0 ,106.8,-9.090909091, 2.8 ,632.9,-280.5,16.5,13600.0,5.4,16173.0,49.4,,,,,,,
256,MOTOROLA,US,US,Technology Hardware & Equipment,611.5,7.849293564,7020.7,7.408416179, 8.7 ,220.8,25.88832487, 3.1 ,1432.3,20.3,20.4,17000.0,6.3,26660.7,43.8,,,,,,,
257,KOMATSU,Japan,Japan,Industrial Engineering,609.9,1.789045069,19944.2,-10.28800001, 3.1 ,1506.8,-3.823483456, 7.6 ,2065.2,-36.6,10.4,62823.0,1.5,17900.8,-28.6,,,,,,,
258,KOREA ELECTRIC POWER,South Korea,RoW,Electricity,605.2,0.246028213,45494.1,-2.399434844, 1.3 ,10940.3,14.96533577, 24.0 ,-981.4,513.7,-2.2,23137.0,2.4,12610.5,-16.2,,,,,,,
259,MITSUBISHI MOTORS,Japan,Japan,Automobiles & Parts,600.6,11.90327822,18520.0,-9.716001867, 3.2 ,910.0,-9.456980551, 4.9 ,85.6,-90.5,0.5,32171.0,2.7,5397.8,-43.9,,,,,,,
