EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
185,AUTODESK,US,Software & Computer Services,597.3,18.7,2.6,"2,069.2",10.5,0.9,28.9,62.2,17.6,0.6,3.0,102.0,-58.4,-5.6,4.9,"8,823",16.1,0.4
186,SYNOPSYS,US,Software & Computer Services,595.0,7.4,10.8,"1,694.6",4.9,8.5,35.1,413.1,626.1,-12.0,24.4,204.9,0.9,5.0,12.1,"9,436",10.1,8.0
187,HELLA,Germany,Automobiles & Parts,593.3,8.1,9.4,"5,834.7",9.2,3.6,10.2,429.5,-7.3,6.9,7.4,428.2,24.3,-0.9,7.3,"31,864",3.8,3.9
188,AGILENT TECHNOLOGIES,US,Electronic & Electrical Equipment,592.2,2.1,2.7,"5,749.9",2.9,0.8,10.3,168.8,5.1,1.2,2.9,700.1,-13.7,-2.8,12.2,"21,400",3.9,3.3
189,PEPSICO,US,Beverages,591.4,8.0,8.2,"54,923.8",0.4,0.0,1.1,"2,354.8",2.3,-5.8,4.3,"8,463.9",1.7,-0.8,15.4,"271,000",-1.1,-2.7
190,BLACKBERRY,Canada,Technology Hardware & Equipment,585.6,-44.7,-6.2,"2,746.9",-51.0,-28.2,21.3,71.7,-69.3,-32.0,2.6,-348.4,-94.1,,-12.7,,,
191,CHEVRON,US,Oil & Gas Producers,582.3,-5.7,6.2,"164,682.4",-9.2,-3.4,0.4,"29,163.2",-6.8,12.8,17.7,"19,410.3",-15.0,-11.7,11.8,"64,700",0.2,1.9
192,CORNING,US,Technology Hardware & Equipment,577.4,14.4,2.9,"8,001.8",24.2,-0.3,7.2,886.3,5.6,-25.2,11.1,"1,623.4",37.7,-6.2,20.3,"34,600",13.8,1.8
193,YAMAHA ,Japan,Automobiles & Parts,576.9,11.1,5.4,"10,385.9",7.9,3.4,5.6,422.3,15.7,7.9,4.1,594.8,61.3,0.9,5.7,"52,662",-1.3,-0.8
194,MYLAN,The Netherlands,Pharmaceuticals & Biotechnology,575.0,23.7,24.2,"6,358.3",11.7,4.1,9.0,267.9,-2.8,6.1,4.2,"1,114.1",19.1,4.1,17.5,"25,000",25.0,3.6
195,AVAGO TECHNOLOGIES,Singapore,Technology Hardware & Equipment,572.4,109.3,6.2,"3,516.2",69.4,2.6,16.3,336.9,73.3,28.2,9.6,382.2,-18.6,-0.9,10.9,"8,400",75.0,11.1
196,TEXTRON,US,Aerospace & Defence,571.6,6.6,7.4,"11,430.7",14.7,2.4,5.0,353.3,-3.4,1.6,3.1,902.7,29.4,13.1,7.9,"34,000",6.3,0.0
197,FUJI HEAVY INDUSTRIES,Japan,Automobiles & Parts,570.3,39.5,7.6,"19,648.6",19.5,16.7,2.9,786.3,70.9,11.2,4.0,"2,888.3",29.6,95.2,14.7,"29,774",4.3,1.7
198,ST JUDE MEDICAL,US,Health Care Equipment & Services,570.0,0.1,-0.7,"4,630.6",2.2,-0.7,12.3,156.5,-14.4,-10.2,3.4,"1,194.3",2.3,2.1,25.8,"16,000",0.0,0.0
199,THERMO FISHER SCIENTIFIC,US,Health Care Equipment & Services,569.2,74.7,5.1,"13,911.2",29.0,4.2,4.1,352.2,51.4,2.7,2.5,"1,676.5",15.6,9.3,12.1,"51,000",2.0,8.4
200,AMADEUS,Spain,Software & Computer Services,568.4,12.5,11.9,"3,417.7",10.1,4.0,16.6,77.8,,,2.3,955.7,7.7,2.0,28.0,"11,951",13.8,8.8
201,MOTOROLA,US,Technology Hardware & Equipment,560.9,-35.5,0.6,"4,843.9",-5.6,-8.8,11.6,149.1,7.1,-3.1,3.1,-769.3,-192.1,0.7,-15.9,"15,000",-28.6,-3.0
202,MAHLE,Germany,Automobiles & Parts,552.3,64.3,1.4,"9,942.4",43.2,5.0,5.6,,,,0.0,514.5,21.7,-0.2,5.2,"63,541",25.8,2.0
203,BP,UK,Oil & Gas Producers,546.1,-6.2,3.6,"291,218.0",-6.7,0.3,0.2,,-100.0,11.2,0.0,"10,909.3",-34.0,-18.8,3.7,"84,700",1.0,0.2
204,EATON CORPORATION,Ireland,Electronic & Electrical Equipment,532.9,0.5,15.6,"18,575.1",2.3,11.2,2.9,520.5,2.9,2.6,2.8,"1,486.7",-16.2,8.8,8.0,"102,000",0.0,11.8
205,ISUZU S,Japan,Industrial Engineering,529.9,16.5,4.2,"12,831.7",6.7,7.9,4.1,596.0,9.7,43.6,4.6,"1,162.6",-2.1,21.6,9.1,"30,864",4.9,6.1
206,AMAZON.COM,US,General Retailers,528.0,10.3,23.7,"73,295.4",19.5,15.7,0.7,"4,030.1",42.1,23.9,5.5,146.6,-76.1,-4.7,0.2,"154,100",31.4,27.8
207,ACCENTURE,Ireland,Support Services,526.7,-10.6,12.4,"26,253.7",4.9,3.6,2.0,265.1,-12.9,-2.9,1.0,"3,542.1",-0.9,7.6,13.5,"305,000",10.9,5.2
208,AUSTRALIA & NEW ZEALAND BANKING,Australia,Banks,524.9,-0.4,9.7,"13,445.7",7.5,3.1,3.9,,,,0.0,"6,963.7",13.6,5.8,51.8,"50,328",0.9,-0.3
209,THALES,France,Aerospace & Defence,523.9,-7.2,3.5,"12,973.6",2.2,-0.9,4.0,472.6,23.1,13.3,3.6,854.6,-7.4,11.2,6.6,"60,781",-8.5,-0.9
210,CHINA MERCHANTS BANK,China,Banks,521.5,21.3,,"22,349.3",25.1,11.3,2.3,,,,0.0,"11,287.5",8.9,13.1,50.5,"75,109",10.3,14.5
211,CITRIX SYSTEMS,US,Software & Computer Services,521.3,9.3,14.4,"2,588.6",7.7,9.8,20.1,147.5,2.3,11.2,5.7,265.8,-15.2,-3.0,10.3,"10,081",10.0,9.7
212,ASAHI KASEI,Japan,Chemicals,515.7,6.2,2.4,"13,561.9",4.7,6.5,3.8,566.6,2.5,6.3,4.2,"1,069.7",9.6,11.3,7.9,"30,313",4.1,4.7
213,KONICA MINOLTA,Japan,Technology Hardware & Equipment,513.9,5.7,-0.6,"6,846.2",6.3,7.1,7.5,266.7,7.1,7.8,3.9,500.8,39.4,10.1,7.3,"41,605",3.0,1.9
214,THOMSON REUTERS,Canada,Support Services,513.1,7.2,-1.9,"10,383.8",-0.7,-2.7,4.9,797.3,-3.6,-1.2,7.7,"2,143.2",66.9,,20.6,"53,000",-8.3,-1.5
215,OLYMPUS,Japan,Health Care Equipment & Services,505.9,10.9,2.9,"5,220.7",7.2,-5.6,9.7,245.5,31.5,6.3,4.7,620.2,32.5,51.6,11.9,"31,540",2.7,-3.4
216,STRYKER,US,Health Care Equipment & Services,505.7,14.6,5.1,"7,968.9",7.2,2.8,6.3,191.9,19.5,-4.8,2.4,"2,460.3",8.4,16.1,30.9,"26,000",4.0,5.6
217,BECTON DICKINSON,US,Health Care Equipment & Services,503.3,9.1,0.0,"6,956.6",4.9,2.0,7.2,537.8,11.1,-0.6,7.7,"1,322.8",-0.7,-2.0,19.0,"30,619",2.1,0.7
218,CA,US,Software & Computer Services,496.7,-3.8,-3.1,"3,510.4",-3.4,-2.6,14.1,43.7,-49.5,-25.3,1.2,971.9,-8.2,-2.3,27.7,"11,600",-8.7,-2.3
219,HALLIBURTON,US,"Oil Equipment, Services & Distribution",495.0,2.2,13.6,"27,073.5",11.8,5.8,1.8,"2,704.1",11.9,-0.2,10.0,"4,037.6",18.5,-4.4,14.9,"80,000",3.9,4.2
