EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
1320,TASLY PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,49.1,1.6,30.2,"1,671.9",14.0,18.9,2.9,101.6,-6.8,24.2,6.1,265.1,22.9,28.9,15.9,"10,464",18.9,28.7
1321,CASIO COMPUTER,Japan,Leisure Goods,49.1,-13.9,4.1,"2,310.3",5.2,2.2,2.1,33.0,-9.0,-4.4,1.4,236.4,32.4,44.9,10.2,"11,592",5.5,-2.0
1322,RIGEL PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,49.0,-12.8,1.8,6.8,15.4,14.6,720.6,0.3,-66.2,-19.1,5.0,-75.2,3.9,0.5, ,127,-1.6,-5.5
1323,LUBRIZOL,UK,Chemicals,48.9,-2.4,1.4,220.6,0.3,8.6,22.2,,,,0.0,38.5,70.3,3.8,17.5,459,3.8,3.9
1324,ANACOR PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,48.9,102.4,-6.4,17.0,20.1,-5.3,286.9,0.6,51.8,-6.5,3.3,-74.8,81.7,2.6,-438.9,100,26.6,-0.4
1325,CABOT MICROELECTRONICS,US,Technology Hardware & Equipment,48.9,-3.3,1.9,349.8,-2.0,-0.9,14.0,10.3,-14.2,-19.7,3.0,59.1,-6.1,-1.7,16.9,"1,054",0.1,0.9
1326,WITTINGTON INVESTMENTS,UK,Food Producers,48.9,52.0,1.4,"16,795.9",-2.7,6.2,0.3,,,,0.0,"1,402.5",0.1,8.8,8.4,"119,371",5.2,3.3
1327,DELTA ELECTRONICS (THAILAND),Thailand,Electronic & Electrical Equipment,48.8,4.3,-3.6,"1,102.5",7.1,2.3,4.4,16.5,15.5,-23.5,1.5,136.9,14.5,22.2,12.4,,,
1328,PLAYTECH,UK,Software & Computer Services,48.7,9.0,25.1,457.0,24.4,21.0,10.7,25.2,135.5,-5.2,5.5,128.1,13.3,29.4,28.0,"3,972",21.8,23.4
1329,YAMAZAKI BAKING,Japan,Food Producers,48.7,2.6,3.4,"6,793.3",2.8,1.3,0.7,212.6,0.1,3.4,3.1,134.9,20.8,-16.3,2.0,"25,693",1.3,1.4
1330,KSB,Germany,Industrial Engineering,48.7,2.6,3.9,"2,181.7",-2.9,2.4,2.2,76.5,41.8,-3.7,3.5,75.7,-52.0,31.1,3.5,"16,309",-1.4,1.8
1331,ADVANCED ENERGY INDUSTRIES,US,Electronic & Electrical Equipment,48.6,1.2,-3.5,480.3,6.6,1.9,10.1,5.2,-34.9,-20.2,1.1,35.2,-29.9,3.6,7.3,"1,656",10.1,0.7
1332,ZYXEL COMMUNICATIONS,Taiwan,Technology Hardware & Equipment,48.6,18.5,-0.6,552.7,21.9,0.8,8.8,9.3,-21.7,47.3,1.7,18.3,212.7,-46.6,3.3,"2,837",,-100.0
1333,GUODIAN TECHNOLOGY & ENVIRONMENT,China,Electricity,48.5,17.5,16.1,"3,446.7",0.7,10.8,1.4,165.4,-27.3,-30.2,4.8,163.7,-35.6,5.8,4.7,,-100.0,4.4
1334,BARRACUDA NETWORKS,US,Software & Computer Services,48.4,24.6,19.2,228.5,18.7,13.3,21.2,10.3,64.2,-4.9,4.5,-0.8,-91.6,110.3,-0.3,"1,365",21.7,
1335,SOLAZYME,US,Chemicals,48.3,25.3,35.5,49.7,51.9,0.7,97.1,5.9,-29.5,-13.0,11.9,-108.9,37.5,23.9,-218.9,266,-1.8,17.3
1336,QUANTUM,US,Technology Hardware & Equipment,48.3,-8.9,-4.7,455.6,0.0,-5.3,10.6,2.7,-45.6,-19.5,0.6,13.2,"-2,845.8",,2.9,"1,250",-3.1,-10.8
1337,MONOLITHIC POWER SYSTEMS,US,Technology Hardware & Equipment,48.3,17.8,3.8,232.7,18.7,6.6,20.7,7.8,-39.7,-9.1,3.4,22.5,15.8,11.9,9.7,"1,178",6.6,6.2
1338,MTR,China,Travel & Leisure,48.2,-6.6,58.1,"4,264.7",3.7,5.0,1.1,,-100.0,10.0,0.0,"2,011.3",23.6,-5.7,47.2,"24,154",4.0,3.0
1339,BARRY CALLEBAUT,Switzerland,Food Producers,48.2,-4.1,7.3,"4,884.8",19.8,-2.0,1.0,174.8,14.9,17.2,3.6,345.7,22.7,4.6,7.1,"9,319",7.6,13.2
1340,AKKA TECHNOLOGIES,France,Support Services,48.1,-16.5,9.4,885.6,0.8,22.8,5.4,11.5,-35.1,59.5,1.3,45.9,-8.0,5.0,5.2,"10,615",-1.6,20.8
1341,NEWPORT,US,General Industrials,48.1,11.2,5.1,498.4,8.1,0.9,9.7,19.7,46.8,6.5,4.0,42.6,65.5,-16.5,8.6,"2,570",7.1,-2.0
1342,MORPHOSYS,Germany,Pharmaceuticals & Biotechnology,48.1,10.2,-5.7,64.0,-17.9,-1.7,75.1,2.9,176.2,-23.2,4.5,-5.9,-157.8,-4.7,-9.2,329,10.0,-12.5
1343,VESTEL ELEKTRONIK,Turkey,Electronic & Electrical Equipment,48.0,23.9,10.7,"2,756.4",24.9,-3.8,1.7,102.1,40.3,10.0,3.7,167.8,27.6,-10.0,6.1,"15,877",16.1,2.2
1344,VINCI,France,Construction & Materials,48.0,-5.9,2.8,"39,043.0",-4.2,2.7,0.1,"1,507.0",-2.3,-6.1,3.9,"4,420.0",16.0,0.7,11.3,"185,000",-3.0,1.3
1345,ALLIED IRISH BANKS,Ireland,Banks,48.0,-7.7,24.4,"2,553.0",48.6,7.3,1.9,,,,0.0,"1,111.0",-165.9,-30.9,43.5,"11,384",-10.0,-8.9
1346,NATS,UK,Industrial Transportation,48.0,22.7,11.6,"1,185.8",0.5,2.0,4.0,,,,0.0,292.6,35.7,-11.2,24.7,"4,342",-3.9,-0.1
1347,AMBARELLA,US,Technology Hardware & Equipment,47.8,18.9,9.0,179.8,38.5,17.5,26.6,1.1,-20.0,35.6,0.6,42.7,85.8,35.4,23.8,,-100.0,5.2
1348,WIX.COM,Israel,Software & Computer Services,47.6,95.0,26.2,116.8,76.3,48.4,40.8,4.6,83.0,20.5,4.0,-45.8,109.8,5.7,-39.2,898,53.8,30.8
1349,AUTONEUM HOLDING,Switzerland,Automobiles & Parts,47.5,-11.3,3.4,"1,627.7",-4.8,6.9,2.9,82.2,28.9,0.8,5.0,112.5,80.4,27.3,6.9,"10,681",11.1,0.6
1350,BOTTOMLINE TECHNOLOGIES,US,Software & Computer Services,47.5,31.1,16.0,272.5,10.1,10.3,17.4,19.2,84.1,11.5,7.0,0.4,-121.5,,0.2,"1,500",15.4,9.1
1351,DAIFUKU,Japan,Industrial Engineering,47.4,-7.3,4.9,"1,824.8",10.5,6.9,2.6,25.0,16.2,11.2,1.4,98.5,18.4,42.4,5.4,"7,746",5.4,9.4
1352,GENTHERM,US,Automobiles & Parts,47.4,15.3,18.8,668.2,22.5,21.4,7.1,32.0,8.4,49.8,4.8,82.0,91.4,31.0,12.3,"8,607",16.3,306.8
1353,GIGABYTE TECHNOLOGY,Taiwan,Technology Hardware & Equipment,47.2,-7.5,6.8,"1,417.8",6.7,4.0,3.3,10.9,109.9,-36.4,0.8,63.5,15.4,9.1,4.5,,,-100.0
1354,TOKYO OHKA KOGYO,Japan,Chemicals,47.1,8.0,1.2,601.4,17.0,-2.0,7.8,48.1,-51.8,67.4,8.0,85.9,37.3,15.2,14.3,"1,540",2.3,1.4
1355,BAJAJ AUTO,India,Automobiles & Parts,47.0,30.6,21.1,"2,745.0",7.0,1.4,1.7,,,,0.0,514.2,-5.4,5.4,18.7,,-100.0,
1356,DONG-A ST,South Korea,Pharmaceuticals & Biotechnology,47.0,16.5,,433.5,15.5,,10.8,24.1,-10.4,,5.6,37.0,24.1,,8.5,,,
1357,NABTESCO,Japan,Industrial Engineering,46.9,7.4,7.2,"1,499.7",8.6,0.6,3.1,37.0,-14.4,-11.1,2.5,161.2,17.5,-4.2,10.8,"5,552",3.9,2.3
1358,XINJIANG TIANSHAN CEMENT,China,Construction & Materials,46.8,-4.3,,866.6,-16.2,-1.9,5.4,27.4,-85.5,-24.1,3.2,55.8,-18.9,-31.5,6.4,"11,325",-6.0,68.9
1359,COOPER TIRE & RUBBER,US,Automobiles & Parts,46.8,11.2,4.7,"2,820.9",-0.4,-4.2,1.7,119.5,-19.6,5.1,4.2,247.5,24.8,13.8,8.8,"8,881",-33.1,1.0
1360,CYTEC INDUSTRIES,US,Chemicals,46.8,15.9,-14.6,"1,653.7",3.8,11.0,2.8,181.9,-27.6,56.9,11.0,193.3,-25.8,42.8,11.7,"4,600",4.5,-7.2
1361,NEXEN TIRE,South Korea,Automobiles & Parts,46.7,10.9,26.0,"1,317.8",1.8,6.5,3.5,240.3,20.7,-8.8,18.2,156.3,17.8,16.5,11.9,,,
1362,TEBIAN ELECTRIC APPARATUS STOCK,China,Electronic & Electrical Equipment,46.7,28.1,-0.8,"4,696.6",24.7,16.9,1.0,219.5,-37.9,-14.3,4.7,372.3,41.9,14.9,7.9,"15,488",6.3,0.4
1363,RADIANT OPTO ELECTRONICS,Taiwan,Electronic & Electrical Equipment,46.7,25.4,12.2,"1,335.4",-19.2,0.1,3.5,24.5,146.5,-43.2,1.8,109.1,-33.1,8.9,8.2,,,-100.0
1364,RPM,US,Chemicals,46.7,3.8,6.3,"3,784.3",5.0,5.0,1.2,70.3,-9.0,9.4,1.9,427.0,6.5,8.0,11.3,"12,864",18.6,3.8
1365,MILLER HERMAN,US,Household Goods & Home Construction,46.7,5.2,9.5,"1,764.4",13.8,3.0,2.6,52.4,55.9,12.7,3.0,145.0,"21,912.5",-82.2,8.2,"7,510",10.6,7.3
1366,SOLARWINDS,US,Software & Computer Services,46.7,49.9,21.0,353.1,27.8,19.1,13.2,16.0,48.4,52.6,4.5,84.2,-15.9,13.5,23.9,"1,646",25.5,27.8
1367,MAXLINEAR,US,Technology Hardware & Equipment,46.6,6.6,9.8,109.6,11.3,18.5,42.5,7.2,113.7,9.2,6.6,-7.3,-28.3,-6.5,-6.7,378,56.2,-1.9
1368,GEBERIT,Switzerland,General Industrials,46.5,9.6,1.7,"1,739.7",4.5,2.3,2.7,87.3,6.9,1.9,5.0,480.4,13.0,4.4,27.6,"6,247",0.3,1.2
1369,VECTURA,UK,Pharmaceuticals & Biotechnology,46.4,28.9,-5.1,74.6,58.9,3.4,62.2,1.8,-39.1,-18.2,2.4,-10.8,35.5,-23.6,-14.5,243,13.0,0.9
1370,COMVERSE,US,Software & Computer Services,46.4,-16.6,-10.5,393.1,-26.8,-5.4,11.8,19.3,89.4,32.0,4.9,0.4,-99.0,14.7,0.1,"2,300",-8.0,
1371,NOF,Japan,Chemicals,46.4,1.8,-0.4,"1,144.9",4.2,1.8,4.1,54.9,18.0,6.7,4.8,109.7,6.3,10.9,9.6,"3,791",-1.7,0.5
1372,INSMED,US,Pharmaceuticals & Biotechnology,46.4,27.1,16.6,,-100.0,37.6,,4.4,547.8,-5.5,,-72.0,58.8,-3.8,,89,45.9,13.2
1373,U BLOX,Switzerland,Electronic & Electrical Equipment,46.4,36.5,27.3,224.9,22.9,20.8,20.6,5.8,-36.1,48.3,2.6,32.5,30.0,12.3,14.5,614,37.4,27.6
1374,NORSK HYDRO,Norway,Industrial Metals & Mining,46.3,57.1,-11.8,"8,636.4",2.0,-5.8,0.5,365.2,22.0,-11.1,4.2,"6,335.8","3,062.9",-43.0,73.4,"12,922",2.8,-17.8
1375,IMMSI,Italy,Automobiles & Parts,46.3,-2.9,-11.3,"1,274.6",1.3,-8.0,3.6,37.8,,,3.0,80.2,25.0,-8.6,6.3,"7,865",-2.5,0.2
1376,AEOLUS TYRE,China,Automobiles & Parts,46.3,8.4,-9.4,"1,064.6",-5.7,-5.7,4.3,12.7,-25.3,-33.1,1.2,77.8,-5.6,2.6,7.3,"7,620",2.7,8.3
1377,LINTEC,Japan,Forestry & Paper,46.2,-1.1,3.6,"1,415.0",2.0,0.4,3.3,43.0,14.4,-14.3,3.0,110.7,20.4,-1.2,7.8,"4,413",4.5,-0.5
1378,UNIMICRON TECHNOLOGY,Taiwan,Electronic & Electrical Equipment,46.2,6.1,5.2,"1,605.3",3.0,-3.2,2.9,267.2,-0.7,4.8,16.6,42.0,-15.0,-33.9,2.6,"26,577",,-100.0
1379,VTECH,China,Technology Hardware & Equipment,46.2,-3.3,0.5,"1,548.3",-1.0,2.1,3.0,25.5,2.7,0.4,1.6,184.9,-1.6,-0.1,11.9,"30,000",0.0,-1.7
1380,LKAB,Sweden,Mining,46.2,29.6,1.2,"2,194.7",-12.9,-8.7,2.1,,,,0.0,60.7,-92.5,-19.6,2.8,"4,539",2.5,1.8
1381,PUMA,Germany,Personal Goods,46.2,-42.8,1.6,"2,972.0",-0.4,-0.3,1.6,72.6,30.3,-7.8,2.4,128.0,105.1,-42.8,4.3,"11,267",2.6,0.4
1382,OUTOTEC,Finland,Industrial Engineering,46.2,15.8,13.3,"1,402.6",-26.6,11.3,3.3,18.3,-23.1,10.6,1.3,10.2,-92.4,7.1,0.7,"4,571",-5.8,7.7
1383,GENOMIC HEALTH,US,Pharmaceuticals & Biotechnology,46.2,-12.3,18.4,227.1,5.4,8.3,20.3,8.6,-5.0,21.2,3.8,-19.5,89.4,,-8.6,752,9.9,10.2
1384,EBARA,Japan,Industrial Engineering,46.1,4.5,19.1,"3,295.6",7.6,2.9,1.4,102.4,-8.5,17.4,3.1,235.7,8.3,11.2,7.2,"16,030",5.7,1.1
1385,PANDORA MEDIA,US,Software & Computer Services,46.1,77.7,32.5,758.4,53.4,29.8,6.1,24.7,2.9,35.8,3.3,-24.8,13.9,34.0,-3.3,"1,414",32.3,26.3
1386,OPOWER,US,Software & Computer Services,46.0,74.2,30.7,105.8,44.8,45.6,43.5,10.2,69.6,29.5,9.7,-33.6,195.3,-13.4,-31.8,577,24.1,
1387,SANDEN,Japan,Automobiles & Parts,46.0,-5.0,-1.5,"2,095.9",11.7,8.6,2.2,84.3,-3.8,8.8,4.0,64.2,103.4,86.5,3.1,"11,063",1.9,8.3
1388,HENGAN INTERNATIONAL GROUP,China,Personal Goods,46.0,55.9,,"2,530.9",12.5,7.5,1.8,167.5,17.9,-15.3,6.6,564.1,13.2,12.8,22.3,"31,000",-8.8,3.1
1389,ACCURAY,US,Health Care Equipment & Services,45.9,3.8,-14.9,312.8,2.8,-3.4,14.7,8.6,-12.5,3.5,2.8,-15.8,5.6,-30.6,-5.0,"1,010",-1.6,-2.3
1390,GS YUASA,Japan,Electronic & Electrical Equipment,45.9,3.5,1.3,"2,524.5",6.3,6.8,1.8,100.9,-2.9,-17.3,4.0,112.7,-9.1,4.3,4.5,"14,506",6.6,3.5
1391,GUANGZHOU HAIGE COMMUNICATIONS,China,Technology Hardware & Equipment,45.9,24.2,20.3,391.7,75.9,19.5,11.7,50.4,8.1,95.9,12.9,67.5,79.2,32.2,17.2,"4,278",65.0,13.9
1392,FIDESSA,UK,Software & Computer Services,45.8,4.5,4.8,353.5,-1.4,0.1,12.9,14.7,-2.6,-7.0,4.1,49.6,-5.4,-0.9,14.0,"1,670",-0.1,-1.5
1393,COSTAR,US,Software & Computer Services,45.7,18.5,32.6,474.4,30.6,20.5,9.6,22.6,44.1,8.2,4.8,66.6,49.3,13.1,14.0,"2,444",19.5,10.6
1394,MANNKIND,US,Pharmaceuticals & Biotechnology,45.6,-20.0,23.5,,,-100.0,,19.8,201.7,5.2,,-148.0,6.0,8.1,,287,8.3,2.0
1395,OTTO,Germany,General Retailers,45.5,31.1,21.0,"12,056.6",0.5,1.1,0.4,,,,0.0,14.6,-95.7,26.5,0.1,"54,037",-0.4,0.7
1396,E INK,Taiwan,Electronic & Electrical Equipment,45.4,11.1,-3.8,378.8,-22.9,-21.1,12.0,14.4,-49.5,-25.6,3.8,14.8,162.4,-69.2,3.9,,,-100.0
1397,CEZ,Czech Republic,Electricity,45.3,18.8,10.0,"7,238.0",-7.5,1.1,0.6,"1,291.3",-21.5,-5.0,17.8,"1,239.3",-27.9,-6.3,17.1,"26,255",-1.2,-5.4
1398,HIKMA PHARMACEUTICALS,UK,Pharmaceuticals & Biotechnology,45.3,41.0,7.7,"1,226.4",9.1,14.1,3.7,75.0,54.2,-5.1,6.1,336.1,11.5,45.8,27.4,"7,139",1.0,4.7
1399,POWER INTEGRATIONS,US,Electronic & Electrical Equipment,45.3,6.4,8.6,287.3,0.5,5.1,15.8,19.0,65.3,-15.6,6.6,46.0,3.2,7.7,16.0,590,5.0,8.3
1400,HYUNDAI ENGINEERING & CONSTRUCTION,South Korea,Construction & Materials,45.2,-2.7,-12.8,"13,027.2",24.7,5.4,0.3,147.2,15.7,31.0,1.1,718.5,20.9,2.5,5.5,,,
1401,TOBIRA THERAPEUTICS,US,Pharmaceuticals & Biotechnology,45.2,106.9,30.8,,,,,0.6,8.0,40.2,,-52.7,91.6,20.9,,4,-85.7,
1402,HANWHA CHEMICAL,South Korea,Chemicals,45.2,-7.8,4.8,"6,035.5",2.4,-0.3,0.7,355.3,-29.9,-7.9,5.9,105.8,45.6,-33.2,1.8,,,
1403,AP PHARMA,US,Pharmaceuticals & Biotechnology,45.2,67.3,63.1,,,-100.0,,1.2,-14.7,48.6,,-61.4,36.9,70.1,,59,25.5,35.2
1404,KTM,Austria,Automobiles & Parts,45.2,23.1,8.4,864.6,20.7,10.8,5.2,69.6,19.7,15.5,8.0,75.2,37.3,20.9,8.7,"2,056",13.7,3.5
1405,PHARMATHEN,Greece,Pharmaceuticals & Biotechnology,45.1,5.5,9.5,180.7,1.5,,25.0,,,,0.0,26.6,0.7,,14.7,758,0.0,
1406,HAIER ELECTRONICS,China,Industrial Engineering,45.0,35.8,19.2,"9,036.6",7.8,7.7,0.5,82.5,20.8,34.1,0.9,415.4,16.9,11.4,4.6,,-100.0,-3.6
1407,PTC THERAPEUTICS,US,Pharmaceuticals & Biotechnology,45.0,170.5,,20.8,-27.2,-31.0,216.2,3.8,451.3,72.4,18.5,-81.9,119.0,,-393.8,193,40.9,
1408,FITBIT,US,Health Care Equipment & Services,44.9,95.8,,614.0,175.0,,7.3,21.8,252.1,,3.6,130.1,"-1,863.8",,21.2,,,
1409,TCL MULTIMEDIA TECHNOLOGY HOLDINGS,China,Technology Hardware & Equipment,44.9,-17.0,22.0,"3,560.6",-19.7,8.2,1.3,33.7,-42.0,93.0,0.9,68.2,103.2,-26.4,1.9,"25,127",-13.4,3.4
1410,BASILEA PHARMACEUTICA,Switzerland,Pharmaceuticals & Biotechnology,44.9,2.0,-8.7,35.4,3.8,-15.0,127.0,1.0,13.1,-28.8,2.9,-34.8,25.7,-16.5,-98.4,230,15.0,-12.6
1411,BIAL,Portugal,Pharmaceuticals & Biotechnology,44.9,-15.4,-2.6,204.3,2.4,17.1,22.0,,,,0.0,39.4,33.2,,19.3,,,
1412,ZHUZHOU TIMES NEW MATERIALS TECHNOLOGY,China,General Industrials,44.9,61.9,21.7,773.7,42.0,6.1,5.8,59.1,45.9,-10.4,7.6,-3.9,-117.4,-17.5,-0.5,"6,859",152.2,3.5
1413,ROLAND,Japan,Leisure Goods,44.9,2.9,-2.1,584.5,18.4,-2.6,7.7,,,,0.0,53.2,"-1,074.8",,9.1,"2,945",-3.8,-0.6
1414,GRACO,US,Industrial Engineering,44.7,5.5,7.4,"1,005.8",10.6,7.2,4.4,25.2,31.4,-2.0,2.5,254.4,10.4,7.1,25.3,"3,100",14.8,5.5
1415,LG LIFE SCIENCES,South Korea,Pharmaceuticals & Biotechnology,44.7,-10.2,-1.2,318.9,2.0,3.0,14.0,39.4,-34.5,4.0,12.4,12.1,12.5,30.2,3.8,,,
1416,STERIS,US,Health Care Equipment & Services,44.6,11.3,10.6,"1,524.0",14.1,4.9,2.9,70.2,-1.3,9.0,4.6,188.0,3.2,-0.3,12.3,"7,600",26.7,6.3
1417,SIRIUS XM,US,Media,44.6,7.0,1.3,"3,443.8",10.1,8.0,1.3,100.2,-29.9,8.1,2.9,922.2,6.9,15.7,26.8,"2,327",6.0,12.9
1418,RICHTEK TECHNOLOGY,Taiwan,Electronic & Electrical Equipment,44.5,12.9,4.7,310.1,11.2,-1.2,14.4,23.4,3.3,63.6,7.5,43.1,8.5,-4.2,13.9,,,-100.0
1419,WAGO,Germany,Electronic & Electrical Equipment,44.5,25.5,12.8,600.8,7.1,4.4,7.4,,,,0.0,59.7,42.0,-14.1,9.9,"5,404",6.5,5.6
1420,HALMA,UK,Electronic & Electrical Equipment,44.5,7.7,5.4,933.5,7.3,5.3,4.8,28.5,39.9,1.4,3.1,173.2,-7.1,9.5,18.6,"5,328",6.6,4.8
1421,PETROLEUM GEO SERVICES,Norway,"Oil Equipment, Services & Distribution",44.5,-2.0,8.4,"1,197.4",-3.2,6.2,3.7,315.8,-12.6,13.6,26.4,85.8,-72.7,39.3,7.2,"2,301",2.5,1.5
1422,HUMANWELL HEALTHCARE,China,Pharmaceuticals & Biotechnology,44.4,45.4,45.0,936.3,17.0,18.7,4.7,120.7,-1.5,17.6,12.9,130.8,9.2,17.0,14.0,"8,934",14.5,6.3
1423,BEIJING SIFANG AUTOMATION,China,Electronic & Electrical Equipment,44.4,9.9,20.5,431.6,6.9,22.1,10.3,35.4,107.2,29.6,8.2,40.4,2.9,22.0,9.4,"3,957",14.3,15.2
1424,ITALCEMENTI,Italy,Construction & Materials,44.4,-4.9,-5.4,"4,155.6",-1.9,-3.6,1.1,507.3,,,12.2,157.9,7.3,8.7,3.8,"17,779",-3.6,-2.5
1425,KABA HOLDING,Switzerland,Support Services,44.3,1.1,113.6,903.7,8.1,1.9,4.9,22.3,23.5,8.1,2.5,120.6,11.0,1.9,13.3,"8,948",11.0,2.8
1426,MASIMO,US,Health Care Equipment & Services,44.3,4.4,13.9,483.2,7.2,7.6,9.2,64.6,502.4,20.1,13.4,76.7,6.2,-4.7,15.9,"3,600",14.7,7.2
1427,CHINA ZHONGWANG,China,Industrial Metals & Mining,44.2,81.2,85.2,"2,149.8",11.6,11.6,2.1,"1,179.1",47.0,81.2,54.8,438.4,9.5,16.7,20.4,"9,793",44.9,15.6
1428,HEXCEL,US,Chemicals,44.1,28.5,8.6,"1,528.3",10.6,6.4,2.9,214.2,33.5,7.2,14.0,251.9,12.9,12.7,16.5,"5,663",7.4,5.4
1429,CHR HANSEN,Denmark,Pharmaceuticals & Biotechnology,44.1,-2.0,4.0,756.2,2.4,5.1,5.8,50.6,-4.0,33.6,6.7,204.8,6.4,6.5,27.1,"2,510",0.0,1.4
1430,ACHILLION PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,44.1,14.5,9.7,,,-100.0,,0.8,132.1,-17.7,,-57.2,16.7,10.3,,69,11.3,7.4
1431,CATALENT,US,Pharmaceuticals & Biotechnology,44.1,3.9,0.7,"1,507.9",0.2,2.5,2.9,116.1,15.2,5.5,7.7,225.1,4.9,6.2,14.9,"8,700",,
1432,FLSMIDTH,Denmark,Industrial Engineering,44.0,-22.0,7.3,"3,049.5",-15.8,7.0,1.4,49.2,-30.2,1.8,1.6,174.1,-472.9,,5.7,"13,841",-11.3,5.7
1433,IPG PHOTONICS,US,Electronic & Electrical Equipment,44.0,28.2,17.9,634.1,18.8,10.9,6.9,74.6,27.8,10.2,11.8,228.3,25.6,8.5,36.0,"3,030",8.2,9.4
1434,POLYONE,US,Chemicals,44.0,1.5,12.5,"3,159.1",1.7,11.7,1.4,76.4,21.5,12.2,2.4,256.2,52.4,58.8,8.1,"6,900",-1.4,14.2
1435,SHORETEL,US,Technology Hardware & Equipment,43.9,7.2,-1.4,297.1,6.1,11.3,14.8,10.8,11.9,34.7,3.6,5.4,694.3,,1.8,"1,063",11.4,0.7
1436,NISSIN FOOD HOLDINGS,Japan,Food Producers,43.9,21.0,6.6,"2,946.5",3.3,3.1,1.5,136.2,-5.3,3.2,4.6,131.4,-25.1,-0.4,4.5,"8,767",4.9,3.5
1437,COUPONS,US,Software & Computer Services,43.8,13.4,29.0,182.7,32.1,22.5,24.0,8.0,-33.1,9.7,4.4,-21.6,154.6,-22.5,-11.8,552,17.7,
1438,YURA,South Korea,Electronic & Electrical Equipment,43.8,10.8,8.6,823.4,1.0,4.0,5.3,,,,0.0,-33.1,269.1,,-4.0,"2,031",20.5,4.9
1439,TRITON EMISSION SOLUTIONS,US,General Industrials,43.8,"214,433.1",,0.0,-87.8,97.4,"135,390.5",,-100.0,,0.0,-45.9,"2,522.8",180.2, ,6,500.0,
1440,LG,South Korea,Electronic & Electrical Equipment,43.8,5.9,-3.5,"7,391.7",0.7,-0.9,0.6,292.4,3.2,-16.3,4.0,782.3,-9.5,-5.1,10.6,,,
1441,SICHUAN KELUN PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,43.7,-0.1,34.8,"1,059.8",16.7,9.9,4.1,371.2,22.1,4.1,35.0,175.1,-1.9,7.3,16.5,"20,792",8.1,9.8
1442,IMA INDUSTRIA MACCHINE AUTOMATICHE,Italy,Industrial Engineering,43.7,9.4,6.6,854.6,12.3,4.4,5.1,13.4,,,1.6,108.0,12.2,37.2,12.6,"3,799",-2.2,3.3
1443,NXC,South Korea,Software & Computer Services,43.7,37.6,14.1,"1,459.9",11.4,13.7,3.0,,,,0.0,461.7,-11.8,9.3,31.6,,-100.0,
1444,TECAN,Switzerland,Pharmaceuticals & Biotechnology,43.5,-2.3,3.3,332.7,2.9,1.0,13.1,4.4,-26.1,-9.2,1.3,47.6,4.4,2.2,14.3,"1,261",6.5,2.3
1445,TETRAPHASE PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,43.5,151.3,6.2,7.5,-13.2,284.1,580.7,0.2,48.1,25.7,2.1,-54.2,133.3,9.6,-722.9,55,19.6,
1446,ALIGN TECHNOLOGY,US,Health Care Equipment & Services,43.5,19.8,7.8,627.3,15.4,11.2,6.9,19.8,24.1,-13.9,3.2,159.4,105.5,1.4,25.4,"3,580",4.7,9.7
1447,REALNETWORKS,US,Software & Computer Services,43.5,-13.3,-4.6,128.7,-24.2,-15.0,33.8,2.0,-68.2,-7.8,1.6,-60.8,46.5,19.4,-47.3,769,-18.7,-8.2
1448,BROOKS AUTOMATION,US,Industrial Engineering,43.4,7.5,7.1,397.7,14.3,-15.0,10.9,4.5,51.8,-17.4,1.1,3.0,-134.5,,0.7,"1,455",-12.1,0.1
1449,PANGANG,China,Industrial Metals & Mining,43.4,17.4,-7.2,"2,135.0",8.3,-33.6,2.0,488.9,146.9,-28.4,22.9,-486.9,-359.0,-13.2,-22.8,"18,613",1.3,3.6
1450,STELLA INTERNATIONAL,China,Personal Goods,43.4,8.1,2.9,"1,369.8",7.9,1.0,3.2,63.7,-5.7,25.9,4.7,112.1,3.7,-4.5,8.2,"83,000",7.8,3.2
1451,FOXCONN TECHNOLOGY,Taiwan,Technology Hardware & Equipment,43.3,32.6,3.5,"2,180.8",-11.3,-10.4,2.0,29.3,-34.1,-23.7,1.3,279.5,49.8,-2.8,12.8,,,-100.0
1452,NIPPON SODA,Japan,Chemicals,43.3,-2.1,4.1,"1,010.9",5.3,5.1,4.3,39.9,-28.2,18.2,4.0,39.4,13.3,2.6,3.9,"2,507",0.2,-0.1
