#,Investor Name,HQ Country,HQ City,Latitude,Longitude
140,ESA BIC Madrid Region,Spain,Madrid,40.4167047,-3.7035825
142,ESA BIC NORD FRANCE,France,Longpont-Sur-Orge,48.64262,2.2919546
143,ESA BIC Nord France,France,Longpont-Sur-Orge,48.64262,2.2919546
144,ESA BIC North Rhine-Westp…,Germany,Aachen,50.776351,6.083862
145,ESA BIC PORTUGAL,Portugal,Coimbra,40.2111931,-8.4294632
146,ESA BIC SUD FRANCE,France,Toulouse,43.6044622,1.4442469
147,ESA BIC Sweden,Sweden,Luleå,65.5831187,22.1459535
148,ESA BIC Turin,Italy,Turin,45.0677551,7.6824892
149,ESA Space Solutions Belgium,Belgium,Kruibeke,51.1712275,4.3091107
150,EuraTechnologies,France,Lille,50.6365654,3.0635282
151,European Data Incubator,Spain,Bilbao,43.2630018,-2.9350039
152,Eywa,Spain,San Sebastian,43.3224219,-1.9838889
153,Fábrica de Startups,Portugal,Lisbon,38.7077507,-9.1365919
154,FabriQ Milano,Italy,Milan,45.4641943,9.1896346
156,Fast Track Malmö,Sweden,Malmo,55.6052931,13.0001566
157,Female Founders,Austria,Vienna,48.2083537,16.3725042
158,FI-C3,Belgium,Brussels,50.8465573,4.351697
159,FINODEX,Spain,Madrid,40.4167047,-3.7035825
160,FIWARE,Germany,Berlin,52.510885,13.3989367
161,Fondazione Filarete,Italy,Milan,45.4641943,9.1896346
162,Founder Institute Berlin,Germany,Berlin,52.510885,13.3989367
163,Founders (Denmark),Denmark,Copenhagen,55.6867243,12.5700724
164,Founders Denmark,Denmark,Copenhagen,55.6867243,12.5700724
165,From Start-to-Table,Portugal,Lisbon,38.7077507,-9.1365919
166,FrontierCities2,Belgium,Ixelles,50.8331141,4.3668279
167,Fundacion Innovacion Banki…,Spain,Alcobendas,40.5400082,-3.6358494
168,Funding for Innovators by U…,Germany,Munich,48.1371079,11.5753822
169,FundingBox,Spain,Madrid,40.4167047,-3.7035825
