EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
1228,ASELSAN ELEKTRONIK SANAYI VE TICARET,Turkey,Electronic & Electrical equipment,63.2,23.5,1.1,877.6,9.7,19.4,7.2,30.0,-39.6,-4.1,3.4,103.3,-12.8,12.5,11.8,5392,1.1,1.2
1229,KEYENCE,Japan,Electronic & Electrical equipment,63.2,-18.0,5.5,"2,220.0",-12.8,20.7,2.8,18.7,-18.5,4.8,0.8,"1,185.1",-11.5,26.7,53.4,5003,12.6,35.1
1230,SIGMA DESIGNS,US,Technology Hardware & Equipment,63.2,4.2,-12.6,208.7,20.7,1.6,30.3,12.9,14.0,-7.3,6.2,-0.9,-94.4,-77.1,-0.4,717,3.8,-8.8
1231,ANALOGIC,US,Electronic & Electrical equipment,62.9,-7.3,6.2,0.0,,,,0.0,,,,0.0,,,,0,,
1232,TOTVS,Brazil,Software & Computer Services,62.8,11.1,15.3,449.1,7.7,10.5,14.0,11.2,52.2,22.5,2.5,53.7,-34.5,-8.6,12.0,0,,
1233,MKS INSTRUMENTS,US,Technology Hardware & Equipment,62.7,8.6,4.3,747.2,4.2,8.1,8.4,11.4,-5.8,-11.2,1.5,145.8,15.0,24.2,19.5,2181,-8.0,-1.8
1234,RADIUS HEALTH,US,Pharmaceuticals & Biotechnology,62.7,49.3,7.5,0.0,,,,1.1,43.6,213.4,,-91.0,66.8,15.4,,75,188.5,71.0
1235,HUGO BOSS,Germany,Personal Goods,62.6,5.4,0.4,"2,808.7",9.2,6.2,2.2,154.3,47.7,1.4,5.5,447.7,-0.2,1.2,15.9,13764,6.0,5.1
1236,TELENAV,US,Technology Hardware & Equipment,62.5,12.4,-1.4,168.4,14.4,-1.5,37.1,3.7,231.5,7.8,2.2,-33.0,-3.3,,-19.6,0,,
1237,SHAN DONG SUN PAPER INDUSTRY JOINT STOCK,China,General Industrials,62.5,4.5,1.7,"1,502.2",3.1,1.3,4.2,371.7,34.9,28.6,24.7,229.3,28.4,27.7,15.3,6390,3.0,0.3
1238,N BROWN,UK,General Retailers,62.3,-4.6,36.8,"1,184.9",2.2,3.5,5.3,16.5,-18.8,19.4,1.4,116.7,-1.7,-4.6,9.8,2939,-13.0,-3.3
1239,BOBST,Switzerland,Industrial Engineering,62.2,-9.4,-1.4,"1,232.2",2.4,1.7,5.0,13.0,-28.9,-37.9,1.1,69.8,-7.7,58.3,5.7,4907,1.4,
1240,ONCOMED PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,62.1,83.5,64.5,23.8,-34.5,1.6,261.2,1.3,-24.6,24.1,5.3,-78.6,69.0,56.4,-330.3,122,13.0,
1241,CHICONY ELECTRONICS,Taiwan,Technology Hardware & Equipment,62.0,3.4,11.1,"2,248.1",0.7,6.1,2.8,78.5,-31.2,15.7,3.5,156.3,3.5,10.5,7.0,0,,
1242,AHOLD,The Netherlands,Food & Drug Retailers,62.0,-18.4,-17.1,"38,203.0",16.6,5.3,0.2,804.0,9.8,-4.0,2.1,"1,318.0",3.5,-0.6,3.4,236000,4.0,1.6
1243,POWERCHIP TECHNOLOGY,Taiwan,Technology Hardware & Equipment,61.8,4.4,-5.4,"1,146.3",2.5,9.0,5.4,0.0,,,0.0,283.3,-3.6,,24.7,0,,
1244,ASPEN TECHNOLOGY,US,Software & Computer Services,61.7,-4.0,1.8,433.9,7.3,14.9,14.2,3.4,-53.1,-17.0,0.8,194.2,17.6,56.1,44.8,1396,1.7,1.7
1245,HAN'S LASER TECHNOLOGY,China,Industrial Engineering,61.7,18.3,24.2,726.5,-1.9,7.9,8.5,44.6,19.9,5.9,6.1,87.8,-19.2,-3.8,12.1,8373,3.5,1.6
1246,APTARGROUP,US,General Industrials,61.6,-11.9,0.9,"2,128.4",-10.8,-0.2,2.9,137.2,-7.8,-5.0,6.4,297.7,5.8,7.4,14.0,13000,0.0,2.7
1247,YOUKU TUDOU,China,Software & Computer Services,61.3,45.2,79.5,0.0,,,,0.0,,,,0.0,,,,0,,
1248,CONAGRA FOODS,US,Food Producers,61.3,-26.2,-10.5,"10,694.3",-2.5,-4.7,0.6,404.3,25.3,1.0,3.8,"1,082.0",-15.9,-1.2,10.1,20900,-36.5,
1249,ELONG,China,Travel & Leisure,61.2,57.1,50.3,0.0,,,,0.0,,,,0.0,,,,0,,
1250,SAWAI PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,61.1,31.3,20.8,941.3,17.1,15.3,6.5,133.0,41.9,63.4,14.1,171.5,8.8,9.0,18.2,1490,20.3,12.4
1251,TRAVELSKY TECHNOLOGY,China,Technology Hardware & Equipment,61.1,-3.9,-9.7,774.2,2.5,10.5,7.9,139.9,2.5,39.7,18.1,308.1,65.1,21.2,39.8,6631,6.7,7.8
1252,VEEVA SYSTEMS,US,Software & Computer Services,61.1,59.6,63.4,375.9,30.6,46.7,16.2,20.3,-17.8,142.5,5.4,72.2,12.3,37.8,19.2,1474,55.0,
1253,LG LIFE SCIENCES,South Korea,Pharmaceuticals & Biotechnology,61.0,30.7,5.8,352.9,5.9,3.5,17.3,70.9,71.9,14.3,20.1,19.7,55.6,18.2,5.6,0,,
1254,DAEWOO SHIPBUILDING & MARINE,South Korea,Industrial Engineering,61.0,-12.0,-7.7,"11,756.4",-3.0,2.2,0.5,153.5,-52.9,-18.1,1.3,"-2,301.0",298.1,,-19.6,0,,
1255,DAIWA HOUSE INDUSTRY,Japan,Household Goods & Home Construction,61.0,3.5,8.3,"24,338.3",13.6,16.7,0.3,"1,358.2",-23.3,17.7,5.6,"1,827.8",41.7,26.9,7.5,37191,6.6,7.0
1256,HORTONWORKS,US,Software & Computer Services,60.8,75.4,69.3,112.0,164.8,194.4,54.3,11.8,104.6,145.0,10.5,-165.0,5.9,108.5,-147.3,850,41.4,
1257,CEMPRA,US,Pharmaceuticals & Biotechnology,60.7,39.6,57.6,25.1,79.5,,241.8,0.0,-11.4,75.7,0.2,-81.7,49.7,57.1,-325.6,93,69.1,54.9
1258,CROSS INDUSTRIES,Austria,Software & Computer Services,60.5,29.0,200.7,0.0,,,,115.7,"11,038.2",314.5,,112.6,"9,935.0",422.6,,4553,498.3,81.9
1259,DIGITAL CHINA,China,Software & Computer Services,60.5,-6.6,26.0,"8,336.5",2.9,-1.5,0.7,31.8,-7.9,-21.3,0.4,167.0,14.9,-12.5,2.0,6800,30.8,-13.8
1260,MONOLITHIC POWER SYSTEMS,US,Technology Hardware & Equipment,60.4,12.3,10.5,305.9,17.9,15.9,19.8,14.7,68.5,-8.7,4.8,38.6,54.3,43.2,12.6,1260,7.0,8.3
1261,NKT,Denmark,Electronic & Electrical equipment,60.4,45.4,14.0,"2,223.6",4.2,2.9,2.7,39.0,19.4,-7.1,1.8,34.2,-49.6,-18.6,1.5,8895,-2.0,0.1
1262,FAW CAR,China,Automobiles & Parts,60.4,-16.7,-12.5,"3,317.7",-21.6,5.6,1.8,91.7,-23.5,-36.9,2.8,1.1,-173.8,,0.0,7484,5.9,0.1
1263,GLENMARK PHARMACEUTICALS,India,Pharmaceuticals & Biotechnology,60.2,-27.7,1.9,0.0,,,,0.0,,,,0.0,,,,0,,
1264,XERO,New Zealand,Software & Computer Services,60.1,48.1,74.6,130.2,67.2,74.4,46.1,3.0,-54.0,1.3,2.3,-57.1,17.1,80.1,-43.9,0,,
1265,SCOTTS MIRACLE-GRO,US,Chemicals,60.1,-6.8,-2.0,"2,770.7",6.2,2.9,2.2,56.7,-29.6,-3.8,2.0,349.8,16.4,16.3,12.6,7900,17.9,9.0
1266,TIETO,Finland,Software & Computer Services,60.0,20.0,16.4,"1,460.1",-4.1,-7.2,4.1,0.0,,,0.0,119.5,105.3,13.7,8.2,13083,-4.6,-7.5
1267,MPM,US,Chemicals,59.7,-14.5,-2.0,"2,102.5",-7.6,-1.0,2.8,107.5,20.6,2.4,5.1,39.5,-142.6,120.7,1.9,0,,
1268,KAJIMA,Japan,Construction & Materials,59.7,1.1,-2.6,"13,284.0",2.9,5.5,0.4,233.4,36.6,16.1,1.8,780.8,738.3,86.1,5.9,15810,2.8,0.7
1269,SOLARCITY,US,Alternative Energy,59.6,238.8,186.2,367.1,56.7,46.6,16.2,"1,692.1",55.3,62.6,461.0,-595.0,93.0,92.4,-162.1,15273,68.7,
1270,WILO,Germany,Industrial Engineering,59.5,22.3,17.5,0.0,,,,0.0,,,,0.0,,,,0,,
1271,COLOPLAST,Denmark,Health Care Equipment & Services,59.4,13.6,12.2,"1,870.5",11.9,8.1,3.2,78.4,15.4,22.5,4.2,609.9,9.4,11.7,32.6,9535,5.1,6.6
1272,CHURCH & DWIGHT,US,Chemicals,59.4,8.2,5.7,"3,118.2",2.9,5.1,1.9,56.8,-12.3,-6.0,1.8,621.2,4.7,7.5,19.9,4400,4.8,0.0
1273,AMCOR,Australia,General Industrials,59.4,8.5,-6.2,0.0,,,,0.0,,,,0.0,,,,0,,
1274,SARTORIUS,Germany,Electronic & Electrical equipment,59.3,7.2,4.9,"1,114.8",25.1,9.6,5.3,111.4,29.4,38.9,10.0,202.7,63.9,21.1,18.2,6185,-2.1,4.0
1275,HUMAX,South Korea,Technology Hardware & Equipment,59.2,14.2,8.1,"1,117.6",-1.2,11.7,5.3,25.6,-18.4,38.9,2.3,38.0,46.8,16.4,3.4,0,,
1276,AMADA,Japan,Industrial Engineering,59.2,-6.8,1.2,"2,317.4",6.1,17.0,2.6,47.7,-16.6,-15.0,2.1,320.1,53.4,110.3,13.8,7955,-1.6,1.2
1277,SPECTRANETICS,US,Health Care Equipment & Services,59.2,124.7,56.4,225.9,20.0,20.6,26.2,8.8,41.9,45.8,3.9,-43.1,126.2,,-19.1,892,18.5,17.6
1278,KYB,Japan,Industrial Engineering,59.2,-12.9,12.4,"2,708.5",-4.1,5.1,2.2,167.4,-24.7,-11.5,6.2,134.1,52.1,19.1,4.9,13796,0.5,3.9
1279,SNAP-ON,US,Household Goods & Home Construction,59.0,-10.1,-1.8,"3,300.4",2.9,6.9,1.8,73.8,-0.2,0.4,2.2,771.2,10.4,12.6,23.4,11500,0.9,0.9
1280,VISHAY INTERTECHNOLOGY,US,Electronic & Electrical equipment,59.0,-1.7,3.9,"2,113.1",-7.7,1.0,2.8,135.2,-6.3,-0.7,6.4,107.5,-48.1,-14.8,5.1,22400,-0.9,1.2
1281,XCERRA,US,Technology Hardware & Equipment,58.9,5.6,8.8,0.0,,,,0.0,,,,0.0,,,,0,,
1282,OWENS-ILLINOIS,US,General Industrials,58.8,1.6,1.1,"5,654.5",-9.3,-4.2,1.0,369.2,8.9,11.5,6.5,493.2,-10.2,-13.4,8.7,27000,28.0,6.3
1283,XTRION,Belgium,Technology Hardware & Equipment,58.8,13.5,5.4,0.0,,,,0.0,,,,0.0,,,,0,,
1284,FUNAI ELECTRIC,Japan,Electronic & Electrical equipment,58.7,2.2,-6.4,"1,281.5",-22.6,-4.3,4.6,16.1,-33.2,-26.8,1.3,-103.8,"25,120.4",25.5,-8.1,3318,-7.9,-11.4
1285,GEBERIT,Switzerland,General Industrials,58.7,13.6,8.4,"2,401.4",24.2,10.6,2.4,136.4,40.6,19.6,5.7,402.6,-24.6,-2.0,16.8,12126,94.1,25.5
1286,PRIMAX ELECTRONICS,Taiwan,Technology Hardware & Equipment,58.7,11.2,16.7,"1,827.9",25.6,15.0,3.2,54.7,73.6,26.1,3.0,60.9,11.7,14.9,3.3,0,,
1287,TRUECAR,US,Software & Computer Services,58.5,26.4,32.8,238.7,25.7,48.2,24.5,27.4,87.7,68.8,11.5,-58.8,41.5,-2.5,-24.6,574,24.0,
1288,MAREL,Iceland,Industrial Engineering,58.4,13.7,3.0,818.6,14.9,4.7,7.1,8.7,76.5,-8.4,1.1,81.6,179.7,10.1,10.0,3886,-5.6,-1.4
1289,LINTEC,Japan,Forestry & Paper,58.3,12.9,1.7,"1,604.6",1.6,3.3,3.6,74.8,55.7,-10.8,4.7,134.9,9.2,18.8,8.4,4246,-3.8,-0.2
1290,ACER,Taiwan,Technology Hardware & Equipment,58.2,-17.2,-10.0,"7,351.3",-20.0,-15.0,0.8,7.5,17.0,-30.9,0.1,78.6,-56.1,20.4,1.1,0,,
1291,EBARA,Japan,Industrial Engineering,58.2,13.0,14.9,"3,706.4",0.7,4.5,1.6,95.3,-16.7,1.9,2.6,287.9,9.4,14.9,7.8,16270,1.5,2.4
1292,NOK,Japan,Automobiles & Parts,58.2,-5.7,3.7,"5,687.6",7.6,11.3,1.0,458.1,45.1,5.1,8.1,367.9,-28.1,22.1,6.5,46869,-4.4,-2.6
1293,IPG PHOTONICS,US,Electronic & Electrical equipment,58.2,18.6,26.3,827.8,17.1,17.0,7.0,64.4,-22.6,0.9,7.8,311.8,22.5,17.3,37.7,3740,23.4,15.9
1294,INFOBLOX,US,Software & Computer Services,58.1,33.8,20.0,0.0,,,,0.0,,,,0.0,,,,0,,
1295,E.ON,Germany,"Gas, Water & Multi-utilities",58.0,20.8,-26.0,"116,218.0",4.2,-4.2,0.0,"3,852.0",-3.6,-15.5,3.3,"-5,250.0","2,578.6",,-4.5,56490,-3.4,-7.8
1296,KSB,Germany,Industrial Engineering,58.0,19.2,8.8,"2,334.8",7.0,1.0,2.5,75.8,-0.9,-1.9,3.2,104.5,19.2,-10.5,4.5,16196,-0.7,0.0
1297,NATS,UK,Industrial Transportation,57.8,13.9,20.3,"1,222.5",-2.6,-0.1,4.7,0.0,,,0.0,96.1,-69.0,-33.9,7.9,4164,-4.1,-3.0
1298,BROADSOFT,US,Software & Computer Services,57.8,22.4,19.9,256.1,28.6,19.2,22.6,11.8,22.4,48.6,4.6,14.0,131.9,-15.7,5.5,1247,43.8,26.8
1299,PARROT,France,Technology Hardware & Equipment,57.8,-2.3,7.4,326.3,33.8,5.2,17.7,13.3,-29.6,-8.4,4.1,2.1,245.2,-59.7,0.6,956,1.3,4.8
1300,CRANE,US,Industrial Engineering,57.7,-7.6,-2.1,"2,517.2",-6.3,2.0,2.3,36.4,-9.4,10.6,1.4,876.6,-6.1,3.2,34.8,11200,-0.9,2.2
1301,PLATFORM SPECIALTY PRODUCTS,US,Chemicals,57.7,139.7,35.8,"2,335.2",201.5,51.5,2.5,44.0,158.9,52.9,1.9,65.8,472.8,-14.7,2.8,8200,228.0,
1302,PANTECH,South Korea,Technology Hardware & Equipment,57.7,-9.3,-9.2,0.0,,,,0.0,,,,0.0,,,,0,,
1303,BARRY CALLEBAUT,Switzerland,Food Producers,57.6,7.7,4.7,"5,779.0",6.4,7.8,1.0,190.1,-2.2,4.8,3.3,379.6,-1.2,16.3,6.6,9430,1.2,15.6
1304,NUFARM,Australia,Chemicals,57.5,4.0,8.6,0.0,,,,0.0,,,,0.0,,,,0,,
1305,MILLER HERMAN,US,Household Goods & Home Construction,57.3,10.1,8.9,"2,080.4",5.7,8.5,2.8,78.2,33.8,19.2,3.8,194.3,20.1,22.1,9.3,7607,1.3,9.1
1306,VECTURA,UK,Pharmaceuticals & Biotechnology,57.3,16.6,10.9,98.0,24.1,33.2,58.5,2.0,7.1,-27.9,2.1,-6.9,-27.1,-24.0,-7.1,270,11.1,7.7
1307,SINOPEC YIZHENG CHEMICAL FIBRE,China,Oil & Gas Producers,57.3,-13.9,103.0,"8,539.2",-36.1,52.6,0.7,529.9,51.8,75.8,6.2,187.5,-47.5,,2.2,78182,-2.9,116.9
1308,HANESBRANDS,US,Personal Goods,57.2,-1.5,8.9,"5,264.6",7.6,8.2,1.1,91.3,54.5,34.3,1.7,555.1,7.4,11.2,10.5,65300,9.7,8.2
1309,LENNOX INTERNATIONAL,US,Construction & Materials,57.2,2.6,7.1,"3,184.9",3.0,5.5,1.8,64.2,-20.9,11.7,2.0,287.2,-4.5,13.4,9.0,10000,2.0,-5.9
1310,KOENIG & BAUER,Germany,Industrial Engineering,57.2,4.4,1.4,"1,025.1",-6.8,-7.5,5.6,22.5,22.3,-0.1,2.2,22.8,70.1,7.8,2.2,5249,-8.4,-5.8
1311,CITIZEN,Japan,Electronic & Electrical equipment,57.2,-1.3,-0.4,"2,654.7",6.0,8.6,2.2,164.1,30.4,6.1,6.2,209.0,8.0,61.7,7.9,17046,-11.1,-2.6
1312,HUMANWELL HEALTHCARE,China,Pharmaceuticals & Biotechnology,57.1,22.2,23.9,"1,402.7",42.5,24.0,4.1,117.2,-7.6,1.0,8.4,160.7,16.9,14.4,11.5,12344,38.2,19.5
1313,TETRAPHASE PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,57.0,17.5,85.7,10.7,28.4,15.4,531.3,0.8,338.7,149.4,7.2,-76.2,26.2,81.0,-710.2,69,25.5,27.9
1314,WISTRON NEWEB,Taiwan,Technology Hardware & Equipment,57.0,24.2,13.7,"1,454.3",29.4,14.9,3.9,61.8,101.4,34.3,4.2,67.3,37.4,16.2,4.6,0,,
1315,HAEMONETICS,US,Health Care Equipment & Services,56.9,-2.7,7.0,834.8,-0.2,0.6,6.8,94.1,-16.2,18.1,11.3,-44.7,-149.9,,-5.4,3225,-4.7,-3.3
1316,AVON PRODUCTS,US,Personal Goods,56.9,-1.0,-6.3,"5,658.6",-30.4,-16.4,1.0,84.9,-29.5,-26.1,1.5,196.7,-58.4,-30.9,3.5,28300,-14.8,-10.2
1317,MOBILEIRON,US,Mobile Telecommunications,56.8,33.7,37.6,137.1,12.9,54.0,41.4,3.4,-1.0,16.9,2.5,-75.6,34.8,19.9,-55.1,843,7.7,
1318,JIVE SOFTWARE,US,Software & Computer Services,56.8,0.9,16.4,179.8,9.6,19.9,31.6,5.9,-30.7,-15.4,3.3,-31.8,-37.1,-9.7,-17.7,721,9.6,11.0
1319,YAMAZAKI BAKING,Japan,Food Producers,56.7,4.4,3.7,"7,830.0",3.2,2.6,0.7,252.2,6.3,0.0,3.2,195.7,30.0,1.7,2.5,26222,2.1,1.8
1320,ARCELIK,Turkey,Household Goods & Home Construction,56.7,27.0,17.9,"4,471.2",13.2,10.3,1.3,202.2,41.3,10.5,4.5,376.8,15.1,13.1,8.4,26128,4.4,3.3
1321,PUMA,Germany,Personal Goods,56.7,22.7,-15.5,"3,387.4",14.0,1.2,1.7,79.0,8.8,-0.9,2.3,96.2,-24.8,-5.3,2.8,11351,0.7,0.2
1322,TOYO INK MANUFACTURING,Japan,Industrial Engineering,56.7,1.3,1.1,"2,158.8",-1.2,4.4,2.6,92.1,-7.3,-2.4,4.3,140.8,2.9,1.7,6.5,8116,2.5,2.8
1323,TOWER SEMICONDUCTOR,Israel,Technology Hardware & Equipment,56.6,19.0,25.6,882.3,16.0,14.6,6.4,151.9,229.4,16.8,17.2,75.2,-246.0,,8.5,4633,18.5,17.0
1324,ARGOS THERAPEUTICS,US,Pharmaceuticals & Biotechnology,56.5,41.4,79.9,0.5,-73.7,-58.1,"11,872.1",8.9,782.4,104.2,"1,868.8",-66.6,39.2,63.1,"-13,996.4",136,20.4,
1325,RPM,US,Chemicals,56.5,8.5,7.6,"4,421.5",4.8,5.7,1.3,107.6,37.3,8.6,2.4,516.5,8.5,13.8,11.7,13394,4.1,8.3
1326,CANADIAN NATIONAL RAILWAY,Canada,Travel & Leisure,56.4,-16.7,-3.0,"8,369.6",3.9,8.3,0.7,"1,795.9",17.8,16.1,21.5,"3,494.9",13.9,12.6,41.8,0,,
1327,SILVER SPRING NETWORKS,US,Technology Hardware & Equipment,56.3,-5.4,-0.4,449.7,155.9,35.5,12.5,4.9,-11.9,3.3,1.1,77.7,-198.8,,17.3,652,13.2,4.8
1328,ALIGN TECHNOLOGY,US,Health Care Equipment & Services,56.2,16.0,12.6,776.6,11.0,14.7,7.2,49.1,121.9,11.7,6.3,173.3,-2.6,30.1,22.3,4375,22.2,11.3
1329,WANXIANG QIANCHAO,China,Automobiles & Parts,56.2,-6.9,7.6,"1,377.9",5.9,7.4,4.1,63.0,-15.3,9.2,4.6,136.1,3.1,24.2,9.9,10507,-2.3,2.6
1330,AUTONEUM HOLDING,Switzerland,Automobiles & Parts,56.2,6.3,-2.9,"1,931.2",6.7,2.4,2.9,110.3,20.7,17.6,5.7,117.1,-6.4,17.9,6.1,11423,6.9,5.2
1331,AP PHARMA,US,Pharmaceuticals & Biotechnology,56.2,11.6,59.2,0.0,,,,1.0,-24.5,3.8,,-89.0,30.0,59.6,,148,150.8,66.6
1332,XJ ELECTRIC,China,Electronic & Electrical equipment,56.2,-7.1,9.6,"1,024.0",-12.3,4.3,5.5,29.8,76.1,46.6,2.9,145.1,-32.8,14.8,14.2,5919,-1.2,2.6
1333,MODINE MANUFACTURING,US,Automobiles & Parts,56.1,-1.5,-3.7,"1,242.3",-9.6,-0.6,4.5,57.7,7.7,8.0,4.6,8.4,-83.2,-17.8,0.7,7100,2.9,3.0
1334,HALMA,UK,Electronic & Electrical equipment,56.1,19.1,9.9,"1,099.6",11.2,9.3,5.1,30.5,1.1,15.7,2.8,190.5,3.9,6.4,17.3,5604,5.2,5.9
1335,HENGAN INTERNATIONAL GROUP,China,Personal Goods,56.0,9.2,,"2,897.7",2.6,9.7,1.9,132.1,-29.3,-21.0,4.6,727.0,6.0,10.6,25.1,29700,-4.2,-4.0
1336,EASTMAN KODAK,US,Leisure Goods,56.0,-35.1,-28.7,"1,651.5",-15.0,-12.9,3.4,39.5,0.0,0.8,2.4,84.5,114.0,,5.1,6400,-12.3,-21.0
1337,EXPERIAN,UK,Support Services,56.0,-12.9,-7.5,"4,179.3",-5.4,-2.3,1.3,62.5,6.3,-16.1,1.5,975.5,-8.5,-0.1,23.3,16680,0.0,-0.9
1338,CONSTANT CONTACT,US,Software & Computer Services,56.0,15.1,21.2,0.0,,,,0.0,,,,0.0,,,,0,,
1339,RICHTEK TECHNOLOGY,Taiwan,Electronic & Electrical equipment,56.0,17.3,12.0,351.2,5.6,3.8,15.9,0.0,,,0.0,48.1,4.2,-3.3,13.7,0,,
1340,CURTISS-WRIGHT,US,Aerospace & Defense,55.9,-10.3,0.6,"2,026.0",-1.7,6.6,2.8,32.6,-47.1,-25.2,1.6,295.5,11.2,19.2,14.6,8400,-6.7,-3.3
1341,MICROPORT SCIENTIFIC,China,Health Care Equipment & Services,55.7,0.2,32.7,345.2,5.8,36.4,16.1,33.6,-31.5,-7.9,9.7,6.0,-116.8,-52.0,1.7,2926,0.8,19.5
1342,DE LONGHI,Italy,Household Goods & Home Construction,55.7,11.5,15.7,"1,891.1",9.5,7.3,2.9,43.7,-17.1,,2.3,259.2,14.0,6.5,13.7,6433,-4.1,4.2
1343,BASILEA PHARMACEUTICA,Switzerland,Pharmaceuticals & Biotechnology,55.6,11.4,0.8,47.8,21.5,-3.7,116.4,0.9,-19.1,-3.0,2.0,-56.9,47.0,6.5,-119.0,250,8.7,7.7
1344,SWEDISH ORPHAN BIOVITRUM,Sweden,Pharmaceuticals & Biotechnology,55.6,2.4,8.5,351.3,23.8,18.8,15.8,3.0,19.8,71.2,0.8,16.3,729.0,,4.6,672,14.1,9.3
1345,TASLY PHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,55.5,7.6,28.6,"1,842.5",4.8,12.2,3.0,104.4,-2.3,10.0,5.7,289.8,4.0,18.7,15.7,10836,3.6,17.7
1346,ESS,Sweden,Pharmaceuticals & Biotechnology,55.5,-21.2,23.2,1.5,-28.1,98.8,"3,601.0",0.0,,,0.0,-66.9,-21.2,20.7,"-4,342.9",240,-2.4,27.8
1347,COMSCORE,US,Support Services,55.4,47.1,21.0,0.0,,,,0.0,,,,0.0,,,,0,,
1348,DONALDSON,US,Industrial Engineering,55.3,-2.6,0.4,0.0,,,,0.0,,,,0.0,,,,0,,
1349,MERCADOLIBRE,Argentina,Software & Computer Services,55.2,44.8,38.8,598.7,17.1,20.4,9.2,37.6,15.9,31.1,6.3,127.9,15.5,2.4,21.4,3298,26.9,20.3
1350,ZYXEL COMMUNICATIONS,Taiwan,Technology Hardware & Equipment,55.2,5.9,13.2,596.1,0.6,12.4,9.3,9.2,-7.5,0.2,1.5,-4.0,-120.2,,-0.7,0,,
1351,KCC,South Korea,Construction & Materials,55.2,1.6,-8.2,"2,674.8",0.4,1.7,2.1,291.0,15.6,-5.4,10.9,242.2,13.1,15.8,9.1,0,,
1352,VERSARTIS,US,Pharmaceuticals & Biotechnology,55.1,84.1,76.3,0.0,,,,0.0,,,,-75.8,78.9,85.6,,44,33.3,
1353,NEXON,Japan,Software & Computer Services,55.1,24.0,41.3,"1,450.3",10.0,20.6,3.8,21.9,-37.1,-5.9,1.5,505.8,46.4,14.6,34.9,5033,8.1,6.3
1354,FIRST TRACTOR,China,Industrial Engineering,55.1,-2.4,-1.2,"1,254.9",4.1,-8.3,4.4,58.1,-37.5,-5.3,4.6,52.8,176.6,-8.9,4.2,11877,-9.4,-4.3
1355,ACELITY L.P.,US,Health Care Equipment & Services,55.1,-13.5,-5.9,"1,715.0",0.0,2.3,3.2,0.0,,,0.0,333.7,56.0,32.0,19.5,0,,
1356,GRAMMER,Germany,Automobiles & Parts,55.1,-2.3,12.8,"1,425.7",4.4,7.6,3.9,37.8,12.0,6.1,2.7,42.7,-25.0,-3.0,3.0,11397,6.5,9.5
1357,RADIANT OPTO ELECTRONICS,Taiwan,Electronic & Electrical equipment,55.0,9.9,22.5,"1,444.5",0.9,-12.1,3.8,107.7,310.0,64.4,7.5,95.8,-18.1,-19.1,6.6,0,,
1358,STELLA INTERNATIONAL,China,Personal Goods,55.0,13.8,6.6,"1,625.7",6.4,4.5,3.4,77.0,8.3,16.3,4.7,117.8,-5.8,-7.5,7.2,83000,0.0,2.5
1359,GENOMIC HEALTH,US,Pharmaceuticals & Biotechnology,54.9,6.7,8.1,264.0,4.3,6.9,20.8,21.6,124.6,32.7,8.2,-31.3,44.0,,-11.8,802,6.6,9.4
1360,TOHOKU ELECTRIC POWER,Japan,Electricity,54.9,20.5,4.1,"15,973.9",-4.0,5.3,0.3,"2,239.6",14.0,5.1,14.0,"1,446.5",11.8,,9.1,24285,-1.0,-0.6
1361,CABOT MICROELECTRONICS,US,Technology Hardware & Equipment,54.9,0.7,0.6,380.4,-2.5,-1.1,14.4,12.7,10.0,-11.2,3.3,68.9,4.5,4.1,18.1,1111,5.4,2.2
1362,INTREXON,US,Pharmaceuticals & Biotechnology,54.8,333.2,5.8,159.5,141.4,132.7,34.4,11.7,100.1,19.4,7.3,-134.9,109.9,25.0,-84.6,734,31.5,
1363,NISSIN FOOD HOLDINGS,Japan,Food Producers,54.8,11.7,18.5,"3,568.0",8.5,6.9,1.5,247.8,62.9,15.5,6.9,192.9,31.5,3.7,5.4,11200,27.8,12.7
1364,GENTHERM,US,Automobiles & Parts,54.7,3.6,13.3,786.7,5.6,15.6,7.0,51.0,42.7,27.5,6.5,111.4,21.9,49.8,14.2,10098,17.3,16.5
1365,BOLIDEN,Sweden,Mining,54.7,27.0,4.3,"4,379.1",9.1,0.2,1.2,394.8,4.2,-4.4,9.0,390.7,30.1,-4.9,8.9,4878,-0.1,0.6
1366,DERMIRA,US,Pharmaceuticals & Biotechnology,54.7,154.3,51.7,6.7,0.0,,815.5,0.2,29.5,77.7,2.8,-73.2,151.3,58.0,"-1,091.0",62,82.4,
