EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
219,CHINA MERCHANTS BANK,China,Banks,584.8,6.7,17.9,"28,584.5",21.6,21.2,2.0,0.0,,,0.0,"10,623.4",2.2,8.0,37.2,76192,1.4,8.7
220,BIOMARIN PHARMACEUTICAL,US,Pharmaceuticals & Biotechnology,583.1,37.5,28.1,817.4,18.8,21.1,71.3,209.1,94.5,72.2,25.6,-105.1,13.8,0.8,-12.9,2158,28.4,25.6
221,TOKYO ELECTRON,Japan,Technology Hardware & Equipment,581.5,6.9,1.4,"5,061.0",8.3,10.1,11.5,86.1,-5.1,-15.9,1.7,816.1,25.1,104.3,16.1,10629,-2.0,-4.5
222,ACCENTURE,Ireland,Support Services,574.6,-2.2,3.8,"30,232.8",3.3,3.4,1.9,362.8,22.7,2.0,1.2,"4,074.5",3.1,4.6,13.5,358000,17.4,11.7
223,STRYKER,US,Health Care Equipment & Services,574.1,1.8,9.9,"9,135.7",2.8,4.7,6.3,248.0,15.9,8.7,2.7,"2,073.1",2.7,0.0,22.7,27000,3.8,7.0
224,EATON CORPORATION,Ireland,Electronic & Electrical equipment,574.1,-3.4,12.5,"19,155.9",-7.5,8.5,3.0,464.8,-19.9,-5.2,2.4,"2,151.2",29.8,15.2,11.2,97000,-4.9,-2.0
225,CENTRAL JAPAN RAILWAY,Japan,Travel & Leisure,573.2,-30.0,30.5,"13,251.3",4.0,3.1,4.3,"1,800.2",19.6,-4.2,13.6,"4,411.0",14.2,10.7,33.3,28706,-0.1,0.4
226,KONICA MINOLTA,Japan,Technology Hardware & Equipment,572.3,-0.3,1.6,0.0,,,,0.0,,,,0.0,,,,0,,
227,MOTOROLA,US,Technology Hardware & Equipment,569.5,-9.0,-16.8,"5,231.0",-3.2,-3.2,10.9,160.7,-3.3,1.0,3.1,948.8,-210.6,3.7,18.1,14000,-6.7,-14.0
228,UBISOFT ENTERTAINMENT,France,Software & Computer Services,567.0,27.2,8.0,"1,394.0",-4.8,3.5,40.7,0.0,,,0.0,156.1,-3.1,19.2,11.2,10667,9.0,8.9
229,LIEBHERR-INTERNATIONAL,Switzerland,Industrial Engineering,563.0,26.2,5.0,"9,237.0",-5.8,-3.2,6.1,0.0,,,0.0,533.0,-7.6,-14.5,5.8,41545,1.7,3.2
230,ELECTRICITE DE FRANCE,France,Electricity,555.0,-29.2,-14.4,"75,006.0",2.2,1.3,0.7,"13,249.0",,-0.3,17.7,"4,521.0",-47.9,-19.3,6.0,156312,5.6,0.3
231,AUTOMATIC DATA PROCESSING,US,Support Services,554.5,1.4,-2.6,"10,717.2",6.7,7.3,5.2,354.6,15.1,18.0,3.3,"2,012.0",8.8,10.5,18.8,57000,3.6,-1.7
232,THALES,France,Aerospace & Defense,553.5,5.6,-1.8,"14,063.2",8.4,-0.2,3.9,473.4,0.2,2.7,3.4,"1,077.3",26.1,10.4,7.7,61848,1.8,-2.1
233,SAUDI BASIC INDUSTRIES,Saudi Arabia,Chemicals,552.9,21.1,17.5,"36,272.2",-21.6,-7.8,1.5,"4,477.1",20.6,18.5,12.3,"7,438.4",-23.6,-10.6,20.5,40000,0.0,0.0
234,CHEVRON,US,Oil & Gas Producers,552.0,-15.0,-2.5,"119,085.2",-35.2,-17.5,0.5,"27,100.2",-16.7,-1.6,22.8,-79.0,0.4,,-0.1,61500,-4.9,-0.3
235,BT,UK,Fixed Line Telecommunications,549.9,-38.8,-15.9,"25,919.3",5.9,1.7,2.1,"3,356.6",2.0,-0.2,13.0,"5,082.6",9.6,8.3,19.6,102500,15.8,5.3
236,BAXTER INTERNATIONAL,US,Health Care Equipment & Services,541.9,-55.9,-19.4,"9,155.9",-40.2,-10.6,5.9,836.8,-52.0,-7.8,9.1,656.7,-78.4,-39.0,7.2,50000,-24.2,-0.7
237,AUSTRALIA & NEW ZEALAND BANKING,Australia,Banks,541.6,3.9,0.9,"14,140.2",5.1,4.8,3.8,0.0,,,0.0,"7,068.4",2.2,9.6,50.0,50152,-0.3,1.3
